cdn1_colo28.ns1094 S3FIFO-0.3500-1.9000 cache size     3921, 1165209 req, miss ratio 0.0437, byte miss ratio 0.0437
cdn1_colo28.ns1094 S3FIFO-0.3500-1.9000 cache size     7842, 1165209 req, miss ratio 0.0104, byte miss ratio 0.0104
cdn1_colo28.ns1094 S3FIFO-0.1500-0.9000 cache size        9, 1165209 req, miss ratio 0.7788, byte miss ratio 0.7788
cdn1_colo28.ns1094 S3FIFO-0.1500-0.9000 cache size       29, 1165209 req, miss ratio 0.6884, byte miss ratio 0.6884
cdn1_colo28.ns1094 S3FIFO-0.1500-0.9000 cache size       98, 1165209 req, miss ratio 0.5459, byte miss ratio 0.5459
cdn1_colo28.ns1094 S3FIFO-0.1500-0.9000 cache size      294, 1165209 req, miss ratio 0.3671, byte miss ratio 0.3671
cdn1_colo28.ns1094 S3FIFO-0.1500-0.9000 cache size      980, 1165209 req, miss ratio 0.1749, byte miss ratio 0.1749
cdn1_colo28.ns1094 S3FIFO-0.1500-0.9000 cache size     1960, 1165209 req, miss ratio 0.1000, byte miss ratio 0.1000
cdn1_colo28.ns1094 S3FIFO-0.1500-0.9000 cache size     3921, 1165209 req, miss ratio 0.0399, byte miss ratio 0.0399
cdn1_colo28.ns1094 S3FIFO-0.1500-0.9000 cache size     7842, 1165209 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_colo28.ns1094 S3FIFO-0.9000-1.9000 cache size        9, 1165209 req, miss ratio 0.8267, byte miss ratio 0.8267
cdn1_colo28.ns1094 S3FIFO-0.9000-1.9000 cache size       29, 1165209 req, miss ratio 0.7444, byte miss ratio 0.7444
cdn1_colo28.ns1094 S3FIFO-0.9000-1.9000 cache size       98, 1165209 req, miss ratio 0.6180, byte miss ratio 0.6180
cdn1_colo28.ns1094 S3FIFO-0.9000-1.9000 cache size      294, 1165209 req, miss ratio 0.4588, byte miss ratio 0.4588
cdn1_colo28.ns1094 S3FIFO-0.9000-1.9000 cache size      980, 1165209 req, miss ratio 0.2375, byte miss ratio 0.2375
cdn1_colo28.ns1094 S3FIFO-0.9000-1.9000 cache size     1960, 1165209 req, miss ratio 0.1346, byte miss ratio 0.1346
cdn1_colo28.ns1094 S3FIFO-0.9000-1.9000 cache size     3921, 1165209 req, miss ratio 0.0580, byte miss ratio 0.0580
cdn1_colo28.ns1094 S3FIFO-0.9000-1.9000 cache size     7842, 1165209 req, miss ratio 0.0138, byte miss ratio 0.0138
cdn1_colo28.ns1094 S3FIFO-0.6000-0.9000 cache size        9, 1165209 req, miss ratio 0.8000, byte miss ratio 0.8000
cdn1_colo28.ns1094 S3FIFO-0.6000-0.9000 cache size       29, 1165209 req, miss ratio 0.7014, byte miss ratio 0.7014
cdn1_colo28.ns1094 S3FIFO-0.6000-0.9000 cache size       98, 1165209 req, miss ratio 0.5750, byte miss ratio 0.5750
cdn1_colo28.ns1094 S3FIFO-0.6000-0.9000 cache size      294, 1165209 req, miss ratio 0.4206, byte miss ratio 0.4206
cdn1_colo28.ns1094 S3FIFO-0.6000-0.9000 cache size      980, 1165209 req, miss ratio 0.2133, byte miss ratio 0.2133
cdn1_colo28.ns1094 S3FIFO-0.6000-0.9000 cache size     1960, 1165209 req, miss ratio 0.1182, byte miss ratio 0.1182
cdn1_colo28.ns1094 S3FIFO-0.6000-0.9000 cache size     3921, 1165209 req, miss ratio 0.0491, byte miss ratio 0.0491
cdn1_colo28.ns1094 S3FIFO-0.6000-0.9000 cache size     7842, 1165209 req, miss ratio 0.0118, byte miss ratio 0.0118
cdn1_colo28.ns1094 S3FIFO-0.6000-1.9000 cache size        9, 1165209 req, miss ratio 0.8032, byte miss ratio 0.8032
cdn1_colo28.ns1094 S3FIFO-0.6000-1.9000 cache size       29, 1165209 req, miss ratio 0.7050, byte miss ratio 0.7050
cdn1_colo28.ns1094 S3FIFO-0.6000-1.9000 cache size       98, 1165209 req, miss ratio 0.5807, byte miss ratio 0.5807
cdn1_colo28.ns1094 S3FIFO-0.6000-1.9000 cache size      294, 1165209 req, miss ratio 0.4250, byte miss ratio 0.4250
cdn1_colo28.ns1094 S3FIFO-0.6000-1.9000 cache size      980, 1165209 req, miss ratio 0.2118, byte miss ratio 0.2118
cdn1_colo28.ns1094 S3FIFO-0.6000-1.9000 cache size     1960, 1165209 req, miss ratio 0.1173, byte miss ratio 0.1173
cdn1_colo28.ns1094 S3FIFO-0.6000-1.9000 cache size     3921, 1165209 req, miss ratio 0.0491, byte miss ratio 0.0491
cdn1_colo28.ns1094 S3FIFO-0.6000-1.9000 cache size     7842, 1165209 req, miss ratio 0.0118, byte miss ratio 0.0118
cdn1_colo28.ns1094 S3FIFO-0.9500-0.9000 cache size        9, 1165209 req, miss ratio 0.8249, byte miss ratio 0.8249
cdn1_colo28.ns1094 S3FIFO-0.9500-0.9000 cache size       29, 1165209 req, miss ratio 0.7464, byte miss ratio 0.7464
cdn1_colo28.ns1094 S3FIFO-0.9500-0.9000 cache size       98, 1165209 req, miss ratio 0.6236, byte miss ratio 0.6236
cdn1_colo28.ns1094 S3FIFO-0.9500-0.9000 cache size      294, 1165209 req, miss ratio 0.4672, byte miss ratio 0.4672
cdn1_colo28.ns1094 S3FIFO-0.9500-0.9000 cache size      980, 1165209 req, miss ratio 0.2492, byte miss ratio 0.2492
cdn1_colo28.ns1094 S3FIFO-0.9500-0.9000 cache size     1960, 1165209 req, miss ratio 0.1398, byte miss ratio 0.1398
