cdn1_allcolo.ns703 S3FIFO-0.0100-1.9000 cache size        6, 7557016 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns703 S3FIFO-0.0100-1.9000 cache size       22, 7557016 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns703 S3FIFO-0.0100-1.9000 cache size       67, 7557016 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns703 S3FIFO-0.0100-1.9000 cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns703 S3FIFO-0.0100-1.9000 cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns703 S3FIFO-0.0100-1.9000 cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns703 S3FIFO-0.0100-1.9000 cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns703 S3FIFO-0.9900-1.9000 cache size        6, 7557016 req, miss ratio 0.5270, byte miss ratio 0.5270
cdn1_allcolo.ns703 S3FIFO-0.9900-1.9000 cache size       22, 7557016 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_allcolo.ns703 S3FIFO-0.9900-1.9000 cache size       67, 7557016 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns703 S3FIFO-0.9900-1.9000 cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns703 S3FIFO-0.9900-1.9000 cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns703 S3FIFO-0.9900-1.9000 cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns703 S3FIFO-0.9900-1.9000 cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns703 S3FIFO-0.2500-0.9000 cache size        6, 7557016 req, miss ratio 0.5243, byte miss ratio 0.5243
cdn1_allcolo.ns703 S3FIFO-0.2500-0.9000 cache size       22, 7557016 req, miss ratio 0.0026, byte miss ratio 0.0026
