cdn1_allcolo.ns433 S3FIFO-0.9000-1.9000 cache size     3597, 20061015 req, miss ratio 0.1802, byte miss ratio 0.1802
cdn1_allcolo.ns433 S3FIFO-0.9000-1.9000 cache size    10792, 20061015 req, miss ratio 0.1801, byte miss ratio 0.1801
cdn1_allcolo.ns433 S3FIFO-0.9000-1.9000 cache size    35973, 20061015 req, miss ratio 0.1800, byte miss ratio 0.1800
cdn1_allcolo.ns433 S3FIFO-0.9000-1.9000 cache size   107920, 20061015 req, miss ratio 0.1800, byte miss ratio 0.1800
cdn1_allcolo.ns433 S3FIFO-0.9000-1.9000 cache size   359735, 20061015 req, miss ratio 0.1795, byte miss ratio 0.1795
cdn1_allcolo.ns433 S3FIFO-0.9000-1.9000 cache size   719471, 20061015 req, miss ratio 0.1793, byte miss ratio 0.1793
cdn1_allcolo.ns433 S3FIFO-0.9000-1.9000 cache size  1438943, 20061015 req, miss ratio 0.1793, byte miss ratio 0.1793
cdn1_allcolo.ns433 S3FIFO-0.9000-1.9000 cache size  2877887, 20061015 req, miss ratio 0.1793, byte miss ratio 0.1793
cdn1_allcolo.ns433 S3FIFO-0.5500-1.9000 cache size     3597, 20061015 req, miss ratio 0.1801, byte miss ratio 0.1801
cdn1_allcolo.ns433 S3FIFO-0.5500-1.9000 cache size    10792, 20061015 req, miss ratio 0.1801, byte miss ratio 0.1801
cdn1_allcolo.ns433 S3FIFO-0.5500-1.9000 cache size    35973, 20061015 req, miss ratio 0.1800, byte miss ratio 0.1800
cdn1_allcolo.ns433 S3FIFO-0.5500-1.9000 cache size   107920, 20061015 req, miss ratio 0.1800, byte miss ratio 0.1800
cdn1_allcolo.ns433 S3FIFO-0.5500-1.9000 cache size   359735, 20061015 req, miss ratio 0.1795, byte miss ratio 0.1795
cdn1_allcolo.ns433 S3FIFO-0.5500-1.9000 cache size   719471, 20061015 req, miss ratio 0.1793, byte miss ratio 0.1793
cdn1_allcolo.ns433 S3FIFO-0.5500-1.9000 cache size  1438943, 20061015 req, miss ratio 0.1793, byte miss ratio 0.1793
cdn1_allcolo.ns433 S3FIFO-0.5500-1.9000 cache size  2877887, 20061015 req, miss ratio 0.1793, byte miss ratio 0.1793
cdn1_allcolo.ns433 S3FIFO-0.0050-1.9000 cache size     3597, 20061015 req, miss ratio 0.1805, byte miss ratio 0.1805
cdn1_allcolo.ns433 S3FIFO-0.0050-1.9000 cache size    10792, 20061015 req, miss ratio 0.1802, byte miss ratio 0.1802
cdn1_allcolo.ns433 S3FIFO-0.0050-1.9000 cache size    35973, 20061015 req, miss ratio 0.1801, byte miss ratio 0.1801
cdn1_allcolo.ns433 S3FIFO-0.0050-1.9000 cache size   107920, 20061015 req, miss ratio 0.1800, byte miss ratio 0.1800
cdn1_allcolo.ns433 S3FIFO-0.0050-1.9000 cache size   359735, 20061015 req, miss ratio 0.1795, byte miss ratio 0.1795
cdn1_allcolo.ns433 S3FIFO-0.0050-1.9000 cache size   719471, 20061015 req, miss ratio 0.1793, byte miss ratio 0.1793
cdn1_allcolo.ns433 S3FIFO-0.0050-1.9000 cache size  1438943, 20061015 req, miss ratio 0.1793, byte miss ratio 0.1793
cdn1_allcolo.ns433 S3FIFO-0.0050-1.9000 cache size  2877887, 20061015 req, miss ratio 0.1793, byte miss ratio 0.1793
cdn1_allcolo.ns433 S3FIFO-0.4500-0.9000 cache size     3597, 20061015 req, miss ratio 0.1801, byte miss ratio 0.1801
cdn1_allcolo.ns433 S3FIFO-0.4500-0.9000 cache size    10792, 20061015 req, miss ratio 0.1801, byte miss ratio 0.1801
cdn1_allcolo.ns433 S3FIFO-0.4500-0.9000 cache size    35973, 20061015 req, miss ratio 0.1800, byte miss ratio 0.1800
cdn1_allcolo.ns433 S3FIFO-0.4500-0.9000 cache size   107920, 20061015 req, miss ratio 0.1800, byte miss ratio 0.1800
cdn1_allcolo.ns433 S3FIFO-0.4500-0.9000 cache size   359735, 20061015 req, miss ratio 0.1795, byte miss ratio 0.1795
cdn1_allcolo.ns433 S3FIFO-0.4500-0.9000 cache size   719471, 20061015 req, miss ratio 0.1793, byte miss ratio 0.1793
cdn1_allcolo.ns433 S3FIFO-0.4500-0.9000 cache size  1438943, 20061015 req, miss ratio 0.1793, byte miss ratio 0.1793
cdn1_allcolo.ns433 S3FIFO-0.4500-0.9000 cache size  2877887, 20061015 req, miss ratio 0.1793, byte miss ratio 0.1793
cdn1_allcolo.ns433 S3FIFO-0.2000-1.9000 cache size     3597, 20061015 req, miss ratio 0.1802, byte miss ratio 0.1802
cdn1_allcolo.ns433 S3FIFO-0.2000-1.9000 cache size    10792, 20061015 req, miss ratio 0.1801, byte miss ratio 0.1801
