io_traces.ns780 S3FIFO-0.0050-0.9000 cache size      261, 1800000 req, miss ratio 0.6112, byte miss ratio 0.6112
io_traces.ns780 S3FIFO-0.0050-0.9000 cache size      785, 1800000 req, miss ratio 0.5890, byte miss ratio 0.5890
io_traces.ns780 S3FIFO-0.0050-0.9000 cache size     2617, 1800000 req, miss ratio 0.5648, byte miss ratio 0.5648
io_traces.ns780 S3FIFO-0.0050-0.9000 cache size     7853, 1800000 req, miss ratio 0.5277, byte miss ratio 0.5277
io_traces.ns780 S3FIFO-0.0050-0.9000 cache size    26177, 1800000 req, miss ratio 0.3056, byte miss ratio 0.3056
io_traces.ns780 S3FIFO-0.0050-0.9000 cache size    52354, 1800000 req, miss ratio 0.1703, byte miss ratio 0.1703
io_traces.ns780 S3FIFO-0.0050-0.9000 cache size   104708, 1800000 req, miss ratio 0.1494, byte miss ratio 0.1494
io_traces.ns780 S3FIFO-0.0050-0.9000 cache size   209416, 1800000 req, miss ratio 0.1454, byte miss ratio 0.1454
io_traces.ns780 S3FIFO-0.0010-0.9000 cache size      261, 1800000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns780 S3FIFO-0.0010-0.9000 cache size      785, 1800000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns780 S3FIFO-0.0010-0.9000 cache size     2617, 1800000 req, miss ratio 0.5818, byte miss ratio 0.5818
io_traces.ns780 S3FIFO-0.0010-0.9000 cache size     7853, 1800000 req, miss ratio 0.5493, byte miss ratio 0.5493
io_traces.ns780 S3FIFO-0.0010-0.9000 cache size    26177, 1800000 req, miss ratio 0.3051, byte miss ratio 0.3051
io_traces.ns780 S3FIFO-0.0010-0.9000 cache size    52354, 1800000 req, miss ratio 0.1705, byte miss ratio 0.1705
io_traces.ns780 S3FIFO-0.0010-0.9000 cache size   104708, 1800000 req, miss ratio 0.1495, byte miss ratio 0.1495
