cdn1_colo28.ns2861 S3FIFO-0.5500-0.9000 cache size        6, 1082179 req, miss ratio 0.7696, byte miss ratio 0.7696
cdn1_colo28.ns2861 S3FIFO-0.5500-0.9000 cache size       13, 1082179 req, miss ratio 0.6217, byte miss ratio 0.6217
cdn1_colo28.ns2861 S3FIFO-0.5500-0.9000 cache size       26, 1082179 req, miss ratio 0.0067, byte miss ratio 0.0067
cdn1_colo28.ns2861 S3FIFO-0.5500-0.9000 cache size       52, 1082179 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_colo28.ns2861 S3FIFO-0.0050-1.9000 cache size        6, 1082179 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2861 S3FIFO-0.0050-1.9000 cache size       13, 1082179 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2861 S3FIFO-0.0050-1.9000 cache size       26, 1082179 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2861 S3FIFO-0.0050-1.9000 cache size       52, 1082179 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2861 S3FIFO-0.0500-0.9000 cache size        6, 1082179 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2861 S3FIFO-0.0500-0.9000 cache size       13, 1082179 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2861 S3FIFO-0.0500-0.9000 cache size       26, 1082179 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_colo28.ns2861 S3FIFO-0.0500-0.9000 cache size       52, 1082179 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_colo28.ns2861 S3FIFO-0.9900-1.9000 cache size        6, 1082179 req, miss ratio 0.8338, byte miss ratio 0.8338
cdn1_colo28.ns2861 S3FIFO-0.9900-1.9000 cache size       13, 1082179 req, miss ratio 0.4517, byte miss ratio 0.4517
cdn1_colo28.ns2861 S3FIFO-0.9900-1.9000 cache size       26, 1082179 req, miss ratio 0.0100, byte miss ratio 0.0100
cdn1_colo28.ns2861 S3FIFO-0.9900-1.9000 cache size       52, 1082179 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns2861 S3FIFO-0.9000-0.9000 cache size        6, 1082179 req, miss ratio 0.8445, byte miss ratio 0.8445
