cdn1_colo28.ns1201 S3FIFO-0.3000-0.9000 cache size        7, 6518165 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn1_colo28.ns1201 S3FIFO-0.3000-0.9000 cache size       15, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.3000-0.9000 cache size       31, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.3000-0.9000 cache size       63, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.2000-0.9000 cache size        7, 6518165 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_colo28.ns1201 S3FIFO-0.2000-0.9000 cache size       15, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.2000-0.9000 cache size       31, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.2000-0.9000 cache size       63, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.4500-0.9000 cache size        7, 6518165 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_colo28.ns1201 S3FIFO-0.4500-0.9000 cache size       15, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.4500-0.9000 cache size       31, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.4500-0.9000 cache size       63, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.4500-1.9000 cache size        7, 6518165 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_colo28.ns1201 S3FIFO-0.4500-1.9000 cache size       15, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.4500-1.9000 cache size       31, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.4500-1.9000 cache size       63, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.9500-0.9000 cache size        7, 6518165 req, miss ratio 0.0029, byte miss ratio 0.0029
cdn1_colo28.ns1201 S3FIFO-0.9500-0.9000 cache size       15, 6518165 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_colo28.ns1201 S3FIFO-0.9500-0.9000 cache size       31, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.9500-0.9000 cache size       63, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.6500-1.9000 cache size        7, 6518165 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_colo28.ns1201 S3FIFO-0.6500-1.9000 cache size       15, 6518165 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_colo28.ns1201 S3FIFO-0.6500-1.9000 cache size       31, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.6500-1.9000 cache size       63, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.0050-0.9000 cache size        7, 6518165 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1201 S3FIFO-0.0050-0.9000 cache size       15, 6518165 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1201 S3FIFO-0.0050-0.9000 cache size       31, 6518165 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1201 S3FIFO-0.0050-0.9000 cache size       63, 6518165 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1201 S3FIFO-0.0500-1.9000 cache size        7, 6518165 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1201 S3FIFO-0.0500-1.9000 cache size       15, 6518165 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1201 S3FIFO-0.0500-1.9000 cache size       31, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.0500-1.9000 cache size       63, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.0250-0.9000 cache size        7, 6518165 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1201 S3FIFO-0.0250-0.9000 cache size       15, 6518165 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1201 S3FIFO-0.0250-0.9000 cache size       31, 6518165 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1201 S3FIFO-0.0250-0.9000 cache size       63, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.7000-1.9000 cache size        7, 6518165 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_colo28.ns1201 S3FIFO-0.7000-1.9000 cache size       15, 6518165 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_colo28.ns1201 S3FIFO-0.7000-1.9000 cache size       31, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.7000-1.9000 cache size       63, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.6000-1.9000 cache size        7, 6518165 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_colo28.ns1201 S3FIFO-0.6000-1.9000 cache size       15, 6518165 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_colo28.ns1201 S3FIFO-0.6000-1.9000 cache size       31, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.6000-1.9000 cache size       63, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.1000-1.9000 cache size        7, 6518165 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1201 S3FIFO-0.1000-1.9000 cache size       15, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.1000-1.9000 cache size       31, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.1000-1.9000 cache size       63, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.4000-1.9000 cache size        7, 6518165 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn1_colo28.ns1201 S3FIFO-0.4000-1.9000 cache size       15, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.4000-1.9000 cache size       31, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.4000-1.9000 cache size       63, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.8500-0.9000 cache size        7, 6518165 req, miss ratio 0.0027, byte miss ratio 0.0027
cdn1_colo28.ns1201 S3FIFO-0.8500-0.9000 cache size       15, 6518165 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_colo28.ns1201 S3FIFO-0.8500-0.9000 cache size       31, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.8500-0.9000 cache size       63, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_colo28.ns1201 S3FIFO-0.4000-0.9000 cache size        7, 6518165 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn1_colo28.ns1201 S3FIFO-0.4000-0.9000 cache size       15, 6518165 req, miss ratio 0.0000, byte miss ratio 0.0000
