tencentBlock.ns5560 S3FIFO-0.9000-0.9000 cache size     1137, 14911126 req, miss ratio 0.6802, byte miss ratio 0.6802
tencentBlock.ns5560 S3FIFO-0.9000-0.9000 cache size     3412, 14911126 req, miss ratio 0.6283, byte miss ratio 0.6283
tencentBlock.ns5560 S3FIFO-0.9000-0.9000 cache size    11376, 14911126 req, miss ratio 0.5565, byte miss ratio 0.5565
tencentBlock.ns5560 S3FIFO-0.9000-0.9000 cache size    34128, 14911126 req, miss ratio 0.4798, byte miss ratio 0.4798
tencentBlock.ns5560 S3FIFO-0.9000-0.9000 cache size   113762, 14911126 req, miss ratio 0.3052, byte miss ratio 0.3052
tencentBlock.ns5560 S3FIFO-0.9000-0.9000 cache size   227525, 14911126 req, miss ratio 0.2349, byte miss ratio 0.2349
tencentBlock.ns5560 S3FIFO-0.9000-0.9000 cache size   455051, 14911126 req, miss ratio 0.1691, byte miss ratio 0.1691
tencentBlock.ns5560 S3FIFO-0.9000-0.9000 cache size   910103, 14911126 req, miss ratio 0.0927, byte miss ratio 0.0927
tencentBlock.ns5560 S3FIFO-0.5500-0.9000 cache size     1137, 14911126 req, miss ratio 0.6484, byte miss ratio 0.6484
tencentBlock.ns5560 S3FIFO-0.5500-0.9000 cache size     3412, 14911126 req, miss ratio 0.6055, byte miss ratio 0.6055
tencentBlock.ns5560 S3FIFO-0.5500-0.9000 cache size    11376, 14911126 req, miss ratio 0.5152, byte miss ratio 0.5152
tencentBlock.ns5560 S3FIFO-0.5500-0.9000 cache size    34128, 14911126 req, miss ratio 0.4559, byte miss ratio 0.4559
tencentBlock.ns5560 S3FIFO-0.5500-0.9000 cache size   113762, 14911126 req, miss ratio 0.2722, byte miss ratio 0.2722
tencentBlock.ns5560 S3FIFO-0.5500-0.9000 cache size   227525, 14911126 req, miss ratio 0.2083, byte miss ratio 0.2083
tencentBlock.ns5560 S3FIFO-0.5500-0.9000 cache size   455051, 14911126 req, miss ratio 0.1651, byte miss ratio 0.1651
tencentBlock.ns5560 S3FIFO-0.5500-0.9000 cache size   910103, 14911126 req, miss ratio 0.0855, byte miss ratio 0.0855
tencentBlock.ns5560 S3FIFO-0.0050-0.9000 cache size     1137, 14911126 req, miss ratio 0.6531, byte miss ratio 0.6531
tencentBlock.ns5560 S3FIFO-0.0050-0.9000 cache size     3412, 14911126 req, miss ratio 0.5728, byte miss ratio 0.5728
tencentBlock.ns5560 S3FIFO-0.0050-0.9000 cache size    11376, 14911126 req, miss ratio 0.4940, byte miss ratio 0.4940
tencentBlock.ns5560 S3FIFO-0.0050-0.9000 cache size    34128, 14911126 req, miss ratio 0.3979, byte miss ratio 0.3979
tencentBlock.ns5560 S3FIFO-0.0050-0.9000 cache size   113762, 14911126 req, miss ratio 0.2416, byte miss ratio 0.2416
tencentBlock.ns5560 S3FIFO-0.0050-0.9000 cache size   227525, 14911126 req, miss ratio 0.1940, byte miss ratio 0.1940
tencentBlock.ns5560 S3FIFO-0.0050-0.9000 cache size   455051, 14911126 req, miss ratio 0.1655, byte miss ratio 0.1655
tencentBlock.ns5560 S3FIFO-0.0050-0.9000 cache size   910103, 14911126 req, miss ratio 0.0774, byte miss ratio 0.0774
tencentBlock.ns5560 S3FIFO-0.3500-0.9000 cache size     1137, 14911126 req, miss ratio 0.6434, byte miss ratio 0.6434
tencentBlock.ns5560 S3FIFO-0.3500-0.9000 cache size     3412, 14911126 req, miss ratio 0.5847, byte miss ratio 0.5847
tencentBlock.ns5560 S3FIFO-0.3500-0.9000 cache size    11376, 14911126 req, miss ratio 0.5000, byte miss ratio 0.5000
tencentBlock.ns5560 S3FIFO-0.3500-0.9000 cache size    34128, 14911126 req, miss ratio 0.4379, byte miss ratio 0.4379
tencentBlock.ns5560 S3FIFO-0.3500-0.9000 cache size   113762, 14911126 req, miss ratio 0.2523, byte miss ratio 0.2523
tencentBlock.ns5560 S3FIFO-0.3500-0.9000 cache size   227525, 14911126 req, miss ratio 0.2028, byte miss ratio 0.2028
tencentBlock.ns5560 S3FIFO-0.3500-0.9000 cache size   455051, 14911126 req, miss ratio 0.1615, byte miss ratio 0.1615
tencentBlock.ns5560 S3FIFO-0.3500-0.9000 cache size   910103, 14911126 req, miss ratio 0.0781, byte miss ratio 0.0781
tencentBlock.ns5560 S3FIFO-0.1000-0.9000 cache size     1137, 14911126 req, miss ratio 0.6440, byte miss ratio 0.6440
tencentBlock.ns5560 S3FIFO-0.1000-0.9000 cache size     3412, 14911126 req, miss ratio 0.5645, byte miss ratio 0.5645
tencentBlock.ns5560 S3FIFO-0.1000-0.9000 cache size    11376, 14911126 req, miss ratio 0.4892, byte miss ratio 0.4892
tencentBlock.ns5560 S3FIFO-0.1000-0.9000 cache size    34128, 14911126 req, miss ratio 0.4047, byte miss ratio 0.4047
tencentBlock.ns5560 S3FIFO-0.1000-0.9000 cache size   113762, 14911126 req, miss ratio 0.2401, byte miss ratio 0.2401
tencentBlock.ns5560 S3FIFO-0.1000-0.9000 cache size   227525, 14911126 req, miss ratio 0.1928, byte miss ratio 0.1928
tencentBlock.ns5560 S3FIFO-0.1000-0.9000 cache size   455051, 14911126 req, miss ratio 0.1630, byte miss ratio 0.1630
tencentBlock.ns5560 S3FIFO-0.1000-0.9000 cache size   910103, 14911126 req, miss ratio 0.0774, byte miss ratio 0.0774
tencentBlock.ns5560 S3FIFO-0.2500-0.9000 cache size     1137, 14911126 req, miss ratio 0.6425, byte miss ratio 0.6425
tencentBlock.ns5560 S3FIFO-0.2500-0.9000 cache size     3412, 14911126 req, miss ratio 0.5735, byte miss ratio 0.5735
tencentBlock.ns5560 S3FIFO-0.2500-0.9000 cache size    11376, 14911126 req, miss ratio 0.4948, byte miss ratio 0.4948
tencentBlock.ns5560 S3FIFO-0.2500-0.9000 cache size    34128, 14911126 req, miss ratio 0.4260, byte miss ratio 0.4260
tencentBlock.ns5560 S3FIFO-0.2500-0.9000 cache size   113762, 14911126 req, miss ratio 0.2459, byte miss ratio 0.2459
tencentBlock.ns5560 S3FIFO-0.2500-0.9000 cache size   227525, 14911126 req, miss ratio 0.1994, byte miss ratio 0.1994
tencentBlock.ns5560 S3FIFO-0.2500-0.9000 cache size   455051, 14911126 req, miss ratio 0.1650, byte miss ratio 0.1650
tencentBlock.ns5560 S3FIFO-0.2500-0.9000 cache size   910103, 14911126 req, miss ratio 0.0774, byte miss ratio 0.0774
tencentBlock.ns5560 S3FIFO-0.7000-1.9000 cache size     1137, 14911126 req, miss ratio 0.6576, byte miss ratio 0.6576
tencentBlock.ns5560 S3FIFO-0.7000-1.9000 cache size     3412, 14911126 req, miss ratio 0.6153, byte miss ratio 0.6153
tencentBlock.ns5560 S3FIFO-0.7000-1.9000 cache size    11376, 14911126 req, miss ratio 0.5331, byte miss ratio 0.5331
tencentBlock.ns5560 S3FIFO-0.7000-1.9000 cache size    34128, 14911126 req, miss ratio 0.4679, byte miss ratio 0.4679
tencentBlock.ns5560 S3FIFO-0.7000-1.9000 cache size   113762, 14911126 req, miss ratio 0.2894, byte miss ratio 0.2894
tencentBlock.ns5560 S3FIFO-0.7000-1.9000 cache size   227525, 14911126 req, miss ratio 0.2169, byte miss ratio 0.2169
tencentBlock.ns5560 S3FIFO-0.7000-1.9000 cache size   455051, 14911126 req, miss ratio 0.1698, byte miss ratio 0.1698
tencentBlock.ns5560 S3FIFO-0.7000-1.9000 cache size   910103, 14911126 req, miss ratio 0.0901, byte miss ratio 0.0901
tencentBlock.ns5560 S3FIFO-0.9900-1.9000 cache size     1137, 14911126 req, miss ratio 0.6971, byte miss ratio 0.6971
tencentBlock.ns5560 S3FIFO-0.9900-1.9000 cache size     3412, 14911126 req, miss ratio 0.6408, byte miss ratio 0.6408
tencentBlock.ns5560 S3FIFO-0.9900-1.9000 cache size    11376, 14911126 req, miss ratio 0.5679, byte miss ratio 0.5679
tencentBlock.ns5560 S3FIFO-0.9900-1.9000 cache size    34128, 14911126 req, miss ratio 0.4803, byte miss ratio 0.4803
tencentBlock.ns5560 S3FIFO-0.9900-1.9000 cache size   113762, 14911126 req, miss ratio 0.3108, byte miss ratio 0.3108
tencentBlock.ns5560 S3FIFO-0.9900-1.9000 cache size   227525, 14911126 req, miss ratio 0.2278, byte miss ratio 0.2278
tencentBlock.ns5560 S3FIFO-0.9900-1.9000 cache size   455051, 14911126 req, miss ratio 0.1704, byte miss ratio 0.1704
tencentBlock.ns5560 S3FIFO-0.9900-1.9000 cache size   910103, 14911126 req, miss ratio 0.1107, byte miss ratio 0.1107
tencentBlock.ns5560 S3FIFO-0.8500-0.9000 cache size     1137, 14911126 req, miss ratio 0.6718, byte miss ratio 0.6718
tencentBlock.ns5560 S3FIFO-0.8500-0.9000 cache size     3412, 14911126 req, miss ratio 0.6235, byte miss ratio 0.6235
tencentBlock.ns5560 S3FIFO-0.8500-0.9000 cache size    11376, 14911126 req, miss ratio 0.5501, byte miss ratio 0.5501
tencentBlock.ns5560 S3FIFO-0.8500-0.9000 cache size    34128, 14911126 req, miss ratio 0.4769, byte miss ratio 0.4769
tencentBlock.ns5560 S3FIFO-0.8500-0.9000 cache size   113762, 14911126 req, miss ratio 0.3025, byte miss ratio 0.3025
tencentBlock.ns5560 S3FIFO-0.8500-0.9000 cache size   227525, 14911126 req, miss ratio 0.2296, byte miss ratio 0.2296
tencentBlock.ns5560 S3FIFO-0.8500-0.9000 cache size   455051, 14911126 req, miss ratio 0.1688, byte miss ratio 0.1688
tencentBlock.ns5560 S3FIFO-0.8500-0.9000 cache size   910103, 14911126 req, miss ratio 0.0893, byte miss ratio 0.0893
tencentBlock.ns5560 S3FIFO-0.0100-1.9000 cache size     1137, 14911126 req, miss ratio 0.6491, byte miss ratio 0.6491
tencentBlock.ns5560 S3FIFO-0.0100-1.9000 cache size     3412, 14911126 req, miss ratio 0.5712, byte miss ratio 0.5712
tencentBlock.ns5560 S3FIFO-0.0100-1.9000 cache size    11376, 14911126 req, miss ratio 0.4949, byte miss ratio 0.4949
tencentBlock.ns5560 S3FIFO-0.0100-1.9000 cache size    34128, 14911126 req, miss ratio 0.4206, byte miss ratio 0.4206
tencentBlock.ns5560 S3FIFO-0.0100-1.9000 cache size   113762, 14911126 req, miss ratio 0.2432, byte miss ratio 0.2432
