io_traces.ns86 S3FIFO-0.9000-1.9000 cache size     1676, 37000000 req, miss ratio 0.2517, byte miss ratio 0.2517
io_traces.ns86 S3FIFO-0.9000-1.9000 cache size     5029, 37000000 req, miss ratio 0.2262, byte miss ratio 0.2262
io_traces.ns86 S3FIFO-0.9000-1.9000 cache size    16766, 37000000 req, miss ratio 0.1961, byte miss ratio 0.1961
io_traces.ns86 S3FIFO-0.9000-1.9000 cache size    50298, 37000000 req, miss ratio 0.1452, byte miss ratio 0.1452
io_traces.ns86 S3FIFO-0.9000-1.9000 cache size   167662, 37000000 req, miss ratio 0.0847, byte miss ratio 0.0847
io_traces.ns86 S3FIFO-0.9000-1.9000 cache size   335325, 37000000 req, miss ratio 0.0669, byte miss ratio 0.0669
io_traces.ns86 S3FIFO-0.9000-1.9000 cache size   670650, 37000000 req, miss ratio 0.0542, byte miss ratio 0.0542
io_traces.ns86 S3FIFO-0.9000-1.9000 cache size  1341300, 37000000 req, miss ratio 0.0466, byte miss ratio 0.0466
io_traces.ns86 S3FIFO-0.6000-0.9000 cache size     1676, 37000000 req, miss ratio 0.2415, byte miss ratio 0.2415
io_traces.ns86 S3FIFO-0.6000-0.9000 cache size     5029, 37000000 req, miss ratio 0.2123, byte miss ratio 0.2123
io_traces.ns86 S3FIFO-0.6000-0.9000 cache size    16766, 37000000 req, miss ratio 0.1929, byte miss ratio 0.1929
io_traces.ns86 S3FIFO-0.6000-0.9000 cache size    50298, 37000000 req, miss ratio 0.1478, byte miss ratio 0.1478
io_traces.ns86 S3FIFO-0.6000-0.9000 cache size   167662, 37000000 req, miss ratio 0.0806, byte miss ratio 0.0806
io_traces.ns86 S3FIFO-0.6000-0.9000 cache size   335325, 37000000 req, miss ratio 0.0624, byte miss ratio 0.0624
io_traces.ns86 S3FIFO-0.6000-0.9000 cache size   670650, 37000000 req, miss ratio 0.0536, byte miss ratio 0.0536
io_traces.ns86 S3FIFO-0.6000-0.9000 cache size  1341300, 37000000 req, miss ratio 0.0463, byte miss ratio 0.0463
io_traces.ns86 S3FIFO-0.8500-1.9000 cache size     1676, 37000000 req, miss ratio 0.2507, byte miss ratio 0.2507
io_traces.ns86 S3FIFO-0.8500-1.9000 cache size     5029, 37000000 req, miss ratio 0.2240, byte miss ratio 0.2240
io_traces.ns86 S3FIFO-0.8500-1.9000 cache size    16766, 37000000 req, miss ratio 0.1953, byte miss ratio 0.1953
io_traces.ns86 S3FIFO-0.8500-1.9000 cache size    50298, 37000000 req, miss ratio 0.1456, byte miss ratio 0.1456
io_traces.ns86 S3FIFO-0.8500-1.9000 cache size   167662, 37000000 req, miss ratio 0.0834, byte miss ratio 0.0834
io_traces.ns86 S3FIFO-0.8500-1.9000 cache size   335325, 37000000 req, miss ratio 0.0660, byte miss ratio 0.0660
