cdn1_colo28.ns33397 S3FIFO-0.8000-0.9000 cache size     1075, 11038792 req, miss ratio 0.0979, byte miss ratio 0.0979
cdn1_colo28.ns33397 S3FIFO-0.8000-0.9000 cache size     3227, 11038792 req, miss ratio 0.0977, byte miss ratio 0.0977
cdn1_colo28.ns33397 S3FIFO-0.8000-0.9000 cache size    10759, 11038792 req, miss ratio 0.0976, byte miss ratio 0.0976
cdn1_colo28.ns33397 S3FIFO-0.8000-0.9000 cache size    32278, 11038792 req, miss ratio 0.0976, byte miss ratio 0.0976
cdn1_colo28.ns33397 S3FIFO-0.8000-0.9000 cache size   107595, 11038792 req, miss ratio 0.0976, byte miss ratio 0.0976
cdn1_colo28.ns33397 S3FIFO-0.8000-0.9000 cache size   215190, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.8000-0.9000 cache size   430380, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.8000-0.9000 cache size   860760, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.1500-1.9000 cache size     1075, 11038792 req, miss ratio 0.0978, byte miss ratio 0.0978
cdn1_colo28.ns33397 S3FIFO-0.1500-1.9000 cache size     3227, 11038792 req, miss ratio 0.0977, byte miss ratio 0.0977
cdn1_colo28.ns33397 S3FIFO-0.1500-1.9000 cache size    10759, 11038792 req, miss ratio 0.0976, byte miss ratio 0.0976
cdn1_colo28.ns33397 S3FIFO-0.1500-1.9000 cache size    32278, 11038792 req, miss ratio 0.0976, byte miss ratio 0.0976
cdn1_colo28.ns33397 S3FIFO-0.1500-1.9000 cache size   107595, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.1500-1.9000 cache size   215190, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.1500-1.9000 cache size   430380, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.1500-1.9000 cache size   860760, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.0010-0.9000 cache size     1075, 11038792 req, miss ratio 0.1138, byte miss ratio 0.1138
cdn1_colo28.ns33397 S3FIFO-0.0010-0.9000 cache size     3227, 11038792 req, miss ratio 0.1057, byte miss ratio 0.1057
cdn1_colo28.ns33397 S3FIFO-0.0010-0.9000 cache size    10759, 11038792 req, miss ratio 0.0986, byte miss ratio 0.0986
cdn1_colo28.ns33397 S3FIFO-0.0010-0.9000 cache size    32278, 11038792 req, miss ratio 0.0977, byte miss ratio 0.0977
cdn1_colo28.ns33397 S3FIFO-0.0010-0.9000 cache size   107595, 11038792 req, miss ratio 0.0976, byte miss ratio 0.0976
cdn1_colo28.ns33397 S3FIFO-0.0010-0.9000 cache size   215190, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.0010-0.9000 cache size   430380, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.0010-0.9000 cache size   860760, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.9500-0.9000 cache size     1075, 11038792 req, miss ratio 0.0981, byte miss ratio 0.0981
cdn1_colo28.ns33397 S3FIFO-0.9500-0.9000 cache size     3227, 11038792 req, miss ratio 0.0978, byte miss ratio 0.0978
cdn1_colo28.ns33397 S3FIFO-0.9500-0.9000 cache size    10759, 11038792 req, miss ratio 0.0977, byte miss ratio 0.0977
cdn1_colo28.ns33397 S3FIFO-0.9500-0.9000 cache size    32278, 11038792 req, miss ratio 0.0976, byte miss ratio 0.0976
cdn1_colo28.ns33397 S3FIFO-0.9500-0.9000 cache size   107595, 11038792 req, miss ratio 0.0976, byte miss ratio 0.0976
cdn1_colo28.ns33397 S3FIFO-0.9500-0.9000 cache size   215190, 11038792 req, miss ratio 0.0976, byte miss ratio 0.0976
cdn1_colo28.ns33397 S3FIFO-0.9500-0.9000 cache size   430380, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.9500-0.9000 cache size   860760, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.8000-1.9000 cache size     1075, 11038792 req, miss ratio 0.0979, byte miss ratio 0.0979
cdn1_colo28.ns33397 S3FIFO-0.8000-1.9000 cache size     3227, 11038792 req, miss ratio 0.0977, byte miss ratio 0.0977
cdn1_colo28.ns33397 S3FIFO-0.8000-1.9000 cache size    10759, 11038792 req, miss ratio 0.0976, byte miss ratio 0.0976
cdn1_colo28.ns33397 S3FIFO-0.8000-1.9000 cache size    32278, 11038792 req, miss ratio 0.0976, byte miss ratio 0.0976
cdn1_colo28.ns33397 S3FIFO-0.8000-1.9000 cache size   107595, 11038792 req, miss ratio 0.0976, byte miss ratio 0.0976
cdn1_colo28.ns33397 S3FIFO-0.8000-1.9000 cache size   215190, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.8000-1.9000 cache size   430380, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.8000-1.9000 cache size   860760, 11038792 req, miss ratio 0.0975, byte miss ratio 0.0975
cdn1_colo28.ns33397 S3FIFO-0.6500-1.9000 cache size     1075, 11038792 req, miss ratio 0.0978, byte miss ratio 0.0978
