cdn1_colo28.ns5171 S3FIFO-0.9900-0.9000 cache size       11, 1169021 req, miss ratio 0.4658, byte miss ratio 0.4658
cdn1_colo28.ns5171 S3FIFO-0.9900-0.9000 cache size       38, 1169021 req, miss ratio 0.1314, byte miss ratio 0.1314
cdn1_colo28.ns5171 S3FIFO-0.9900-0.9000 cache size      116, 1169021 req, miss ratio 0.0447, byte miss ratio 0.0447
cdn1_colo28.ns5171 S3FIFO-0.9900-0.9000 cache size      387, 1169021 req, miss ratio 0.0154, byte miss ratio 0.0154
cdn1_colo28.ns5171 S3FIFO-0.9900-0.9000 cache size      774, 1169021 req, miss ratio 0.0094, byte miss ratio 0.0094
cdn1_colo28.ns5171 S3FIFO-0.9900-0.9000 cache size     1548, 1169021 req, miss ratio 0.0059, byte miss ratio 0.0059
cdn1_colo28.ns5171 S3FIFO-0.9900-0.9000 cache size     3097, 1169021 req, miss ratio 0.0039, byte miss ratio 0.0039
cdn1_colo28.ns5171 S3FIFO-0.0250-0.9000 cache size       11, 1169021 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns5171 S3FIFO-0.0250-0.9000 cache size       38, 1169021 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns5171 S3FIFO-0.0250-0.9000 cache size      116, 1169021 req, miss ratio 0.0201, byte miss ratio 0.0201
cdn1_colo28.ns5171 S3FIFO-0.0250-0.9000 cache size      387, 1169021 req, miss ratio 0.0091, byte miss ratio 0.0091
cdn1_colo28.ns5171 S3FIFO-0.0250-0.9000 cache size      774, 1169021 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns5171 S3FIFO-0.0250-0.9000 cache size     1548, 1169021 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_colo28.ns5171 S3FIFO-0.0250-0.9000 cache size     3097, 1169021 req, miss ratio 0.0034, byte miss ratio 0.0034
cdn1_colo28.ns5171 S3FIFO-0.9500-1.9000 cache size       11, 1169021 req, miss ratio 0.4631, byte miss ratio 0.4631
cdn1_colo28.ns5171 S3FIFO-0.9500-1.9000 cache size       38, 1169021 req, miss ratio 0.1278, byte miss ratio 0.1278
cdn1_colo28.ns5171 S3FIFO-0.9500-1.9000 cache size      116, 1169021 req, miss ratio 0.0427, byte miss ratio 0.0427
cdn1_colo28.ns5171 S3FIFO-0.9500-1.9000 cache size      387, 1169021 req, miss ratio 0.0146, byte miss ratio 0.0146
cdn1_colo28.ns5171 S3FIFO-0.9500-1.9000 cache size      774, 1169021 req, miss ratio 0.0089, byte miss ratio 0.0089
cdn1_colo28.ns5171 S3FIFO-0.9500-1.9000 cache size     1548, 1169021 req, miss ratio 0.0058, byte miss ratio 0.0058
cdn1_colo28.ns5171 S3FIFO-0.9500-1.9000 cache size     3097, 1169021 req, miss ratio 0.0038, byte miss ratio 0.0038
cdn1_colo28.ns5171 S3FIFO-0.9000-0.9000 cache size       11, 1169021 req, miss ratio 0.4635, byte miss ratio 0.4635
cdn1_colo28.ns5171 S3FIFO-0.9000-0.9000 cache size       38, 1169021 req, miss ratio 0.1280, byte miss ratio 0.1280
cdn1_colo28.ns5171 S3FIFO-0.9000-0.9000 cache size      116, 1169021 req, miss ratio 0.0422, byte miss ratio 0.0422
cdn1_colo28.ns5171 S3FIFO-0.9000-0.9000 cache size      387, 1169021 req, miss ratio 0.0144, byte miss ratio 0.0144
cdn1_colo28.ns5171 S3FIFO-0.9000-0.9000 cache size      774, 1169021 req, miss ratio 0.0088, byte miss ratio 0.0088
cdn1_colo28.ns5171 S3FIFO-0.9000-0.9000 cache size     1548, 1169021 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn1_colo28.ns5171 S3FIFO-0.9000-0.9000 cache size     3097, 1169021 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_colo28.ns5171 S3FIFO-0.0250-1.9000 cache size       11, 1169021 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns5171 S3FIFO-0.0250-1.9000 cache size       38, 1169021 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns5171 S3FIFO-0.0250-1.9000 cache size      116, 1169021 req, miss ratio 0.0207, byte miss ratio 0.0207
cdn1_colo28.ns5171 S3FIFO-0.0250-1.9000 cache size      387, 1169021 req, miss ratio 0.0092, byte miss ratio 0.0092
cdn1_colo28.ns5171 S3FIFO-0.0250-1.9000 cache size      774, 1169021 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns5171 S3FIFO-0.0250-1.9000 cache size     1548, 1169021 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_colo28.ns5171 S3FIFO-0.0250-1.9000 cache size     3097, 1169021 req, miss ratio 0.0034, byte miss ratio 0.0034
cdn1_colo28.ns5171 S3FIFO-0.0500-1.9000 cache size       11, 1169021 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns5171 S3FIFO-0.0500-1.9000 cache size       38, 1169021 req, miss ratio 0.0819, byte miss ratio 0.0819
cdn1_colo28.ns5171 S3FIFO-0.0500-1.9000 cache size      116, 1169021 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_colo28.ns5171 S3FIFO-0.0500-1.9000 cache size      387, 1169021 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns5171 S3FIFO-0.0500-1.9000 cache size      774, 1169021 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns5171 S3FIFO-0.0500-1.9000 cache size     1548, 1169021 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_colo28.ns5171 S3FIFO-0.0500-1.9000 cache size     3097, 1169021 req, miss ratio 0.0034, byte miss ratio 0.0034
cdn1_colo28.ns5171 S3FIFO-0.5500-0.9000 cache size       11, 1169021 req, miss ratio 0.4420, byte miss ratio 0.4420
cdn1_colo28.ns5171 S3FIFO-0.5500-0.9000 cache size       38, 1169021 req, miss ratio 0.1058, byte miss ratio 0.1058
cdn1_colo28.ns5171 S3FIFO-0.5500-0.9000 cache size      116, 1169021 req, miss ratio 0.0322, byte miss ratio 0.0322
cdn1_colo28.ns5171 S3FIFO-0.5500-0.9000 cache size      387, 1169021 req, miss ratio 0.0113, byte miss ratio 0.0113
cdn1_colo28.ns5171 S3FIFO-0.5500-0.9000 cache size      774, 1169021 req, miss ratio 0.0073, byte miss ratio 0.0073
cdn1_colo28.ns5171 S3FIFO-0.5500-0.9000 cache size     1548, 1169021 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_colo28.ns5171 S3FIFO-0.5500-0.9000 cache size     3097, 1169021 req, miss ratio 0.0034, byte miss ratio 0.0034
cdn1_colo28.ns5171 S3FIFO-0.8500-1.9000 cache size       11, 1169021 req, miss ratio 0.4627, byte miss ratio 0.4627
cdn1_colo28.ns5171 S3FIFO-0.8500-1.9000 cache size       38, 1169021 req, miss ratio 0.1231, byte miss ratio 0.1231
cdn1_colo28.ns5171 S3FIFO-0.8500-1.9000 cache size      116, 1169021 req, miss ratio 0.0398, byte miss ratio 0.0398
