io_traces.ns344 S3FIFO-0.0010-0.9000 cache size      334, 2400000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns344 S3FIFO-0.0010-0.9000 cache size     1003, 2400000 req, miss ratio 0.3884, byte miss ratio 0.3884
io_traces.ns344 S3FIFO-0.0010-0.9000 cache size     3346, 2400000 req, miss ratio 0.3193, byte miss ratio 0.3193
io_traces.ns344 S3FIFO-0.0010-0.9000 cache size    10039, 2400000 req, miss ratio 0.2623, byte miss ratio 0.2623
io_traces.ns344 S3FIFO-0.0010-0.9000 cache size    33465, 2400000 req, miss ratio 0.1948, byte miss ratio 0.1948
io_traces.ns344 S3FIFO-0.0010-0.9000 cache size    66930, 2400000 req, miss ratio 0.1671, byte miss ratio 0.1671
io_traces.ns344 S3FIFO-0.0010-0.9000 cache size   133861, 2400000 req, miss ratio 0.1489, byte miss ratio 0.1489
io_traces.ns344 S3FIFO-0.0010-0.9000 cache size   267723, 2400000 req, miss ratio 0.1404, byte miss ratio 0.1404
io_traces.ns344 S3FIFO-0.5000-0.9000 cache size      334, 2400000 req, miss ratio 0.3908, byte miss ratio 0.3908
io_traces.ns344 S3FIFO-0.5000-0.9000 cache size     1003, 2400000 req, miss ratio 0.3510, byte miss ratio 0.3510
io_traces.ns344 S3FIFO-0.5000-0.9000 cache size     3346, 2400000 req, miss ratio 0.3028, byte miss ratio 0.3028
io_traces.ns344 S3FIFO-0.5000-0.9000 cache size    10039, 2400000 req, miss ratio 0.2514, byte miss ratio 0.2514
io_traces.ns344 S3FIFO-0.5000-0.9000 cache size    33465, 2400000 req, miss ratio 0.1836, byte miss ratio 0.1836
io_traces.ns344 S3FIFO-0.5000-0.9000 cache size    66930, 2400000 req, miss ratio 0.1617, byte miss ratio 0.1617
io_traces.ns344 S3FIFO-0.5000-0.9000 cache size   133861, 2400000 req, miss ratio 0.1487, byte miss ratio 0.1487
io_traces.ns344 S3FIFO-0.5000-0.9000 cache size   267723, 2400000 req, miss ratio 0.1404, byte miss ratio 0.1404
io_traces.ns344 S3FIFO-0.3000-0.9000 cache size      334, 2400000 req, miss ratio 0.3849, byte miss ratio 0.3849
io_traces.ns344 S3FIFO-0.3000-0.9000 cache size     1003, 2400000 req, miss ratio 0.3489, byte miss ratio 0.3489
io_traces.ns344 S3FIFO-0.3000-0.9000 cache size     3346, 2400000 req, miss ratio 0.2981, byte miss ratio 0.2981
io_traces.ns344 S3FIFO-0.3000-0.9000 cache size    10039, 2400000 req, miss ratio 0.2470, byte miss ratio 0.2470
io_traces.ns344 S3FIFO-0.3000-0.9000 cache size    33465, 2400000 req, miss ratio 0.1824, byte miss ratio 0.1824
io_traces.ns344 S3FIFO-0.3000-0.9000 cache size    66930, 2400000 req, miss ratio 0.1624, byte miss ratio 0.1624
io_traces.ns344 S3FIFO-0.3000-0.9000 cache size   133861, 2400000 req, miss ratio 0.1485, byte miss ratio 0.1485
io_traces.ns344 S3FIFO-0.3000-0.9000 cache size   267723, 2400000 req, miss ratio 0.1404, byte miss ratio 0.1404
io_traces.ns344 S3FIFO-0.9900-0.9000 cache size      334, 2400000 req, miss ratio 0.4317, byte miss ratio 0.4317
io_traces.ns344 S3FIFO-0.9900-0.9000 cache size     1003, 2400000 req, miss ratio 0.3755, byte miss ratio 0.3755
io_traces.ns344 S3FIFO-0.9900-0.9000 cache size     3346, 2400000 req, miss ratio 0.3293, byte miss ratio 0.3293
io_traces.ns344 S3FIFO-0.9900-0.9000 cache size    10039, 2400000 req, miss ratio 0.2659, byte miss ratio 0.2659
io_traces.ns344 S3FIFO-0.9900-0.9000 cache size    33465, 2400000 req, miss ratio 0.1967, byte miss ratio 0.1967
io_traces.ns344 S3FIFO-0.9900-0.9000 cache size    66930, 2400000 req, miss ratio 0.1716, byte miss ratio 0.1716
io_traces.ns344 S3FIFO-0.9900-0.9000 cache size   133861, 2400000 req, miss ratio 0.1562, byte miss ratio 0.1562
io_traces.ns344 S3FIFO-0.9900-0.9000 cache size   267723, 2400000 req, miss ratio 0.1462, byte miss ratio 0.1462
io_traces.ns344 S3FIFO-0.1500-1.9000 cache size      334, 2400000 req, miss ratio 0.3847, byte miss ratio 0.3847
io_traces.ns344 S3FIFO-0.1500-1.9000 cache size     1003, 2400000 req, miss ratio 0.3466, byte miss ratio 0.3466
io_traces.ns344 S3FIFO-0.1500-1.9000 cache size     3346, 2400000 req, miss ratio 0.2999, byte miss ratio 0.2999
io_traces.ns344 S3FIFO-0.1500-1.9000 cache size    10039, 2400000 req, miss ratio 0.2459, byte miss ratio 0.2459
io_traces.ns344 S3FIFO-0.1500-1.9000 cache size    33465, 2400000 req, miss ratio 0.1830, byte miss ratio 0.1830
io_traces.ns344 S3FIFO-0.1500-1.9000 cache size    66930, 2400000 req, miss ratio 0.1646, byte miss ratio 0.1646
io_traces.ns344 S3FIFO-0.1500-1.9000 cache size   133861, 2400000 req, miss ratio 0.1487, byte miss ratio 0.1487
io_traces.ns344 S3FIFO-0.1500-1.9000 cache size   267723, 2400000 req, miss ratio 0.1404, byte miss ratio 0.1404
io_traces.ns344 S3FIFO-0.6000-1.9000 cache size      334, 2400000 req, miss ratio 0.3982, byte miss ratio 0.3982
io_traces.ns344 S3FIFO-0.6000-1.9000 cache size     1003, 2400000 req, miss ratio 0.3532, byte miss ratio 0.3532
io_traces.ns344 S3FIFO-0.6000-1.9000 cache size     3346, 2400000 req, miss ratio 0.3082, byte miss ratio 0.3082
