io_traces.ns135 S3FIFO-0.5000-0.9000 cache size     1658, 36800000 req, miss ratio 0.1839, byte miss ratio 0.1839
io_traces.ns135 S3FIFO-0.5000-0.9000 cache size     4976, 36800000 req, miss ratio 0.1833, byte miss ratio 0.1833
io_traces.ns135 S3FIFO-0.5000-0.9000 cache size    16589, 36800000 req, miss ratio 0.1778, byte miss ratio 0.1778
io_traces.ns135 S3FIFO-0.5000-0.9000 cache size    49769, 36800000 req, miss ratio 0.1321, byte miss ratio 0.1321
io_traces.ns135 S3FIFO-0.5000-0.9000 cache size   165897, 36800000 req, miss ratio 0.0759, byte miss ratio 0.0759
io_traces.ns135 S3FIFO-0.5000-0.9000 cache size   331795, 36800000 req, miss ratio 0.0604, byte miss ratio 0.0604
io_traces.ns135 S3FIFO-0.5000-0.9000 cache size   663591, 36800000 req, miss ratio 0.0529, byte miss ratio 0.0529
io_traces.ns135 S3FIFO-0.5000-0.9000 cache size  1327183, 36800000 req, miss ratio 0.0461, byte miss ratio 0.0461
io_traces.ns135 S3FIFO-0.9500-0.9000 cache size     1658, 36800000 req, miss ratio 0.1912, byte miss ratio 0.1912
io_traces.ns135 S3FIFO-0.9500-0.9000 cache size     4976, 36800000 req, miss ratio 0.1844, byte miss ratio 0.1844
io_traces.ns135 S3FIFO-0.9500-0.9000 cache size    16589, 36800000 req, miss ratio 0.1729, byte miss ratio 0.1729
io_traces.ns135 S3FIFO-0.9500-0.9000 cache size    49769, 36800000 req, miss ratio 0.1285, byte miss ratio 0.1285
io_traces.ns135 S3FIFO-0.9500-0.9000 cache size   165897, 36800000 req, miss ratio 0.0801, byte miss ratio 0.0801
io_traces.ns135 S3FIFO-0.9500-0.9000 cache size   331795, 36800000 req, miss ratio 0.0653, byte miss ratio 0.0653
io_traces.ns135 S3FIFO-0.9500-0.9000 cache size   663591, 36800000 req, miss ratio 0.0539, byte miss ratio 0.0539
io_traces.ns135 S3FIFO-0.9500-0.9000 cache size  1327183, 36800000 req, miss ratio 0.0481, byte miss ratio 0.0481
io_traces.ns135 S3FIFO-0.1500-1.9000 cache size     1658, 36800000 req, miss ratio 0.1839, byte miss ratio 0.1839
io_traces.ns135 S3FIFO-0.1500-1.9000 cache size     4976, 36800000 req, miss ratio 0.1826, byte miss ratio 0.1826
io_traces.ns135 S3FIFO-0.1500-1.9000 cache size    16589, 36800000 req, miss ratio 0.1767, byte miss ratio 0.1767
io_traces.ns135 S3FIFO-0.1500-1.9000 cache size    49769, 36800000 req, miss ratio 0.1407, byte miss ratio 0.1407
io_traces.ns135 S3FIFO-0.1500-1.9000 cache size   165897, 36800000 req, miss ratio 0.0814, byte miss ratio 0.0814
io_traces.ns135 S3FIFO-0.1500-1.9000 cache size   331795, 36800000 req, miss ratio 0.0625, byte miss ratio 0.0625
io_traces.ns135 S3FIFO-0.1500-1.9000 cache size   663591, 36800000 req, miss ratio 0.0534, byte miss ratio 0.0534
io_traces.ns135 S3FIFO-0.1500-1.9000 cache size  1327183, 36800000 req, miss ratio 0.0464, byte miss ratio 0.0464
io_traces.ns135 S3FIFO-0.5000-1.9000 cache size     1658, 36800000 req, miss ratio 0.1839, byte miss ratio 0.1839
io_traces.ns135 S3FIFO-0.5000-1.9000 cache size     4976, 36800000 req, miss ratio 0.1833, byte miss ratio 0.1833
io_traces.ns135 S3FIFO-0.5000-1.9000 cache size    16589, 36800000 req, miss ratio 0.1785, byte miss ratio 0.1785
io_traces.ns135 S3FIFO-0.5000-1.9000 cache size    49769, 36800000 req, miss ratio 0.1320, byte miss ratio 0.1320
io_traces.ns135 S3FIFO-0.5000-1.9000 cache size   165897, 36800000 req, miss ratio 0.0759, byte miss ratio 0.0759
io_traces.ns135 S3FIFO-0.5000-1.9000 cache size   331795, 36800000 req, miss ratio 0.0604, byte miss ratio 0.0604
io_traces.ns135 S3FIFO-0.5000-1.9000 cache size   663591, 36800000 req, miss ratio 0.0529, byte miss ratio 0.0529
io_traces.ns135 S3FIFO-0.5000-1.9000 cache size  1327183, 36800000 req, miss ratio 0.0461, byte miss ratio 0.0461
io_traces.ns135 S3FIFO-0.9000-1.9000 cache size     1658, 36800000 req, miss ratio 0.1868, byte miss ratio 0.1868
io_traces.ns135 S3FIFO-0.9000-1.9000 cache size     4976, 36800000 req, miss ratio 0.1840, byte miss ratio 0.1840
io_traces.ns135 S3FIFO-0.9000-1.9000 cache size    16589, 36800000 req, miss ratio 0.1725, byte miss ratio 0.1725
io_traces.ns135 S3FIFO-0.9000-1.9000 cache size    49769, 36800000 req, miss ratio 0.1293, byte miss ratio 0.1293
io_traces.ns135 S3FIFO-0.9000-1.9000 cache size   165897, 36800000 req, miss ratio 0.0792, byte miss ratio 0.0792
io_traces.ns135 S3FIFO-0.9000-1.9000 cache size   331795, 36800000 req, miss ratio 0.0642, byte miss ratio 0.0642
io_traces.ns135 S3FIFO-0.9000-1.9000 cache size   663591, 36800000 req, miss ratio 0.0533, byte miss ratio 0.0533
io_traces.ns135 S3FIFO-0.9000-1.9000 cache size  1327183, 36800000 req, miss ratio 0.0476, byte miss ratio 0.0476
io_traces.ns135 S3FIFO-0.4500-0.9000 cache size     1658, 36800000 req, miss ratio 0.1839, byte miss ratio 0.1839
io_traces.ns135 S3FIFO-0.4500-0.9000 cache size     4976, 36800000 req, miss ratio 0.1832, byte miss ratio 0.1832
