cdn1_allcolo.ns50 S3FIFO-0.9900-0.9000 cache size     1009, 272838219 req, miss ratio 0.0060, byte miss ratio 0.0060
cdn1_allcolo.ns50 S3FIFO-0.9900-0.9000 cache size     3027, 272838219 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns50 S3FIFO-0.9900-0.9000 cache size    10090, 272838219 req, miss ratio 0.0038, byte miss ratio 0.0038
cdn1_allcolo.ns50 S3FIFO-0.9900-0.9000 cache size    30270, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.9900-0.9000 cache size   100901, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.9900-0.9000 cache size   201803, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.9900-0.9000 cache size   403606, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.9900-0.9000 cache size   807212, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.4000-1.9000 cache size     1009, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.4000-1.9000 cache size     3027, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.4000-1.9000 cache size    10090, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.4000-1.9000 cache size    30270, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.4000-1.9000 cache size   100901, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.4000-1.9000 cache size   201803, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.4000-1.9000 cache size   403606, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.4000-1.9000 cache size   807212, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0010-1.9000 cache size     1009, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0010-1.9000 cache size     3027, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0010-1.9000 cache size    10090, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0010-1.9000 cache size    30270, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0010-1.9000 cache size   100901, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0010-1.9000 cache size   201803, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0010-1.9000 cache size   403606, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0010-1.9000 cache size   807212, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.1500-1.9000 cache size     1009, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.1500-1.9000 cache size     3027, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.1500-1.9000 cache size    10090, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.1500-1.9000 cache size    30270, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.1500-1.9000 cache size   100901, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.1500-1.9000 cache size   201803, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.1500-1.9000 cache size   403606, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.1500-1.9000 cache size   807212, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.9500-1.9000 cache size     1009, 272838219 req, miss ratio 0.0057, byte miss ratio 0.0057
cdn1_allcolo.ns50 S3FIFO-0.9500-1.9000 cache size     3027, 272838219 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns50 S3FIFO-0.9500-1.9000 cache size    10090, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.9500-1.9000 cache size    30270, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.9500-1.9000 cache size   100901, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.9500-1.9000 cache size   201803, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.9500-1.9000 cache size   403606, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.9500-1.9000 cache size   807212, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.8000-1.9000 cache size     1009, 272838219 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_allcolo.ns50 S3FIFO-0.8000-1.9000 cache size     3027, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.8000-1.9000 cache size    10090, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.8000-1.9000 cache size    30270, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.8000-1.9000 cache size   100901, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.8000-1.9000 cache size   201803, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.8000-1.9000 cache size   403606, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.8000-1.9000 cache size   807212, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0500-0.9000 cache size     1009, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0500-0.9000 cache size     3027, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0500-0.9000 cache size    10090, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0500-0.9000 cache size    30270, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0500-0.9000 cache size   100901, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0500-0.9000 cache size   201803, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0500-0.9000 cache size   403606, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.0500-0.9000 cache size   807212, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.2000-0.9000 cache size     1009, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.2000-0.9000 cache size     3027, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.2000-0.9000 cache size    10090, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.2000-0.9000 cache size    30270, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.2000-0.9000 cache size   100901, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.2000-0.9000 cache size   201803, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns50 S3FIFO-0.2000-0.9000 cache size   403606, 272838219 req, miss ratio 0.0037, byte miss ratio 0.0037
