cdn1_allcolo.ns737874 S3FIFO-0.2500-0.9000 cache size      567, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.2500-0.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.2500-0.9000 cache size     5671, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.2500-0.9000 cache size    17013, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.2500-0.9000 cache size    56713, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.2500-0.9000 cache size   113426, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.2500-0.9000 cache size   226852, 16376747 req, miss ratio 0.0347, byte miss ratio 0.0347
cdn1_allcolo.ns737874 S3FIFO-0.2500-0.9000 cache size   453705, 16376747 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns737874 S3FIFO-0.6500-0.9000 cache size      567, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.6500-0.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.6500-0.9000 cache size     5671, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.6500-0.9000 cache size    17013, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.6500-0.9000 cache size    56713, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.6500-0.9000 cache size   113426, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.6500-0.9000 cache size   226852, 16376747 req, miss ratio 0.0347, byte miss ratio 0.0347
cdn1_allcolo.ns737874 S3FIFO-0.6500-0.9000 cache size   453705, 16376747 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns737874 S3FIFO-0.1000-1.9000 cache size      567, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.1000-1.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.1000-1.9000 cache size     5671, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.1000-1.9000 cache size    17013, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.1000-1.9000 cache size    56713, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.1000-1.9000 cache size   113426, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.1000-1.9000 cache size   226852, 16376747 req, miss ratio 0.0347, byte miss ratio 0.0347
cdn1_allcolo.ns737874 S3FIFO-0.1000-1.9000 cache size   453705, 16376747 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns737874 S3FIFO-0.3500-1.9000 cache size      567, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.3500-1.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.3500-1.9000 cache size     5671, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.3500-1.9000 cache size    17013, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.3500-1.9000 cache size    56713, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.3500-1.9000 cache size   113426, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.3500-1.9000 cache size   226852, 16376747 req, miss ratio 0.0347, byte miss ratio 0.0347
cdn1_allcolo.ns737874 S3FIFO-0.3500-1.9000 cache size   453705, 16376747 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns737874 S3FIFO-0.7000-0.9000 cache size      567, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.7000-0.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.7000-0.9000 cache size     5671, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.7000-0.9000 cache size    17013, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.7000-0.9000 cache size    56713, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.7000-0.9000 cache size   113426, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.7000-0.9000 cache size   226852, 16376747 req, miss ratio 0.0347, byte miss ratio 0.0347
cdn1_allcolo.ns737874 S3FIFO-0.7000-0.9000 cache size   453705, 16376747 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns737874 S3FIFO-0.0100-0.9000 cache size      567, 16376747 req, miss ratio 0.0360, byte miss ratio 0.0360
cdn1_allcolo.ns737874 S3FIFO-0.0100-0.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.0100-0.9000 cache size     5671, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.0100-0.9000 cache size    17013, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.0100-0.9000 cache size    56713, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.0100-0.9000 cache size   113426, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.0100-0.9000 cache size   226852, 16376747 req, miss ratio 0.0347, byte miss ratio 0.0347
cdn1_allcolo.ns737874 S3FIFO-0.0100-0.9000 cache size   453705, 16376747 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns737874 S3FIFO-0.0500-0.9000 cache size      567, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.0500-0.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.0500-0.9000 cache size     5671, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.0500-0.9000 cache size    17013, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.0500-0.9000 cache size    56713, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.0500-0.9000 cache size   113426, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.0500-0.9000 cache size   226852, 16376747 req, miss ratio 0.0347, byte miss ratio 0.0347
cdn1_allcolo.ns737874 S3FIFO-0.0500-0.9000 cache size   453705, 16376747 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns737874 S3FIFO-0.2000-0.9000 cache size      567, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.2000-0.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.2000-0.9000 cache size     5671, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.2000-0.9000 cache size    17013, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.2000-0.9000 cache size    56713, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.2000-0.9000 cache size   113426, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.2000-0.9000 cache size   226852, 16376747 req, miss ratio 0.0347, byte miss ratio 0.0347
cdn1_allcolo.ns737874 S3FIFO-0.2000-0.9000 cache size   453705, 16376747 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns737874 S3FIFO-0.9500-1.9000 cache size      567, 16376747 req, miss ratio 0.0350, byte miss ratio 0.0350
cdn1_allcolo.ns737874 S3FIFO-0.9500-1.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.9500-1.9000 cache size     5671, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.9500-1.9000 cache size    17013, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.9500-1.9000 cache size    56713, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.9500-1.9000 cache size   113426, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.9500-1.9000 cache size   226852, 16376747 req, miss ratio 0.0347, byte miss ratio 0.0347
cdn1_allcolo.ns737874 S3FIFO-0.9500-1.9000 cache size   453705, 16376747 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns737874 S3FIFO-0.7500-1.9000 cache size      567, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.7500-1.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.7500-1.9000 cache size     5671, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.7500-1.9000 cache size    17013, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.7500-1.9000 cache size    56713, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.7500-1.9000 cache size   113426, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.7500-1.9000 cache size   226852, 16376747 req, miss ratio 0.0347, byte miss ratio 0.0347
cdn1_allcolo.ns737874 S3FIFO-0.7500-1.9000 cache size   453705, 16376747 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns737874 S3FIFO-0.1000-0.9000 cache size      567, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.1000-0.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.1000-0.9000 cache size     5671, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.1000-0.9000 cache size    17013, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.1000-0.9000 cache size    56713, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.1000-0.9000 cache size   113426, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.1000-0.9000 cache size   226852, 16376747 req, miss ratio 0.0347, byte miss ratio 0.0347
cdn1_allcolo.ns737874 S3FIFO-0.1000-0.9000 cache size   453705, 16376747 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns737874 S3FIFO-0.1500-0.9000 cache size      567, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.1500-0.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.1500-0.9000 cache size     5671, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.1500-0.9000 cache size    17013, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.1500-0.9000 cache size    56713, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.1500-0.9000 cache size   113426, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.1500-0.9000 cache size   226852, 16376747 req, miss ratio 0.0347, byte miss ratio 0.0347
cdn1_allcolo.ns737874 S3FIFO-0.1500-0.9000 cache size   453705, 16376747 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns737874 S3FIFO-0.6000-0.9000 cache size      567, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.6000-0.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.6000-0.9000 cache size     5671, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.6000-0.9000 cache size    17013, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.6000-0.9000 cache size    56713, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.6000-0.9000 cache size   113426, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.6000-0.9000 cache size   226852, 16376747 req, miss ratio 0.0347, byte miss ratio 0.0347
cdn1_allcolo.ns737874 S3FIFO-0.6000-0.9000 cache size   453705, 16376747 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns737874 S3FIFO-0.3500-0.9000 cache size      567, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.3500-0.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.3500-0.9000 cache size     5671, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.3500-0.9000 cache size    17013, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.3500-0.9000 cache size    56713, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.3500-0.9000 cache size   113426, 16376747 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_allcolo.ns737874 S3FIFO-0.3500-0.9000 cache size   226852, 16376747 req, miss ratio 0.0347, byte miss ratio 0.0347
cdn1_allcolo.ns737874 S3FIFO-0.3500-0.9000 cache size   453705, 16376747 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns737874 S3FIFO-0.1500-1.9000 cache size      567, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns737874 S3FIFO-0.1500-1.9000 cache size     1701, 16376747 req, miss ratio 0.0349, byte miss ratio 0.0349
