tencentBlock.ns17463 S3FIFO-0.3500-1.9000 cache size      247, 1370131 req, miss ratio 0.5535, byte miss ratio 0.5535
tencentBlock.ns17463 S3FIFO-0.3500-1.9000 cache size      742, 1370131 req, miss ratio 0.5487, byte miss ratio 0.5487
tencentBlock.ns17463 S3FIFO-0.3500-1.9000 cache size     2475, 1370131 req, miss ratio 0.5454, byte miss ratio 0.5454
tencentBlock.ns17463 S3FIFO-0.3500-1.9000 cache size     7425, 1370131 req, miss ratio 0.5420, byte miss ratio 0.5420
tencentBlock.ns17463 S3FIFO-0.3500-1.9000 cache size    24751, 1370131 req, miss ratio 0.5109, byte miss ratio 0.5109
tencentBlock.ns17463 S3FIFO-0.3500-1.9000 cache size    49503, 1370131 req, miss ratio 0.4706, byte miss ratio 0.4706
tencentBlock.ns17463 S3FIFO-0.3500-1.9000 cache size    99007, 1370131 req, miss ratio 0.3173, byte miss ratio 0.3173
tencentBlock.ns17463 S3FIFO-0.3500-1.9000 cache size   198015, 1370131 req, miss ratio 0.1908, byte miss ratio 0.1908
tencentBlock.ns17463 S3FIFO-0.2000-0.9000 cache size      247, 1370131 req, miss ratio 0.5574, byte miss ratio 0.5574
tencentBlock.ns17463 S3FIFO-0.2000-0.9000 cache size      742, 1370131 req, miss ratio 0.5493, byte miss ratio 0.5493
tencentBlock.ns17463 S3FIFO-0.2000-0.9000 cache size     2475, 1370131 req, miss ratio 0.5456, byte miss ratio 0.5456
tencentBlock.ns17463 S3FIFO-0.2000-0.9000 cache size     7425, 1370131 req, miss ratio 0.5441, byte miss ratio 0.5441
tencentBlock.ns17463 S3FIFO-0.2000-0.9000 cache size    24751, 1370131 req, miss ratio 0.4953, byte miss ratio 0.4953
tencentBlock.ns17463 S3FIFO-0.2000-0.9000 cache size    49503, 1370131 req, miss ratio 0.4456, byte miss ratio 0.4456
tencentBlock.ns17463 S3FIFO-0.2000-0.9000 cache size    99007, 1370131 req, miss ratio 0.3080, byte miss ratio 0.3080
tencentBlock.ns17463 S3FIFO-0.2000-0.9000 cache size   198015, 1370131 req, miss ratio 0.1871, byte miss ratio 0.1871
tencentBlock.ns17463 S3FIFO-0.2500-1.9000 cache size      247, 1370131 req, miss ratio 0.5536, byte miss ratio 0.5536
tencentBlock.ns17463 S3FIFO-0.2500-1.9000 cache size      742, 1370131 req, miss ratio 0.5486, byte miss ratio 0.5486
tencentBlock.ns17463 S3FIFO-0.2500-1.9000 cache size     2475, 1370131 req, miss ratio 0.5454, byte miss ratio 0.5454
tencentBlock.ns17463 S3FIFO-0.2500-1.9000 cache size     7425, 1370131 req, miss ratio 0.5420, byte miss ratio 0.5420
tencentBlock.ns17463 S3FIFO-0.2500-1.9000 cache size    24751, 1370131 req, miss ratio 0.5071, byte miss ratio 0.5071
tencentBlock.ns17463 S3FIFO-0.2500-1.9000 cache size    49503, 1370131 req, miss ratio 0.4653, byte miss ratio 0.4653
tencentBlock.ns17463 S3FIFO-0.2500-1.9000 cache size    99007, 1370131 req, miss ratio 0.3072, byte miss ratio 0.3072
