cdn1_allcolo.ns2201 S3FIFO-0.9000-1.9000 cache size       10, 1678586 req, miss ratio 0.0477, byte miss ratio 0.0477
cdn1_allcolo.ns2201 S3FIFO-0.9000-1.9000 cache size       21, 1678586 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn1_allcolo.ns2201 S3FIFO-0.9000-1.9000 cache size       43, 1678586 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns2201 S3FIFO-0.9000-1.9000 cache size       87, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.5500-1.9000 cache size       10, 1678586 req, miss ratio 0.0375, byte miss ratio 0.0375
cdn1_allcolo.ns2201 S3FIFO-0.5500-1.9000 cache size       21, 1678586 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn1_allcolo.ns2201 S3FIFO-0.5500-1.9000 cache size       43, 1678586 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns2201 S3FIFO-0.5500-1.9000 cache size       87, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.6000-1.9000 cache size       10, 1678586 req, miss ratio 0.0402, byte miss ratio 0.0402
cdn1_allcolo.ns2201 S3FIFO-0.6000-1.9000 cache size       21, 1678586 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_allcolo.ns2201 S3FIFO-0.6000-1.9000 cache size       43, 1678586 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns2201 S3FIFO-0.6000-1.9000 cache size       87, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.6000-0.9000 cache size       10, 1678586 req, miss ratio 0.0404, byte miss ratio 0.0404
cdn1_allcolo.ns2201 S3FIFO-0.6000-0.9000 cache size       21, 1678586 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_allcolo.ns2201 S3FIFO-0.6000-0.9000 cache size       43, 1678586 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns2201 S3FIFO-0.6000-0.9000 cache size       87, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.0500-0.9000 cache size       10, 1678586 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2201 S3FIFO-0.0500-0.9000 cache size       21, 1678586 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2201 S3FIFO-0.0500-0.9000 cache size       43, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.0500-0.9000 cache size       87, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.7500-1.9000 cache size       10, 1678586 req, miss ratio 0.0427, byte miss ratio 0.0427
cdn1_allcolo.ns2201 S3FIFO-0.7500-1.9000 cache size       21, 1678586 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_allcolo.ns2201 S3FIFO-0.7500-1.9000 cache size       43, 1678586 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns2201 S3FIFO-0.7500-1.9000 cache size       87, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.0100-1.9000 cache size       10, 1678586 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2201 S3FIFO-0.0100-1.9000 cache size       21, 1678586 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2201 S3FIFO-0.0100-1.9000 cache size       43, 1678586 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2201 S3FIFO-0.0100-1.9000 cache size       87, 1678586 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2201 S3FIFO-0.7500-0.9000 cache size       10, 1678586 req, miss ratio 0.0431, byte miss ratio 0.0431
cdn1_allcolo.ns2201 S3FIFO-0.7500-0.9000 cache size       21, 1678586 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_allcolo.ns2201 S3FIFO-0.7500-0.9000 cache size       43, 1678586 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns2201 S3FIFO-0.7500-0.9000 cache size       87, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.0050-1.9000 cache size       10, 1678586 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2201 S3FIFO-0.0050-1.9000 cache size       21, 1678586 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2201 S3FIFO-0.0050-1.9000 cache size       43, 1678586 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2201 S3FIFO-0.0050-1.9000 cache size       87, 1678586 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2201 S3FIFO-0.0100-0.9000 cache size       10, 1678586 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2201 S3FIFO-0.0100-0.9000 cache size       21, 1678586 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2201 S3FIFO-0.0100-0.9000 cache size       43, 1678586 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2201 S3FIFO-0.0100-0.9000 cache size       87, 1678586 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2201 S3FIFO-0.1000-0.9000 cache size       10, 1678586 req, miss ratio 0.0281, byte miss ratio 0.0281
cdn1_allcolo.ns2201 S3FIFO-0.1000-0.9000 cache size       21, 1678586 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2201 S3FIFO-0.1000-0.9000 cache size       43, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.1000-0.9000 cache size       87, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.2000-0.9000 cache size       10, 1678586 req, miss ratio 0.0298, byte miss ratio 0.0298
cdn1_allcolo.ns2201 S3FIFO-0.2000-0.9000 cache size       21, 1678586 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_allcolo.ns2201 S3FIFO-0.2000-0.9000 cache size       43, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.2000-0.9000 cache size       87, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.4000-0.9000 cache size       10, 1678586 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns2201 S3FIFO-0.4000-0.9000 cache size       21, 1678586 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_allcolo.ns2201 S3FIFO-0.4000-0.9000 cache size       43, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.4000-0.9000 cache size       87, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.9500-0.9000 cache size       10, 1678586 req, miss ratio 0.0480, byte miss ratio 0.0480
cdn1_allcolo.ns2201 S3FIFO-0.9500-0.9000 cache size       21, 1678586 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_allcolo.ns2201 S3FIFO-0.9500-0.9000 cache size       43, 1678586 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns2201 S3FIFO-0.9500-0.9000 cache size       87, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns2201 S3FIFO-0.6500-0.9000 cache size       10, 1678586 req, miss ratio 0.0404, byte miss ratio 0.0404
cdn1_allcolo.ns2201 S3FIFO-0.6500-0.9000 cache size       21, 1678586 req, miss ratio 0.0025, byte miss ratio 0.0025
cdn1_allcolo.ns2201 S3FIFO-0.6500-0.9000 cache size       43, 1678586 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns2201 S3FIFO-0.6500-0.9000 cache size       87, 1678586 req, miss ratio 0.0001, byte miss ratio 0.0001
