cdn1_allcolo.ns939 S3FIFO-0.9500-1.9000 cache size       14, 2336471 req, miss ratio 0.0173, byte miss ratio 0.0173
cdn1_allcolo.ns939 S3FIFO-0.9500-1.9000 cache size       47, 2336471 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_allcolo.ns939 S3FIFO-0.9500-1.9000 cache size       94, 2336471 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns939 S3FIFO-0.9500-1.9000 cache size      188, 2336471 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns939 S3FIFO-0.9500-1.9000 cache size      376, 2336471 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns939 S3FIFO-0.8000-0.9000 cache size       14, 2336471 req, miss ratio 0.0162, byte miss ratio 0.0162
cdn1_allcolo.ns939 S3FIFO-0.8000-0.9000 cache size       47, 2336471 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_allcolo.ns939 S3FIFO-0.8000-0.9000 cache size       94, 2336471 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns939 S3FIFO-0.8000-0.9000 cache size      188, 2336471 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns939 S3FIFO-0.8000-0.9000 cache size      376, 2336471 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns939 S3FIFO-0.0050-1.9000 cache size       14, 2336471 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns939 S3FIFO-0.0050-1.9000 cache size       47, 2336471 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns939 S3FIFO-0.0050-1.9000 cache size       94, 2336471 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns939 S3FIFO-0.0050-1.9000 cache size      188, 2336471 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns939 S3FIFO-0.0050-1.9000 cache size      376, 2336471 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns939 S3FIFO-0.6500-1.9000 cache size       14, 2336471 req, miss ratio 0.0146, byte miss ratio 0.0146
cdn1_allcolo.ns939 S3FIFO-0.6500-1.9000 cache size       47, 2336471 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns939 S3FIFO-0.6500-1.9000 cache size       94, 2336471 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns939 S3FIFO-0.6500-1.9000 cache size      188, 2336471 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns939 S3FIFO-0.6500-1.9000 cache size      376, 2336471 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns939 S3FIFO-0.7500-1.9000 cache size       14, 2336471 req, miss ratio 0.0152, byte miss ratio 0.0152
cdn1_allcolo.ns939 S3FIFO-0.7500-1.9000 cache size       47, 2336471 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns939 S3FIFO-0.7500-1.9000 cache size       94, 2336471 req, miss ratio 0.0006, byte miss ratio 0.0006
