web_2.IQI.bin S3FIFO-0.8500-1.9000 cache size   132127, 5175368 req, miss ratio 0.9603, byte miss ratio 0.9603
web_2.IQI.bin S3FIFO-0.8500-1.9000 cache size   264254, 5175368 req, miss ratio 0.8565, byte miss ratio 0.8565
web_2.IQI.bin S3FIFO-0.8500-1.9000 cache size   528508, 5175368 req, miss ratio 0.7623, byte miss ratio 0.7623
web_2.IQI.bin S3FIFO-0.8500-1.9000 cache size  1057016, 5175368 req, miss ratio 0.4272, byte miss ratio 0.4272
web_2.IQI.bin S3FIFO-0.3000-1.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.3000-1.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.3000-1.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.3000-1.9000 cache size    39638, 5175368 req, miss ratio 0.9817, byte miss ratio 0.9817
web_2.IQI.bin S3FIFO-0.3000-1.9000 cache size   132127, 5175368 req, miss ratio 0.9924, byte miss ratio 0.9924
web_2.IQI.bin S3FIFO-0.3000-1.9000 cache size   264254, 5175368 req, miss ratio 0.9633, byte miss ratio 0.9633
web_2.IQI.bin S3FIFO-0.3000-1.9000 cache size   528508, 5175368 req, miss ratio 0.7917, byte miss ratio 0.7917
web_2.IQI.bin S3FIFO-0.3000-1.9000 cache size  1057016, 5175368 req, miss ratio 0.4565, byte miss ratio 0.4565
web_2.IQI.bin S3FIFO-0.1000-1.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.1000-1.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.1000-1.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.1000-1.9000 cache size    39638, 5175368 req, miss ratio 0.9817, byte miss ratio 0.9817
