cdn1_allcolo.ns99 S3FIFO-0.3500-1.9000 cache size       12, 1542597 req, miss ratio 0.1256, byte miss ratio 0.1256
cdn1_allcolo.ns99 S3FIFO-0.3500-1.9000 cache size       42, 1542597 req, miss ratio 0.0299, byte miss ratio 0.0299
cdn1_allcolo.ns99 S3FIFO-0.3500-1.9000 cache size      127, 1542597 req, miss ratio 0.0091, byte miss ratio 0.0091
cdn1_allcolo.ns99 S3FIFO-0.3500-1.9000 cache size      424, 1542597 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns99 S3FIFO-0.3500-1.9000 cache size      849, 1542597 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_allcolo.ns99 S3FIFO-0.3500-1.9000 cache size     1698, 1542597 req, miss ratio 0.0029, byte miss ratio 0.0029
cdn1_allcolo.ns99 S3FIFO-0.3500-1.9000 cache size     3396, 1542597 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_allcolo.ns99 S3FIFO-0.7500-1.9000 cache size       12, 1542597 req, miss ratio 0.1578, byte miss ratio 0.1578
cdn1_allcolo.ns99 S3FIFO-0.7500-1.9000 cache size       42, 1542597 req, miss ratio 0.0389, byte miss ratio 0.0389
cdn1_allcolo.ns99 S3FIFO-0.7500-1.9000 cache size      127, 1542597 req, miss ratio 0.0124, byte miss ratio 0.0124
cdn1_allcolo.ns99 S3FIFO-0.7500-1.9000 cache size      424, 1542597 req, miss ratio 0.0053, byte miss ratio 0.0053
cdn1_allcolo.ns99 S3FIFO-0.7500-1.9000 cache size      849, 1542597 req, miss ratio 0.0039, byte miss ratio 0.0039
cdn1_allcolo.ns99 S3FIFO-0.7500-1.9000 cache size     1698, 1542597 req, miss ratio 0.0031, byte miss ratio 0.0031
cdn1_allcolo.ns99 S3FIFO-0.7500-1.9000 cache size     3396, 1542597 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_allcolo.ns99 S3FIFO-0.9000-1.9000 cache size       12, 1542597 req, miss ratio 0.1646, byte miss ratio 0.1646
cdn1_allcolo.ns99 S3FIFO-0.9000-1.9000 cache size       42, 1542597 req, miss ratio 0.0432, byte miss ratio 0.0432
cdn1_allcolo.ns99 S3FIFO-0.9000-1.9000 cache size      127, 1542597 req, miss ratio 0.0140, byte miss ratio 0.0140
cdn1_allcolo.ns99 S3FIFO-0.9000-1.9000 cache size      424, 1542597 req, miss ratio 0.0059, byte miss ratio 0.0059
cdn1_allcolo.ns99 S3FIFO-0.9000-1.9000 cache size      849, 1542597 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns99 S3FIFO-0.9000-1.9000 cache size     1698, 1542597 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_allcolo.ns99 S3FIFO-0.9000-1.9000 cache size     3396, 1542597 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_allcolo.ns99 S3FIFO-0.6500-1.9000 cache size       12, 1542597 req, miss ratio 0.1432, byte miss ratio 0.1432
cdn1_allcolo.ns99 S3FIFO-0.6500-1.9000 cache size       42, 1542597 req, miss ratio 0.0365, byte miss ratio 0.0365
cdn1_allcolo.ns99 S3FIFO-0.6500-1.9000 cache size      127, 1542597 req, miss ratio 0.0114, byte miss ratio 0.0114
cdn1_allcolo.ns99 S3FIFO-0.6500-1.9000 cache size      424, 1542597 req, miss ratio 0.0050, byte miss ratio 0.0050
cdn1_allcolo.ns99 S3FIFO-0.6500-1.9000 cache size      849, 1542597 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns99 S3FIFO-0.6500-1.9000 cache size     1698, 1542597 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_allcolo.ns99 S3FIFO-0.6500-1.9000 cache size     3396, 1542597 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_allcolo.ns99 S3FIFO-0.0010-0.9000 cache size       12, 1542597 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns99 S3FIFO-0.0010-0.9000 cache size       42, 1542597 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns99 S3FIFO-0.0010-0.9000 cache size      127, 1542597 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns99 S3FIFO-0.0010-0.9000 cache size      424, 1542597 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns99 S3FIFO-0.0010-0.9000 cache size      849, 1542597 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns99 S3FIFO-0.0010-0.9000 cache size     1698, 1542597 req, miss ratio 0.0029, byte miss ratio 0.0029
cdn1_allcolo.ns99 S3FIFO-0.0010-0.9000 cache size     3396, 1542597 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_allcolo.ns99 S3FIFO-0.0010-1.9000 cache size       12, 1542597 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns99 S3FIFO-0.0010-1.9000 cache size       42, 1542597 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns99 S3FIFO-0.0010-1.9000 cache size      127, 1542597 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns99 S3FIFO-0.0010-1.9000 cache size      424, 1542597 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns99 S3FIFO-0.0010-1.9000 cache size      849, 1542597 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns99 S3FIFO-0.0010-1.9000 cache size     1698, 1542597 req, miss ratio 0.0029, byte miss ratio 0.0029
cdn1_allcolo.ns99 S3FIFO-0.0010-1.9000 cache size     3396, 1542597 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_allcolo.ns99 S3FIFO-0.7000-1.9000 cache size       12, 1542597 req, miss ratio 0.1506, byte miss ratio 0.1506
cdn1_allcolo.ns99 S3FIFO-0.7000-1.9000 cache size       42, 1542597 req, miss ratio 0.0377, byte miss ratio 0.0377
cdn1_allcolo.ns99 S3FIFO-0.7000-1.9000 cache size      127, 1542597 req, miss ratio 0.0118, byte miss ratio 0.0118
cdn1_allcolo.ns99 S3FIFO-0.7000-1.9000 cache size      424, 1542597 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns99 S3FIFO-0.7000-1.9000 cache size      849, 1542597 req, miss ratio 0.0038, byte miss ratio 0.0038
cdn1_allcolo.ns99 S3FIFO-0.7000-1.9000 cache size     1698, 1542597 req, miss ratio 0.0031, byte miss ratio 0.0031
cdn1_allcolo.ns99 S3FIFO-0.7000-1.9000 cache size     3396, 1542597 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_allcolo.ns99 S3FIFO-0.7000-0.9000 cache size       12, 1542597 req, miss ratio 0.1517, byte miss ratio 0.1517
cdn1_allcolo.ns99 S3FIFO-0.7000-0.9000 cache size       42, 1542597 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_allcolo.ns99 S3FIFO-0.7000-0.9000 cache size      127, 1542597 req, miss ratio 0.0119, byte miss ratio 0.0119
cdn1_allcolo.ns99 S3FIFO-0.7000-0.9000 cache size      424, 1542597 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns99 S3FIFO-0.7000-0.9000 cache size      849, 1542597 req, miss ratio 0.0038, byte miss ratio 0.0038
cdn1_allcolo.ns99 S3FIFO-0.7000-0.9000 cache size     1698, 1542597 req, miss ratio 0.0031, byte miss ratio 0.0031
cdn1_allcolo.ns99 S3FIFO-0.7000-0.9000 cache size     3396, 1542597 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_allcolo.ns99 S3FIFO-0.3500-0.9000 cache size       12, 1542597 req, miss ratio 0.1231, byte miss ratio 0.1231
cdn1_allcolo.ns99 S3FIFO-0.3500-0.9000 cache size       42, 1542597 req, miss ratio 0.0297, byte miss ratio 0.0297
cdn1_allcolo.ns99 S3FIFO-0.3500-0.9000 cache size      127, 1542597 req, miss ratio 0.0090, byte miss ratio 0.0090
cdn1_allcolo.ns99 S3FIFO-0.3500-0.9000 cache size      424, 1542597 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns99 S3FIFO-0.3500-0.9000 cache size      849, 1542597 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_allcolo.ns99 S3FIFO-0.3500-0.9000 cache size     1698, 1542597 req, miss ratio 0.0029, byte miss ratio 0.0029
cdn1_allcolo.ns99 S3FIFO-0.3500-0.9000 cache size     3396, 1542597 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_allcolo.ns99 S3FIFO-0.9500-0.9000 cache size       12, 1542597 req, miss ratio 0.1732, byte miss ratio 0.1732
cdn1_allcolo.ns99 S3FIFO-0.9500-0.9000 cache size       42, 1542597 req, miss ratio 0.0456, byte miss ratio 0.0456
cdn1_allcolo.ns99 S3FIFO-0.9500-0.9000 cache size      127, 1542597 req, miss ratio 0.0147, byte miss ratio 0.0147
cdn1_allcolo.ns99 S3FIFO-0.9500-0.9000 cache size      424, 1542597 req, miss ratio 0.0063, byte miss ratio 0.0063
