tencentBlock.ns21640 S3FIFO-0.3000-0.9000 cache size      175, 1679619 req, miss ratio 0.4499, byte miss ratio 0.4499
tencentBlock.ns21640 S3FIFO-0.3000-0.9000 cache size      527, 1679619 req, miss ratio 0.4318, byte miss ratio 0.4318
tencentBlock.ns21640 S3FIFO-0.3000-0.9000 cache size     1759, 1679619 req, miss ratio 0.4261, byte miss ratio 0.4261
tencentBlock.ns21640 S3FIFO-0.3000-0.9000 cache size     5278, 1679619 req, miss ratio 0.4250, byte miss ratio 0.4250
tencentBlock.ns21640 S3FIFO-0.3000-0.9000 cache size    17596, 1679619 req, miss ratio 0.3892, byte miss ratio 0.3892
tencentBlock.ns21640 S3FIFO-0.3000-0.9000 cache size    35192, 1679619 req, miss ratio 0.3451, byte miss ratio 0.3451
tencentBlock.ns21640 S3FIFO-0.3000-0.9000 cache size    70384, 1679619 req, miss ratio 0.2510, byte miss ratio 0.2510
tencentBlock.ns21640 S3FIFO-0.3000-0.9000 cache size   140769, 1679619 req, miss ratio 0.1232, byte miss ratio 0.1232
tencentBlock.ns21640 S3FIFO-0.6500-1.9000 cache size      175, 1679619 req, miss ratio 0.4737, byte miss ratio 0.4737
tencentBlock.ns21640 S3FIFO-0.6500-1.9000 cache size      527, 1679619 req, miss ratio 0.4375, byte miss ratio 0.4375
tencentBlock.ns21640 S3FIFO-0.6500-1.9000 cache size     1759, 1679619 req, miss ratio 0.4273, byte miss ratio 0.4273
tencentBlock.ns21640 S3FIFO-0.6500-1.9000 cache size     5278, 1679619 req, miss ratio 0.4252, byte miss ratio 0.4252
tencentBlock.ns21640 S3FIFO-0.6500-1.9000 cache size    17596, 1679619 req, miss ratio 0.4013, byte miss ratio 0.4013
tencentBlock.ns21640 S3FIFO-0.6500-1.9000 cache size    35192, 1679619 req, miss ratio 0.3539, byte miss ratio 0.3539
tencentBlock.ns21640 S3FIFO-0.6500-1.9000 cache size    70384, 1679619 req, miss ratio 0.2567, byte miss ratio 0.2567
tencentBlock.ns21640 S3FIFO-0.6500-1.9000 cache size   140769, 1679619 req, miss ratio 0.1287, byte miss ratio 0.1287
tencentBlock.ns21640 S3FIFO-0.3500-1.9000 cache size      175, 1679619 req, miss ratio 0.4501, byte miss ratio 0.4501
tencentBlock.ns21640 S3FIFO-0.3500-1.9000 cache size      527, 1679619 req, miss ratio 0.4316, byte miss ratio 0.4316
tencentBlock.ns21640 S3FIFO-0.3500-1.9000 cache size     1759, 1679619 req, miss ratio 0.4260, byte miss ratio 0.4260
tencentBlock.ns21640 S3FIFO-0.3500-1.9000 cache size     5278, 1679619 req, miss ratio 0.4249, byte miss ratio 0.4249
tencentBlock.ns21640 S3FIFO-0.3500-1.9000 cache size    17596, 1679619 req, miss ratio 0.3932, byte miss ratio 0.3932
tencentBlock.ns21640 S3FIFO-0.3500-1.9000 cache size    35192, 1679619 req, miss ratio 0.3480, byte miss ratio 0.3480
tencentBlock.ns21640 S3FIFO-0.3500-1.9000 cache size    70384, 1679619 req, miss ratio 0.2530, byte miss ratio 0.2530
tencentBlock.ns21640 S3FIFO-0.3500-1.9000 cache size   140769, 1679619 req, miss ratio 0.1237, byte miss ratio 0.1237
tencentBlock.ns21640 S3FIFO-0.5500-0.9000 cache size      175, 1679619 req, miss ratio 0.4616, byte miss ratio 0.4616
tencentBlock.ns21640 S3FIFO-0.5500-0.9000 cache size      527, 1679619 req, miss ratio 0.4349, byte miss ratio 0.4349
tencentBlock.ns21640 S3FIFO-0.5500-0.9000 cache size     1759, 1679619 req, miss ratio 0.4267, byte miss ratio 0.4267
tencentBlock.ns21640 S3FIFO-0.5500-0.9000 cache size     5278, 1679619 req, miss ratio 0.4250, byte miss ratio 0.4250
tencentBlock.ns21640 S3FIFO-0.5500-0.9000 cache size    17596, 1679619 req, miss ratio 0.3948, byte miss ratio 0.3948
tencentBlock.ns21640 S3FIFO-0.5500-0.9000 cache size    35192, 1679619 req, miss ratio 0.3522, byte miss ratio 0.3522
tencentBlock.ns21640 S3FIFO-0.5500-0.9000 cache size    70384, 1679619 req, miss ratio 0.2561, byte miss ratio 0.2561
tencentBlock.ns21640 S3FIFO-0.5500-0.9000 cache size   140769, 1679619 req, miss ratio 0.1263, byte miss ratio 0.1263
tencentBlock.ns21640 S3FIFO-0.8000-0.9000 cache size      175, 1679619 req, miss ratio 0.5006, byte miss ratio 0.5006
tencentBlock.ns21640 S3FIFO-0.8000-0.9000 cache size      527, 1679619 req, miss ratio 0.4439, byte miss ratio 0.4439
tencentBlock.ns21640 S3FIFO-0.8000-0.9000 cache size     1759, 1679619 req, miss ratio 0.4294, byte miss ratio 0.4294
tencentBlock.ns21640 S3FIFO-0.8000-0.9000 cache size     5278, 1679619 req, miss ratio 0.4254, byte miss ratio 0.4254
tencentBlock.ns21640 S3FIFO-0.8000-0.9000 cache size    17596, 1679619 req, miss ratio 0.4063, byte miss ratio 0.4063
tencentBlock.ns21640 S3FIFO-0.8000-0.9000 cache size    35192, 1679619 req, miss ratio 0.3609, byte miss ratio 0.3609
tencentBlock.ns21640 S3FIFO-0.8000-0.9000 cache size    70384, 1679619 req, miss ratio 0.2571, byte miss ratio 0.2571
tencentBlock.ns21640 S3FIFO-0.8000-0.9000 cache size   140769, 1679619 req, miss ratio 0.1351, byte miss ratio 0.1351
tencentBlock.ns21640 S3FIFO-0.0250-1.9000 cache size      175, 1679619 req, miss ratio 0.5218, byte miss ratio 0.5218
tencentBlock.ns21640 S3FIFO-0.0250-1.9000 cache size      527, 1679619 req, miss ratio 0.4354, byte miss ratio 0.4354
tencentBlock.ns21640 S3FIFO-0.0250-1.9000 cache size     1759, 1679619 req, miss ratio 0.4273, byte miss ratio 0.4273
