tencentBlock.ns12926 S3FIFO-0.5500-1.9000 cache size       87, 1877043 req, miss ratio 0.3763, byte miss ratio 0.3763
tencentBlock.ns12926 S3FIFO-0.5500-1.9000 cache size      262, 1877043 req, miss ratio 0.2742, byte miss ratio 0.2742
tencentBlock.ns12926 S3FIFO-0.5500-1.9000 cache size      875, 1877043 req, miss ratio 0.2589, byte miss ratio 0.2589
tencentBlock.ns12926 S3FIFO-0.5500-1.9000 cache size     2625, 1877043 req, miss ratio 0.2476, byte miss ratio 0.2476
tencentBlock.ns12926 S3FIFO-0.5500-1.9000 cache size     8751, 1877043 req, miss ratio 0.2349, byte miss ratio 0.2349
tencentBlock.ns12926 S3FIFO-0.5500-1.9000 cache size    17503, 1877043 req, miss ratio 0.2423, byte miss ratio 0.2423
tencentBlock.ns12926 S3FIFO-0.5500-1.9000 cache size    35007, 1877043 req, miss ratio 0.1882, byte miss ratio 0.1882
tencentBlock.ns12926 S3FIFO-0.5500-1.9000 cache size    70014, 1877043 req, miss ratio 0.0644, byte miss ratio 0.0644
tencentBlock.ns12926 S3FIFO-0.2000-1.9000 cache size       87, 1877043 req, miss ratio 0.3321, byte miss ratio 0.3321
tencentBlock.ns12926 S3FIFO-0.2000-1.9000 cache size      262, 1877043 req, miss ratio 0.2685, byte miss ratio 0.2685
tencentBlock.ns12926 S3FIFO-0.2000-1.9000 cache size      875, 1877043 req, miss ratio 0.2567, byte miss ratio 0.2567
tencentBlock.ns12926 S3FIFO-0.2000-1.9000 cache size     2625, 1877043 req, miss ratio 0.2461, byte miss ratio 0.2461
tencentBlock.ns12926 S3FIFO-0.2000-1.9000 cache size     8751, 1877043 req, miss ratio 0.2281, byte miss ratio 0.2281
tencentBlock.ns12926 S3FIFO-0.2000-1.9000 cache size    17503, 1877043 req, miss ratio 0.2308, byte miss ratio 0.2308
tencentBlock.ns12926 S3FIFO-0.2000-1.9000 cache size    35007, 1877043 req, miss ratio 0.1767, byte miss ratio 0.1767
tencentBlock.ns12926 S3FIFO-0.2000-1.9000 cache size    70014, 1877043 req, miss ratio 0.0533, byte miss ratio 0.0533
tencentBlock.ns12926 S3FIFO-0.7000-1.9000 cache size       87, 1877043 req, miss ratio 0.4100, byte miss ratio 0.4100
tencentBlock.ns12926 S3FIFO-0.7000-1.9000 cache size      262, 1877043 req, miss ratio 0.3032, byte miss ratio 0.3032
tencentBlock.ns12926 S3FIFO-0.7000-1.9000 cache size      875, 1877043 req, miss ratio 0.2615, byte miss ratio 0.2615
