cdn1_colo28.ns179 S3FIFO-0.3500-1.9000 cache size     4242, 4305194 req, miss ratio 0.9862, byte miss ratio 0.9862
cdn1_colo28.ns179 S3FIFO-0.3500-1.9000 cache size    12727, 4305194 req, miss ratio 0.9860, byte miss ratio 0.9860
cdn1_colo28.ns179 S3FIFO-0.3500-1.9000 cache size    42425, 4305194 req, miss ratio 0.9859, byte miss ratio 0.9859
cdn1_colo28.ns179 S3FIFO-0.3500-1.9000 cache size   127277, 4305194 req, miss ratio 0.9858, byte miss ratio 0.9858
cdn1_colo28.ns179 S3FIFO-0.3500-1.9000 cache size   424257, 4305194 req, miss ratio 0.9857, byte miss ratio 0.9857
cdn1_colo28.ns179 S3FIFO-0.3500-1.9000 cache size   848514, 4305194 req, miss ratio 0.9856, byte miss ratio 0.9856
cdn1_colo28.ns179 S3FIFO-0.3500-1.9000 cache size  1697029, 4305194 req, miss ratio 0.9855, byte miss ratio 0.9855
cdn1_colo28.ns179 S3FIFO-0.3500-1.9000 cache size  3394059, 4305194 req, miss ratio 0.9855, byte miss ratio 0.9855
cdn1_colo28.ns179 S3FIFO-0.3500-0.9000 cache size     4242, 4305194 req, miss ratio 0.9862, byte miss ratio 0.9862
cdn1_colo28.ns179 S3FIFO-0.3500-0.9000 cache size    12727, 4305194 req, miss ratio 0.9860, byte miss ratio 0.9860
cdn1_colo28.ns179 S3FIFO-0.3500-0.9000 cache size    42425, 4305194 req, miss ratio 0.9859, byte miss ratio 0.9859
cdn1_colo28.ns179 S3FIFO-0.3500-0.9000 cache size   127277, 4305194 req, miss ratio 0.9858, byte miss ratio 0.9858
cdn1_colo28.ns179 S3FIFO-0.3500-0.9000 cache size   424257, 4305194 req, miss ratio 0.9857, byte miss ratio 0.9857
cdn1_colo28.ns179 S3FIFO-0.3500-0.9000 cache size   848514, 4305194 req, miss ratio 0.9856, byte miss ratio 0.9856
cdn1_colo28.ns179 S3FIFO-0.3500-0.9000 cache size  1697029, 4305194 req, miss ratio 0.9855, byte miss ratio 0.9855
cdn1_colo28.ns179 S3FIFO-0.3500-0.9000 cache size  3394059, 4305194 req, miss ratio 0.9855, byte miss ratio 0.9855
cdn1_colo28.ns179 S3FIFO-0.3000-1.9000 cache size     4242, 4305194 req, miss ratio 0.9862, byte miss ratio 0.9862
cdn1_colo28.ns179 S3FIFO-0.3000-1.9000 cache size    12727, 4305194 req, miss ratio 0.9860, byte miss ratio 0.9860
cdn1_colo28.ns179 S3FIFO-0.3000-1.9000 cache size    42425, 4305194 req, miss ratio 0.9859, byte miss ratio 0.9859
cdn1_colo28.ns179 S3FIFO-0.3000-1.9000 cache size   127277, 4305194 req, miss ratio 0.9858, byte miss ratio 0.9858
cdn1_colo28.ns179 S3FIFO-0.3000-1.9000 cache size   424257, 4305194 req, miss ratio 0.9857, byte miss ratio 0.9857
cdn1_colo28.ns179 S3FIFO-0.3000-1.9000 cache size   848514, 4305194 req, miss ratio 0.9856, byte miss ratio 0.9856
cdn1_colo28.ns179 S3FIFO-0.3000-1.9000 cache size  1697029, 4305194 req, miss ratio 0.9855, byte miss ratio 0.9855
cdn1_colo28.ns179 S3FIFO-0.3000-1.9000 cache size  3394059, 4305194 req, miss ratio 0.9855, byte miss ratio 0.9855
cdn1_colo28.ns179 S3FIFO-0.0250-0.9000 cache size     4242, 4305194 req, miss ratio 0.9867, byte miss ratio 0.9867
cdn1_colo28.ns179 S3FIFO-0.0250-0.9000 cache size    12727, 4305194 req, miss ratio 0.9863, byte miss ratio 0.9863
cdn1_colo28.ns179 S3FIFO-0.0250-0.9000 cache size    42425, 4305194 req, miss ratio 0.9860, byte miss ratio 0.9860
cdn1_colo28.ns179 S3FIFO-0.0250-0.9000 cache size   127277, 4305194 req, miss ratio 0.9858, byte miss ratio 0.9858
cdn1_colo28.ns179 S3FIFO-0.0250-0.9000 cache size   424257, 4305194 req, miss ratio 0.9857, byte miss ratio 0.9857
cdn1_colo28.ns179 S3FIFO-0.0250-0.9000 cache size   848514, 4305194 req, miss ratio 0.9856, byte miss ratio 0.9856
cdn1_colo28.ns179 S3FIFO-0.0250-0.9000 cache size  1697029, 4305194 req, miss ratio 0.9855, byte miss ratio 0.9855
cdn1_colo28.ns179 S3FIFO-0.0250-0.9000 cache size  3394059, 4305194 req, miss ratio 0.9855, byte miss ratio 0.9855
