cdn1_allcolo.ns696 S3FIFO-0.9900-1.9000 cache size      256, 1032514 req, miss ratio 0.2499, byte miss ratio 0.2499
cdn1_allcolo.ns696 S3FIFO-0.9900-1.9000 cache size      770, 1032514 req, miss ratio 0.2488, byte miss ratio 0.2488
cdn1_allcolo.ns696 S3FIFO-0.9900-1.9000 cache size     2567, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.9900-1.9000 cache size     7701, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.9900-1.9000 cache size    25672, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.9900-1.9000 cache size    51344, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.9900-1.9000 cache size   102688, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.9900-1.9000 cache size   205376, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.1000-1.9000 cache size      256, 1032514 req, miss ratio 0.2488, byte miss ratio 0.2488
cdn1_allcolo.ns696 S3FIFO-0.1000-1.9000 cache size      770, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.1000-1.9000 cache size     2567, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.1000-1.9000 cache size     7701, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.1000-1.9000 cache size    25672, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.1000-1.9000 cache size    51344, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.1000-1.9000 cache size   102688, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.1000-1.9000 cache size   205376, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.9500-1.9000 cache size      256, 1032514 req, miss ratio 0.2488, byte miss ratio 0.2488
cdn1_allcolo.ns696 S3FIFO-0.9500-1.9000 cache size      770, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.9500-1.9000 cache size     2567, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.9500-1.9000 cache size     7701, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.9500-1.9000 cache size    25672, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.9500-1.9000 cache size    51344, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.9500-1.9000 cache size   102688, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.9500-1.9000 cache size   205376, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.0250-0.9000 cache size      256, 1032514 req, miss ratio 0.2489, byte miss ratio 0.2489
cdn1_allcolo.ns696 S3FIFO-0.0250-0.9000 cache size      770, 1032514 req, miss ratio 0.2488, byte miss ratio 0.2488
cdn1_allcolo.ns696 S3FIFO-0.0250-0.9000 cache size     2567, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.0250-0.9000 cache size     7701, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.0250-0.9000 cache size    25672, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.0250-0.9000 cache size    51344, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.0250-0.9000 cache size   102688, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.0250-0.9000 cache size   205376, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.0100-1.9000 cache size      256, 1032514 req, miss ratio 0.2489, byte miss ratio 0.2489
cdn1_allcolo.ns696 S3FIFO-0.0100-1.9000 cache size      770, 1032514 req, miss ratio 0.2488, byte miss ratio 0.2488
cdn1_allcolo.ns696 S3FIFO-0.0100-1.9000 cache size     2567, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.0100-1.9000 cache size     7701, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.0100-1.9000 cache size    25672, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.0100-1.9000 cache size    51344, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.0100-1.9000 cache size   102688, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.0100-1.9000 cache size   205376, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.6000-1.9000 cache size      256, 1032514 req, miss ratio 0.2488, byte miss ratio 0.2488
cdn1_allcolo.ns696 S3FIFO-0.6000-1.9000 cache size      770, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.6000-1.9000 cache size     2567, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.6000-1.9000 cache size     7701, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.6000-1.9000 cache size    25672, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.6000-1.9000 cache size    51344, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.6000-1.9000 cache size   102688, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.6000-1.9000 cache size   205376, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.2500-0.9000 cache size      256, 1032514 req, miss ratio 0.2488, byte miss ratio 0.2488
cdn1_allcolo.ns696 S3FIFO-0.2500-0.9000 cache size      770, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.2500-0.9000 cache size     2567, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.2500-0.9000 cache size     7701, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.2500-0.9000 cache size    25672, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.2500-0.9000 cache size    51344, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.2500-0.9000 cache size   102688, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.2500-0.9000 cache size   205376, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
cdn1_allcolo.ns696 S3FIFO-0.9000-0.9000 cache size      256, 1032514 req, miss ratio 0.2488, byte miss ratio 0.2488
cdn1_allcolo.ns696 S3FIFO-0.9000-0.9000 cache size      770, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.9000-0.9000 cache size     2567, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.9000-0.9000 cache size     7701, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.9000-0.9000 cache size    25672, 1032514 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns696 S3FIFO-0.9000-0.9000 cache size    51344, 1032514 req, miss ratio 0.2486, byte miss ratio 0.2486
