cdn1_allcolo.ns226 S3FIFO-0.7500-0.9000 cache size      905, 35787141 req, miss ratio 0.1801, byte miss ratio 0.1801
cdn1_allcolo.ns226 S3FIFO-0.7500-0.9000 cache size     2716, 35787141 req, miss ratio 0.0683, byte miss ratio 0.0683
cdn1_allcolo.ns226 S3FIFO-0.7500-0.9000 cache size     9054, 35787141 req, miss ratio 0.0277, byte miss ratio 0.0277
cdn1_allcolo.ns226 S3FIFO-0.7500-0.9000 cache size    27164, 35787141 req, miss ratio 0.0254, byte miss ratio 0.0254
cdn1_allcolo.ns226 S3FIFO-0.7500-0.9000 cache size    90549, 35787141 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_allcolo.ns226 S3FIFO-0.7500-0.9000 cache size   181099, 35787141 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_allcolo.ns226 S3FIFO-0.7500-0.9000 cache size   362198, 35787141 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_allcolo.ns226 S3FIFO-0.7500-0.9000 cache size   724396, 35787141 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_allcolo.ns226 S3FIFO-0.9900-1.9000 cache size      905, 35787141 req, miss ratio 0.2035, byte miss ratio 0.2035
cdn1_allcolo.ns226 S3FIFO-0.9900-1.9000 cache size     2716, 35787141 req, miss ratio 0.0800, byte miss ratio 0.0800
cdn1_allcolo.ns226 S3FIFO-0.9900-1.9000 cache size     9054, 35787141 req, miss ratio 0.0316, byte miss ratio 0.0316
cdn1_allcolo.ns226 S3FIFO-0.9900-1.9000 cache size    27164, 35787141 req, miss ratio 0.0254, byte miss ratio 0.0254
cdn1_allcolo.ns226 S3FIFO-0.9900-1.9000 cache size    90549, 35787141 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_allcolo.ns226 S3FIFO-0.9900-1.9000 cache size   181099, 35787141 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_allcolo.ns226 S3FIFO-0.9900-1.9000 cache size   362198, 35787141 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_allcolo.ns226 S3FIFO-0.9900-1.9000 cache size   724396, 35787141 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_allcolo.ns226 S3FIFO-0.5500-0.9000 cache size      905, 35787141 req, miss ratio 0.1595, byte miss ratio 0.1595
cdn1_allcolo.ns226 S3FIFO-0.5500-0.9000 cache size     2716, 35787141 req, miss ratio 0.0605, byte miss ratio 0.0605
cdn1_allcolo.ns226 S3FIFO-0.5500-0.9000 cache size     9054, 35787141 req, miss ratio 0.0275, byte miss ratio 0.0275
cdn1_allcolo.ns226 S3FIFO-0.5500-0.9000 cache size    27164, 35787141 req, miss ratio 0.0254, byte miss ratio 0.0254
cdn1_allcolo.ns226 S3FIFO-0.5500-0.9000 cache size    90549, 35787141 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_allcolo.ns226 S3FIFO-0.5500-0.9000 cache size   181099, 35787141 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_allcolo.ns226 S3FIFO-0.5500-0.9000 cache size   362198, 35787141 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_allcolo.ns226 S3FIFO-0.5500-0.9000 cache size   724396, 35787141 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_allcolo.ns226 S3FIFO-0.0250-0.9000 cache size      905, 35787141 req, miss ratio 0.1188, byte miss ratio 0.1188
cdn1_allcolo.ns226 S3FIFO-0.0250-0.9000 cache size     2716, 35787141 req, miss ratio 0.0525, byte miss ratio 0.0525
cdn1_allcolo.ns226 S3FIFO-0.0250-0.9000 cache size     9054, 35787141 req, miss ratio 0.0351, byte miss ratio 0.0351
cdn1_allcolo.ns226 S3FIFO-0.0250-0.9000 cache size    27164, 35787141 req, miss ratio 0.0315, byte miss ratio 0.0315
cdn1_allcolo.ns226 S3FIFO-0.0250-0.9000 cache size    90549, 35787141 req, miss ratio 0.0276, byte miss ratio 0.0276
cdn1_allcolo.ns226 S3FIFO-0.0250-0.9000 cache size   181099, 35787141 req, miss ratio 0.0260, byte miss ratio 0.0260
