cdn1_allcolo.ns1714 S3FIFO-0.0250-1.9000 cache size        9, 2364054 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1714 S3FIFO-0.0250-1.9000 cache size       29, 2364054 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1714 S3FIFO-0.0250-1.9000 cache size       98, 2364054 req, miss ratio 0.0584, byte miss ratio 0.0584
cdn1_allcolo.ns1714 S3FIFO-0.0250-1.9000 cache size      197, 2364054 req, miss ratio 0.0116, byte miss ratio 0.0116
cdn1_allcolo.ns1714 S3FIFO-0.0250-1.9000 cache size      394, 2364054 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns1714 S3FIFO-0.0250-1.9000 cache size      788, 2364054 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns1714 S3FIFO-0.6500-0.9000 cache size        9, 2364054 req, miss ratio 0.7527, byte miss ratio 0.7527
cdn1_allcolo.ns1714 S3FIFO-0.6500-0.9000 cache size       29, 2364054 req, miss ratio 0.4800, byte miss ratio 0.4800
cdn1_allcolo.ns1714 S3FIFO-0.6500-0.9000 cache size       98, 2364054 req, miss ratio 0.0928, byte miss ratio 0.0928
cdn1_allcolo.ns1714 S3FIFO-0.6500-0.9000 cache size      197, 2364054 req, miss ratio 0.0193, byte miss ratio 0.0193
cdn1_allcolo.ns1714 S3FIFO-0.6500-0.9000 cache size      394, 2364054 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn1_allcolo.ns1714 S3FIFO-0.6500-0.9000 cache size      788, 2364054 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1714 S3FIFO-0.1500-0.9000 cache size        9, 2364054 req, miss ratio 0.6975, byte miss ratio 0.6975
cdn1_allcolo.ns1714 S3FIFO-0.1500-0.9000 cache size       29, 2364054 req, miss ratio 0.4111, byte miss ratio 0.4111
cdn1_allcolo.ns1714 S3FIFO-0.1500-0.9000 cache size       98, 2364054 req, miss ratio 0.0622, byte miss ratio 0.0622
cdn1_allcolo.ns1714 S3FIFO-0.1500-0.9000 cache size      197, 2364054 req, miss ratio 0.0126, byte miss ratio 0.0126
cdn1_allcolo.ns1714 S3FIFO-0.1500-0.9000 cache size      394, 2364054 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns1714 S3FIFO-0.1500-0.9000 cache size      788, 2364054 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns1714 S3FIFO-0.3000-1.9000 cache size        9, 2364054 req, miss ratio 0.7266, byte miss ratio 0.7266
cdn1_allcolo.ns1714 S3FIFO-0.3000-1.9000 cache size       29, 2364054 req, miss ratio 0.4420, byte miss ratio 0.4420
cdn1_allcolo.ns1714 S3FIFO-0.3000-1.9000 cache size       98, 2364054 req, miss ratio 0.0694, byte miss ratio 0.0694
cdn1_allcolo.ns1714 S3FIFO-0.3000-1.9000 cache size      197, 2364054 req, miss ratio 0.0141, byte miss ratio 0.0141
cdn1_allcolo.ns1714 S3FIFO-0.3000-1.9000 cache size      394, 2364054 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_allcolo.ns1714 S3FIFO-0.3000-1.9000 cache size      788, 2364054 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns1714 S3FIFO-0.9500-0.9000 cache size        9, 2364054 req, miss ratio 0.7984, byte miss ratio 0.7984
cdn1_allcolo.ns1714 S3FIFO-0.9500-0.9000 cache size       29, 2364054 req, miss ratio 0.5159, byte miss ratio 0.5159
cdn1_allcolo.ns1714 S3FIFO-0.9500-0.9000 cache size       98, 2364054 req, miss ratio 0.1142, byte miss ratio 0.1142
cdn1_allcolo.ns1714 S3FIFO-0.9500-0.9000 cache size      197, 2364054 req, miss ratio 0.0255, byte miss ratio 0.0255
cdn1_allcolo.ns1714 S3FIFO-0.9500-0.9000 cache size      394, 2364054 req, miss ratio 0.0031, byte miss ratio 0.0031
cdn1_allcolo.ns1714 S3FIFO-0.9500-0.9000 cache size      788, 2364054 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns1714 S3FIFO-0.0500-1.9000 cache size        9, 2364054 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1714 S3FIFO-0.0500-1.9000 cache size       29, 2364054 req, miss ratio 0.4116, byte miss ratio 0.4116
