io_traces.ns717 S3FIFO-0.4000-0.9000 cache size     1068, 3600000 req, miss ratio 0.6529, byte miss ratio 0.6529
io_traces.ns717 S3FIFO-0.4000-0.9000 cache size     3205, 3600000 req, miss ratio 0.6510, byte miss ratio 0.6510
io_traces.ns717 S3FIFO-0.4000-0.9000 cache size    10684, 3600000 req, miss ratio 0.6194, byte miss ratio 0.6194
io_traces.ns717 S3FIFO-0.4000-0.9000 cache size    32054, 3600000 req, miss ratio 0.5675, byte miss ratio 0.5675
io_traces.ns717 S3FIFO-0.4000-0.9000 cache size   106849, 3600000 req, miss ratio 0.5058, byte miss ratio 0.5058
io_traces.ns717 S3FIFO-0.4000-0.9000 cache size   213699, 3600000 req, miss ratio 0.4365, byte miss ratio 0.4365
io_traces.ns717 S3FIFO-0.4000-0.9000 cache size   427398, 3600000 req, miss ratio 0.3422, byte miss ratio 0.3422
io_traces.ns717 S3FIFO-0.4000-0.9000 cache size   854796, 3600000 req, miss ratio 0.2979, byte miss ratio 0.2979
io_traces.ns717 S3FIFO-0.3500-0.9000 cache size     1068, 3600000 req, miss ratio 0.6523, byte miss ratio 0.6523
io_traces.ns717 S3FIFO-0.3500-0.9000 cache size     3205, 3600000 req, miss ratio 0.6510, byte miss ratio 0.6510
io_traces.ns717 S3FIFO-0.3500-0.9000 cache size    10684, 3600000 req, miss ratio 0.6194, byte miss ratio 0.6194
io_traces.ns717 S3FIFO-0.3500-0.9000 cache size    32054, 3600000 req, miss ratio 0.5679, byte miss ratio 0.5679
io_traces.ns717 S3FIFO-0.3500-0.9000 cache size   106849, 3600000 req, miss ratio 0.5194, byte miss ratio 0.5194
io_traces.ns717 S3FIFO-0.3500-0.9000 cache size   213699, 3600000 req, miss ratio 0.4331, byte miss ratio 0.4331
io_traces.ns717 S3FIFO-0.3500-0.9000 cache size   427398, 3600000 req, miss ratio 0.3394, byte miss ratio 0.3394
io_traces.ns717 S3FIFO-0.3500-0.9000 cache size   854796, 3600000 req, miss ratio 0.2979, byte miss ratio 0.2979
io_traces.ns717 S3FIFO-0.9900-1.9000 cache size     1068, 3600000 req, miss ratio 0.6714, byte miss ratio 0.6714
io_traces.ns717 S3FIFO-0.9900-1.9000 cache size     3205, 3600000 req, miss ratio 0.6605, byte miss ratio 0.6605
io_traces.ns717 S3FIFO-0.9900-1.9000 cache size    10684, 3600000 req, miss ratio 0.6022, byte miss ratio 0.6022
io_traces.ns717 S3FIFO-0.9900-1.9000 cache size    32054, 3600000 req, miss ratio 0.5772, byte miss ratio 0.5772
io_traces.ns717 S3FIFO-0.9900-1.9000 cache size   106849, 3600000 req, miss ratio 0.5215, byte miss ratio 0.5215
io_traces.ns717 S3FIFO-0.9900-1.9000 cache size   213699, 3600000 req, miss ratio 0.4647, byte miss ratio 0.4647
io_traces.ns717 S3FIFO-0.9900-1.9000 cache size   427398, 3600000 req, miss ratio 0.3800, byte miss ratio 0.3800
io_traces.ns717 S3FIFO-0.9900-1.9000 cache size   854796, 3600000 req, miss ratio 0.3125, byte miss ratio 0.3125
io_traces.ns717 S3FIFO-0.9000-1.9000 cache size     1068, 3600000 req, miss ratio 0.6589, byte miss ratio 0.6589
io_traces.ns717 S3FIFO-0.9000-1.9000 cache size     3205, 3600000 req, miss ratio 0.6560, byte miss ratio 0.6560
io_traces.ns717 S3FIFO-0.9000-1.9000 cache size    10684, 3600000 req, miss ratio 0.6010, byte miss ratio 0.6010
io_traces.ns717 S3FIFO-0.9000-1.9000 cache size    32054, 3600000 req, miss ratio 0.5743, byte miss ratio 0.5743
io_traces.ns717 S3FIFO-0.9000-1.9000 cache size   106849, 3600000 req, miss ratio 0.5183, byte miss ratio 0.5183
io_traces.ns717 S3FIFO-0.9000-1.9000 cache size   213699, 3600000 req, miss ratio 0.4624, byte miss ratio 0.4624
