cdn1_colo28.ns2817 S3FIFO-0.1000-1.9000 cache size      207, 1180372 req, miss ratio 0.3628, byte miss ratio 0.3628
cdn1_colo28.ns2817 S3FIFO-0.1000-1.9000 cache size      622, 1180372 req, miss ratio 0.3434, byte miss ratio 0.3434
cdn1_colo28.ns2817 S3FIFO-0.1000-1.9000 cache size     2074, 1180372 req, miss ratio 0.3231, byte miss ratio 0.3231
cdn1_colo28.ns2817 S3FIFO-0.1000-1.9000 cache size     6222, 1180372 req, miss ratio 0.2949, byte miss ratio 0.2949
cdn1_colo28.ns2817 S3FIFO-0.1000-1.9000 cache size    20742, 1180372 req, miss ratio 0.2494, byte miss ratio 0.2494
cdn1_colo28.ns2817 S3FIFO-0.1000-1.9000 cache size    41484, 1180372 req, miss ratio 0.2192, byte miss ratio 0.2192
cdn1_colo28.ns2817 S3FIFO-0.1000-1.9000 cache size    82969, 1180372 req, miss ratio 0.1949, byte miss ratio 0.1949
cdn1_colo28.ns2817 S3FIFO-0.1000-1.9000 cache size   165938, 1180372 req, miss ratio 0.1771, byte miss ratio 0.1771
cdn1_colo28.ns2817 S3FIFO-0.0500-0.9000 cache size      207, 1180372 req, miss ratio 0.3719, byte miss ratio 0.3719
cdn1_colo28.ns2817 S3FIFO-0.0500-0.9000 cache size      622, 1180372 req, miss ratio 0.3452, byte miss ratio 0.3452
cdn1_colo28.ns2817 S3FIFO-0.0500-0.9000 cache size     2074, 1180372 req, miss ratio 0.3233, byte miss ratio 0.3233
cdn1_colo28.ns2817 S3FIFO-0.0500-0.9000 cache size     6222, 1180372 req, miss ratio 0.2943, byte miss ratio 0.2943
cdn1_colo28.ns2817 S3FIFO-0.0500-0.9000 cache size    20742, 1180372 req, miss ratio 0.2483, byte miss ratio 0.2483
cdn1_colo28.ns2817 S3FIFO-0.0500-0.9000 cache size    41484, 1180372 req, miss ratio 0.2187, byte miss ratio 0.2187
cdn1_colo28.ns2817 S3FIFO-0.0500-0.9000 cache size    82969, 1180372 req, miss ratio 0.1949, byte miss ratio 0.1949
cdn1_colo28.ns2817 S3FIFO-0.0500-0.9000 cache size   165938, 1180372 req, miss ratio 0.1771, byte miss ratio 0.1771
cdn1_colo28.ns2817 S3FIFO-0.8000-1.9000 cache size      207, 1180372 req, miss ratio 0.3642, byte miss ratio 0.3642
cdn1_colo28.ns2817 S3FIFO-0.8000-1.9000 cache size      622, 1180372 req, miss ratio 0.3482, byte miss ratio 0.3482
cdn1_colo28.ns2817 S3FIFO-0.8000-1.9000 cache size     2074, 1180372 req, miss ratio 0.3299, byte miss ratio 0.3299
cdn1_colo28.ns2817 S3FIFO-0.8000-1.9000 cache size     6222, 1180372 req, miss ratio 0.3057, byte miss ratio 0.3057
cdn1_colo28.ns2817 S3FIFO-0.8000-1.9000 cache size    20742, 1180372 req, miss ratio 0.2649, byte miss ratio 0.2649
cdn1_colo28.ns2817 S3FIFO-0.8000-1.9000 cache size    41484, 1180372 req, miss ratio 0.2331, byte miss ratio 0.2331
cdn1_colo28.ns2817 S3FIFO-0.8000-1.9000 cache size    82969, 1180372 req, miss ratio 0.2014, byte miss ratio 0.2014
cdn1_colo28.ns2817 S3FIFO-0.8000-1.9000 cache size   165938, 1180372 req, miss ratio 0.1790, byte miss ratio 0.1790
cdn1_colo28.ns2817 S3FIFO-0.8500-0.9000 cache size      207, 1180372 req, miss ratio 0.3646, byte miss ratio 0.3646
cdn1_colo28.ns2817 S3FIFO-0.8500-0.9000 cache size      622, 1180372 req, miss ratio 0.3488, byte miss ratio 0.3488
cdn1_colo28.ns2817 S3FIFO-0.8500-0.9000 cache size     2074, 1180372 req, miss ratio 0.3305, byte miss ratio 0.3305
cdn1_colo28.ns2817 S3FIFO-0.8500-0.9000 cache size     6222, 1180372 req, miss ratio 0.3064, byte miss ratio 0.3064
cdn1_colo28.ns2817 S3FIFO-0.8500-0.9000 cache size    20742, 1180372 req, miss ratio 0.2661, byte miss ratio 0.2661
cdn1_colo28.ns2817 S3FIFO-0.8500-0.9000 cache size    41484, 1180372 req, miss ratio 0.2346, byte miss ratio 0.2346
cdn1_colo28.ns2817 S3FIFO-0.8500-0.9000 cache size    82969, 1180372 req, miss ratio 0.2027, byte miss ratio 0.2027
cdn1_colo28.ns2817 S3FIFO-0.8500-0.9000 cache size   165938, 1180372 req, miss ratio 0.1792, byte miss ratio 0.1792
cdn1_colo28.ns2817 S3FIFO-0.8500-1.9000 cache size      207, 1180372 req, miss ratio 0.3647, byte miss ratio 0.3647
cdn1_colo28.ns2817 S3FIFO-0.8500-1.9000 cache size      622, 1180372 req, miss ratio 0.3489, byte miss ratio 0.3489
cdn1_colo28.ns2817 S3FIFO-0.8500-1.9000 cache size     2074, 1180372 req, miss ratio 0.3306, byte miss ratio 0.3306
cdn1_colo28.ns2817 S3FIFO-0.8500-1.9000 cache size     6222, 1180372 req, miss ratio 0.3065, byte miss ratio 0.3065
cdn1_colo28.ns2817 S3FIFO-0.8500-1.9000 cache size    20742, 1180372 req, miss ratio 0.2661, byte miss ratio 0.2661
cdn1_colo28.ns2817 S3FIFO-0.8500-1.9000 cache size    41484, 1180372 req, miss ratio 0.2346, byte miss ratio 0.2346
cdn1_colo28.ns2817 S3FIFO-0.8500-1.9000 cache size    82969, 1180372 req, miss ratio 0.2027, byte miss ratio 0.2027
cdn1_colo28.ns2817 S3FIFO-0.8500-1.9000 cache size   165938, 1180372 req, miss ratio 0.1792, byte miss ratio 0.1792
cdn1_colo28.ns2817 S3FIFO-0.7000-1.9000 cache size      207, 1180372 req, miss ratio 0.3630, byte miss ratio 0.3630
cdn1_colo28.ns2817 S3FIFO-0.7000-1.9000 cache size      622, 1180372 req, miss ratio 0.3469, byte miss ratio 0.3469
cdn1_colo28.ns2817 S3FIFO-0.7000-1.9000 cache size     2074, 1180372 req, miss ratio 0.3286, byte miss ratio 0.3286
