cdn1_allcolo.ns219 S3FIFO-0.2500-1.9000 cache size      122, 48389557 req, miss ratio 0.3393, byte miss ratio 0.3393
cdn1_allcolo.ns219 S3FIFO-0.2500-1.9000 cache size      368, 48389557 req, miss ratio 0.1646, byte miss ratio 0.1646
cdn1_allcolo.ns219 S3FIFO-0.2500-1.9000 cache size     1229, 48389557 req, miss ratio 0.0617, byte miss ratio 0.0617
cdn1_allcolo.ns219 S3FIFO-0.2500-1.9000 cache size     3687, 48389557 req, miss ratio 0.0293, byte miss ratio 0.0293
cdn1_allcolo.ns219 S3FIFO-0.2500-1.9000 cache size    12291, 48389557 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_allcolo.ns219 S3FIFO-0.2500-1.9000 cache size    24583, 48389557 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_allcolo.ns219 S3FIFO-0.2500-1.9000 cache size    49166, 48389557 req, miss ratio 0.0050, byte miss ratio 0.0050
cdn1_allcolo.ns219 S3FIFO-0.2500-1.9000 cache size    98333, 48389557 req, miss ratio 0.0027, byte miss ratio 0.0027
cdn1_allcolo.ns219 S3FIFO-0.2000-1.9000 cache size      122, 48389557 req, miss ratio 0.3361, byte miss ratio 0.3361
cdn1_allcolo.ns219 S3FIFO-0.2000-1.9000 cache size      368, 48389557 req, miss ratio 0.1602, byte miss ratio 0.1602
cdn1_allcolo.ns219 S3FIFO-0.2000-1.9000 cache size     1229, 48389557 req, miss ratio 0.0598, byte miss ratio 0.0598
cdn1_allcolo.ns219 S3FIFO-0.2000-1.9000 cache size     3687, 48389557 req, miss ratio 0.0286, byte miss ratio 0.0286
cdn1_allcolo.ns219 S3FIFO-0.2000-1.9000 cache size    12291, 48389557 req, miss ratio 0.0147, byte miss ratio 0.0147
cdn1_allcolo.ns219 S3FIFO-0.2000-1.9000 cache size    24583, 48389557 req, miss ratio 0.0092, byte miss ratio 0.0092
cdn1_allcolo.ns219 S3FIFO-0.2000-1.9000 cache size    49166, 48389557 req, miss ratio 0.0050, byte miss ratio 0.0050
cdn1_allcolo.ns219 S3FIFO-0.2000-1.9000 cache size    98333, 48389557 req, miss ratio 0.0027, byte miss ratio 0.0027
cdn1_allcolo.ns219 S3FIFO-0.2000-0.9000 cache size      122, 48389557 req, miss ratio 0.3305, byte miss ratio 0.3305
cdn1_allcolo.ns219 S3FIFO-0.2000-0.9000 cache size      368, 48389557 req, miss ratio 0.1565, byte miss ratio 0.1565
cdn1_allcolo.ns219 S3FIFO-0.2000-0.9000 cache size     1229, 48389557 req, miss ratio 0.0584, byte miss ratio 0.0584
cdn1_allcolo.ns219 S3FIFO-0.2000-0.9000 cache size     3687, 48389557 req, miss ratio 0.0279, byte miss ratio 0.0279
cdn1_allcolo.ns219 S3FIFO-0.2000-0.9000 cache size    12291, 48389557 req, miss ratio 0.0143, byte miss ratio 0.0143
cdn1_allcolo.ns219 S3FIFO-0.2000-0.9000 cache size    24583, 48389557 req, miss ratio 0.0090, byte miss ratio 0.0090
cdn1_allcolo.ns219 S3FIFO-0.2000-0.9000 cache size    49166, 48389557 req, miss ratio 0.0050, byte miss ratio 0.0050
cdn1_allcolo.ns219 S3FIFO-0.2000-0.9000 cache size    98333, 48389557 req, miss ratio 0.0027, byte miss ratio 0.0027
cdn1_allcolo.ns219 S3FIFO-0.0500-1.9000 cache size      122, 48389557 req, miss ratio 0.3265, byte miss ratio 0.3265
cdn1_allcolo.ns219 S3FIFO-0.0500-1.9000 cache size      368, 48389557 req, miss ratio 0.1491, byte miss ratio 0.1491
cdn1_allcolo.ns219 S3FIFO-0.0500-1.9000 cache size     1229, 48389557 req, miss ratio 0.0547, byte miss ratio 0.0547
cdn1_allcolo.ns219 S3FIFO-0.0500-1.9000 cache size     3687, 48389557 req, miss ratio 0.0269, byte miss ratio 0.0269
cdn1_allcolo.ns219 S3FIFO-0.0500-1.9000 cache size    12291, 48389557 req, miss ratio 0.0140, byte miss ratio 0.0140
cdn1_allcolo.ns219 S3FIFO-0.0500-1.9000 cache size    24583, 48389557 req, miss ratio 0.0088, byte miss ratio 0.0088
cdn1_allcolo.ns219 S3FIFO-0.0500-1.9000 cache size    49166, 48389557 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns219 S3FIFO-0.0500-1.9000 cache size    98333, 48389557 req, miss ratio 0.0027, byte miss ratio 0.0027
cdn1_allcolo.ns219 S3FIFO-0.4000-1.9000 cache size      122, 48389557 req, miss ratio 0.3534, byte miss ratio 0.3534
cdn1_allcolo.ns219 S3FIFO-0.4000-1.9000 cache size      368, 48389557 req, miss ratio 0.1781, byte miss ratio 0.1781
cdn1_allcolo.ns219 S3FIFO-0.4000-1.9000 cache size     1229, 48389557 req, miss ratio 0.0676, byte miss ratio 0.0676
cdn1_allcolo.ns219 S3FIFO-0.4000-1.9000 cache size     3687, 48389557 req, miss ratio 0.0315, byte miss ratio 0.0315
cdn1_allcolo.ns219 S3FIFO-0.4000-1.9000 cache size    12291, 48389557 req, miss ratio 0.0158, byte miss ratio 0.0158
cdn1_allcolo.ns219 S3FIFO-0.4000-1.9000 cache size    24583, 48389557 req, miss ratio 0.0098, byte miss ratio 0.0098
cdn1_allcolo.ns219 S3FIFO-0.4000-1.9000 cache size    49166, 48389557 req, miss ratio 0.0053, byte miss ratio 0.0053
cdn1_allcolo.ns219 S3FIFO-0.4000-1.9000 cache size    98333, 48389557 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_allcolo.ns219 S3FIFO-0.9900-0.9000 cache size      122, 48389557 req, miss ratio 0.4456, byte miss ratio 0.4456
cdn1_allcolo.ns219 S3FIFO-0.9900-0.9000 cache size      368, 48389557 req, miss ratio 0.2442, byte miss ratio 0.2442
cdn1_allcolo.ns219 S3FIFO-0.9900-0.9000 cache size     1229, 48389557 req, miss ratio 0.1012, byte miss ratio 0.1012
cdn1_allcolo.ns219 S3FIFO-0.9900-0.9000 cache size     3687, 48389557 req, miss ratio 0.0461, byte miss ratio 0.0461
