src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size     6170, 45746222 req, miss ratio 0.9744, byte miss ratio 0.9744
src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size    18511, 45746222 req, miss ratio 0.9581, byte miss ratio 0.9581
src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size    61705, 45746222 req, miss ratio 0.9247, byte miss ratio 0.9247
src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size   185117, 45746222 req, miss ratio 0.8948, byte miss ratio 0.8948
src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size   617059, 45746222 req, miss ratio 0.8376, byte miss ratio 0.8376
src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size  1234118, 45746222 req, miss ratio 0.7734, byte miss ratio 0.7734
src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size  2468236, 45746222 req, miss ratio 0.6620, byte miss ratio 0.6620
src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size  4936472, 45746222 req, miss ratio 0.3444, byte miss ratio 0.3444
src1_1.IQI.bin S3FIFO-0.3500-0.9000 cache size     6170, 45746222 req, miss ratio 0.9762, byte miss ratio 0.9762
src1_1.IQI.bin S3FIFO-0.3500-0.9000 cache size    18511, 45746222 req, miss ratio 0.9606, byte miss ratio 0.9606
src1_1.IQI.bin S3FIFO-0.3500-0.9000 cache size    61705, 45746222 req, miss ratio 0.9275, byte miss ratio 0.9275
src1_1.IQI.bin S3FIFO-0.3500-0.9000 cache size   185117, 45746222 req, miss ratio 0.8986, byte miss ratio 0.8986
src1_1.IQI.bin S3FIFO-0.3500-0.9000 cache size   617059, 45746222 req, miss ratio 0.8440, byte miss ratio 0.8440
src1_1.IQI.bin S3FIFO-0.3500-0.9000 cache size  1234118, 45746222 req, miss ratio 0.7585, byte miss ratio 0.7585
src1_1.IQI.bin S3FIFO-0.3500-0.9000 cache size  2468236, 45746222 req, miss ratio 0.5935, byte miss ratio 0.5935
src1_1.IQI.bin S3FIFO-0.3500-0.9000 cache size  4936472, 45746222 req, miss ratio 0.3433, byte miss ratio 0.3433
src1_1.IQI.bin S3FIFO-0.5500-1.9000 cache size     6170, 45746222 req, miss ratio 0.9734, byte miss ratio 0.9734
src1_1.IQI.bin S3FIFO-0.5500-1.9000 cache size    18511, 45746222 req, miss ratio 0.9572, byte miss ratio 0.9572
src1_1.IQI.bin S3FIFO-0.5500-1.9000 cache size    61705, 45746222 req, miss ratio 0.9231, byte miss ratio 0.9231
src1_1.IQI.bin S3FIFO-0.5500-1.9000 cache size   185117, 45746222 req, miss ratio 0.8893, byte miss ratio 0.8893
src1_1.IQI.bin S3FIFO-0.5500-1.9000 cache size   617059, 45746222 req, miss ratio 0.8323, byte miss ratio 0.8323
src1_1.IQI.bin S3FIFO-0.5500-1.9000 cache size  1234118, 45746222 req, miss ratio 0.7725, byte miss ratio 0.7725
src1_1.IQI.bin S3FIFO-0.5500-1.9000 cache size  2468236, 45746222 req, miss ratio 0.7110, byte miss ratio 0.7110
src1_1.IQI.bin S3FIFO-0.5500-1.9000 cache size  4936472, 45746222 req, miss ratio 0.3427, byte miss ratio 0.3427
src1_1.IQI.bin S3FIFO-0.9000-0.9000 cache size     6170, 45746222 req, miss ratio 0.9711, byte miss ratio 0.9711
src1_1.IQI.bin S3FIFO-0.9000-0.9000 cache size    18511, 45746222 req, miss ratio 0.9531, byte miss ratio 0.9531
src1_1.IQI.bin S3FIFO-0.9000-0.9000 cache size    61705, 45746222 req, miss ratio 0.9238, byte miss ratio 0.9238
src1_1.IQI.bin S3FIFO-0.9000-0.9000 cache size   185117, 45746222 req, miss ratio 0.8878, byte miss ratio 0.8878
src1_1.IQI.bin S3FIFO-0.9000-0.9000 cache size   617059, 45746222 req, miss ratio 0.8113, byte miss ratio 0.8113
src1_1.IQI.bin S3FIFO-0.9000-0.9000 cache size  1234118, 45746222 req, miss ratio 0.7755, byte miss ratio 0.7755
src1_1.IQI.bin S3FIFO-0.9000-0.9000 cache size  2468236, 45746222 req, miss ratio 0.6798, byte miss ratio 0.6798
src1_1.IQI.bin S3FIFO-0.9000-0.9000 cache size  4936472, 45746222 req, miss ratio 0.3593, byte miss ratio 0.3593
src1_1.IQI.bin S3FIFO-0.2000-1.9000 cache size     6170, 45746222 req, miss ratio 0.9783, byte miss ratio 0.9783
src1_1.IQI.bin S3FIFO-0.2000-1.9000 cache size    18511, 45746222 req, miss ratio 0.9639, byte miss ratio 0.9639
src1_1.IQI.bin S3FIFO-0.2000-1.9000 cache size    61705, 45746222 req, miss ratio 0.9323, byte miss ratio 0.9323
src1_1.IQI.bin S3FIFO-0.2000-1.9000 cache size   185117, 45746222 req, miss ratio 0.9031, byte miss ratio 0.9031
src1_1.IQI.bin S3FIFO-0.2000-1.9000 cache size   617059, 45746222 req, miss ratio 0.8484, byte miss ratio 0.8484
src1_1.IQI.bin S3FIFO-0.2000-1.9000 cache size  1234118, 45746222 req, miss ratio 0.6836, byte miss ratio 0.6836
src1_1.IQI.bin S3FIFO-0.2000-1.9000 cache size  2468236, 45746222 req, miss ratio 0.6550, byte miss ratio 0.6550
src1_1.IQI.bin S3FIFO-0.2000-1.9000 cache size  4936472, 45746222 req, miss ratio 0.3070, byte miss ratio 0.3070
src1_1.IQI.bin S3FIFO-0.4000-1.9000 cache size     6170, 45746222 req, miss ratio 0.9753, byte miss ratio 0.9753
src1_1.IQI.bin S3FIFO-0.4000-1.9000 cache size    18511, 45746222 req, miss ratio 0.9600, byte miss ratio 0.9600
src1_1.IQI.bin S3FIFO-0.4000-1.9000 cache size    61705, 45746222 req, miss ratio 0.9248, byte miss ratio 0.9248
src1_1.IQI.bin S3FIFO-0.4000-1.9000 cache size   185117, 45746222 req, miss ratio 0.8928, byte miss ratio 0.8928
src1_1.IQI.bin S3FIFO-0.4000-1.9000 cache size   617059, 45746222 req, miss ratio 0.8431, byte miss ratio 0.8431
src1_1.IQI.bin S3FIFO-0.4000-1.9000 cache size  1234118, 45746222 req, miss ratio 0.7666, byte miss ratio 0.7666
src1_1.IQI.bin S3FIFO-0.4000-1.9000 cache size  2468236, 45746222 req, miss ratio 0.6927, byte miss ratio 0.6927
src1_1.IQI.bin S3FIFO-0.4000-1.9000 cache size  4936472, 45746222 req, miss ratio 0.3357, byte miss ratio 0.3357
src1_1.IQI.bin S3FIFO-0.8500-1.9000 cache size     6170, 45746222 req, miss ratio 0.9707, byte miss ratio 0.9707
