cdn1_colo28.ns3041 S3FIFO-0.4500-1.9000 cache size      186, 3787763 req, miss ratio 0.1476, byte miss ratio 0.1476
cdn1_colo28.ns3041 S3FIFO-0.4500-1.9000 cache size      560, 3787763 req, miss ratio 0.0875, byte miss ratio 0.0875
cdn1_colo28.ns3041 S3FIFO-0.4500-1.9000 cache size     1868, 3787763 req, miss ratio 0.0694, byte miss ratio 0.0694
cdn1_colo28.ns3041 S3FIFO-0.4500-1.9000 cache size     5604, 3787763 req, miss ratio 0.0640, byte miss ratio 0.0640
cdn1_colo28.ns3041 S3FIFO-0.4500-1.9000 cache size    18681, 3787763 req, miss ratio 0.0598, byte miss ratio 0.0598
cdn1_colo28.ns3041 S3FIFO-0.4500-1.9000 cache size    37363, 3787763 req, miss ratio 0.0571, byte miss ratio 0.0571
cdn1_colo28.ns3041 S3FIFO-0.4500-1.9000 cache size    74727, 3787763 req, miss ratio 0.0537, byte miss ratio 0.0537
cdn1_colo28.ns3041 S3FIFO-0.4500-1.9000 cache size   149454, 3787763 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns3041 S3FIFO-0.8000-1.9000 cache size      186, 3787763 req, miss ratio 0.1913, byte miss ratio 0.1913
cdn1_colo28.ns3041 S3FIFO-0.8000-1.9000 cache size      560, 3787763 req, miss ratio 0.1079, byte miss ratio 0.1079
cdn1_colo28.ns3041 S3FIFO-0.8000-1.9000 cache size     1868, 3787763 req, miss ratio 0.0778, byte miss ratio 0.0778
cdn1_colo28.ns3041 S3FIFO-0.8000-1.9000 cache size     5604, 3787763 req, miss ratio 0.0676, byte miss ratio 0.0676
cdn1_colo28.ns3041 S3FIFO-0.8000-1.9000 cache size    18681, 3787763 req, miss ratio 0.0616, byte miss ratio 0.0616
cdn1_colo28.ns3041 S3FIFO-0.8000-1.9000 cache size    37363, 3787763 req, miss ratio 0.0580, byte miss ratio 0.0580
cdn1_colo28.ns3041 S3FIFO-0.8000-1.9000 cache size    74727, 3787763 req, miss ratio 0.0539, byte miss ratio 0.0539
cdn1_colo28.ns3041 S3FIFO-0.8000-1.9000 cache size   149454, 3787763 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns3041 S3FIFO-0.5500-1.9000 cache size      186, 3787763 req, miss ratio 0.1599, byte miss ratio 0.1599
cdn1_colo28.ns3041 S3FIFO-0.5500-1.9000 cache size      560, 3787763 req, miss ratio 0.0917, byte miss ratio 0.0917
cdn1_colo28.ns3041 S3FIFO-0.5500-1.9000 cache size     1868, 3787763 req, miss ratio 0.0708, byte miss ratio 0.0708
cdn1_colo28.ns3041 S3FIFO-0.5500-1.9000 cache size     5604, 3787763 req, miss ratio 0.0646, byte miss ratio 0.0646
cdn1_colo28.ns3041 S3FIFO-0.5500-1.9000 cache size    18681, 3787763 req, miss ratio 0.0599, byte miss ratio 0.0599
cdn1_colo28.ns3041 S3FIFO-0.5500-1.9000 cache size    37363, 3787763 req, miss ratio 0.0572, byte miss ratio 0.0572
cdn1_colo28.ns3041 S3FIFO-0.5500-1.9000 cache size    74727, 3787763 req, miss ratio 0.0537, byte miss ratio 0.0537
cdn1_colo28.ns3041 S3FIFO-0.5500-1.9000 cache size   149454, 3787763 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns3041 S3FIFO-0.0100-1.9000 cache size      186, 3787763 req, miss ratio 0.1138, byte miss ratio 0.1138
cdn1_colo28.ns3041 S3FIFO-0.0100-1.9000 cache size      560, 3787763 req, miss ratio 0.0778, byte miss ratio 0.0778
cdn1_colo28.ns3041 S3FIFO-0.0100-1.9000 cache size     1868, 3787763 req, miss ratio 0.0666, byte miss ratio 0.0666
cdn1_colo28.ns3041 S3FIFO-0.0100-1.9000 cache size     5604, 3787763 req, miss ratio 0.0632, byte miss ratio 0.0632
cdn1_colo28.ns3041 S3FIFO-0.0100-1.9000 cache size    18681, 3787763 req, miss ratio 0.0595, byte miss ratio 0.0595
cdn1_colo28.ns3041 S3FIFO-0.0100-1.9000 cache size    37363, 3787763 req, miss ratio 0.0569, byte miss ratio 0.0569
cdn1_colo28.ns3041 S3FIFO-0.0100-1.9000 cache size    74727, 3787763 req, miss ratio 0.0537, byte miss ratio 0.0537
cdn1_colo28.ns3041 S3FIFO-0.0100-1.9000 cache size   149454, 3787763 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns3041 S3FIFO-0.0010-0.9000 cache size      186, 3787763 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns3041 S3FIFO-0.0010-0.9000 cache size      560, 3787763 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns3041 S3FIFO-0.0010-0.9000 cache size     1868, 3787763 req, miss ratio 0.0669, byte miss ratio 0.0669
cdn1_colo28.ns3041 S3FIFO-0.0010-0.9000 cache size     5604, 3787763 req, miss ratio 0.0635, byte miss ratio 0.0635
cdn1_colo28.ns3041 S3FIFO-0.0010-0.9000 cache size    18681, 3787763 req, miss ratio 0.0599, byte miss ratio 0.0599
cdn1_colo28.ns3041 S3FIFO-0.0010-0.9000 cache size    37363, 3787763 req, miss ratio 0.0571, byte miss ratio 0.0571
