cdn1_allcolo.ns1235 S3FIFO-0.2000-0.9000 cache size      188, 4342942 req, miss ratio 0.7751, byte miss ratio 0.7751
cdn1_allcolo.ns1235 S3FIFO-0.2000-0.9000 cache size      566, 4342942 req, miss ratio 0.6558, byte miss ratio 0.6558
cdn1_allcolo.ns1235 S3FIFO-0.2000-0.9000 cache size     1888, 4342942 req, miss ratio 0.5015, byte miss ratio 0.5015
cdn1_allcolo.ns1235 S3FIFO-0.2000-0.9000 cache size     5665, 4342942 req, miss ratio 0.3466, byte miss ratio 0.3466
cdn1_allcolo.ns1235 S3FIFO-0.2000-0.9000 cache size    18884, 4342942 req, miss ratio 0.1834, byte miss ratio 0.1834
cdn1_allcolo.ns1235 S3FIFO-0.2000-0.9000 cache size    37769, 4342942 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_allcolo.ns1235 S3FIFO-0.2000-0.9000 cache size    75538, 4342942 req, miss ratio 0.0640, byte miss ratio 0.0640
cdn1_allcolo.ns1235 S3FIFO-0.2000-0.9000 cache size   151076, 4342942 req, miss ratio 0.0448, byte miss ratio 0.0448
cdn1_allcolo.ns1235 S3FIFO-0.2500-0.9000 cache size      188, 4342942 req, miss ratio 0.7800, byte miss ratio 0.7800
cdn1_allcolo.ns1235 S3FIFO-0.2500-0.9000 cache size      566, 4342942 req, miss ratio 0.6611, byte miss ratio 0.6611
cdn1_allcolo.ns1235 S3FIFO-0.2500-0.9000 cache size     1888, 4342942 req, miss ratio 0.5074, byte miss ratio 0.5074
cdn1_allcolo.ns1235 S3FIFO-0.2500-0.9000 cache size     5665, 4342942 req, miss ratio 0.3519, byte miss ratio 0.3519
cdn1_allcolo.ns1235 S3FIFO-0.2500-0.9000 cache size    18884, 4342942 req, miss ratio 0.1872, byte miss ratio 0.1872
cdn1_allcolo.ns1235 S3FIFO-0.2500-0.9000 cache size    37769, 4342942 req, miss ratio 0.1130, byte miss ratio 0.1130
cdn1_allcolo.ns1235 S3FIFO-0.2500-0.9000 cache size    75538, 4342942 req, miss ratio 0.0648, byte miss ratio 0.0648
cdn1_allcolo.ns1235 S3FIFO-0.2500-0.9000 cache size   151076, 4342942 req, miss ratio 0.0448, byte miss ratio 0.0448
cdn1_allcolo.ns1235 S3FIFO-0.0100-0.9000 cache size      188, 4342942 req, miss ratio 0.7642, byte miss ratio 0.7642
cdn1_allcolo.ns1235 S3FIFO-0.0100-0.9000 cache size      566, 4342942 req, miss ratio 0.6421, byte miss ratio 0.6421
cdn1_allcolo.ns1235 S3FIFO-0.0100-0.9000 cache size     1888, 4342942 req, miss ratio 0.4844, byte miss ratio 0.4844
cdn1_allcolo.ns1235 S3FIFO-0.0100-0.9000 cache size     5665, 4342942 req, miss ratio 0.3302, byte miss ratio 0.3302
cdn1_allcolo.ns1235 S3FIFO-0.0100-0.9000 cache size    18884, 4342942 req, miss ratio 0.1723, byte miss ratio 0.1723
cdn1_allcolo.ns1235 S3FIFO-0.0100-0.9000 cache size    37769, 4342942 req, miss ratio 0.1044, byte miss ratio 0.1044
