cdn1_allcolo.ns3856 S3FIFO-0.5500-0.9000 cache size       10, 1266774 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns3856 S3FIFO-0.5500-0.9000 cache size       21, 1266774 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns3856 S3FIFO-0.5500-0.9000 cache size       42, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.5500-0.9000 cache size       84, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.2000-0.9000 cache size       10, 1266774 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_allcolo.ns3856 S3FIFO-0.2000-0.9000 cache size       21, 1266774 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns3856 S3FIFO-0.2000-0.9000 cache size       42, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.2000-0.9000 cache size       84, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.7500-1.9000 cache size       10, 1266774 req, miss ratio 0.0101, byte miss ratio 0.0101
cdn1_allcolo.ns3856 S3FIFO-0.7500-1.9000 cache size       21, 1266774 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns3856 S3FIFO-0.7500-1.9000 cache size       42, 1266774 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns3856 S3FIFO-0.7500-1.9000 cache size       84, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.0250-1.9000 cache size       10, 1266774 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3856 S3FIFO-0.0250-1.9000 cache size       21, 1266774 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3856 S3FIFO-0.0250-1.9000 cache size       42, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.0250-1.9000 cache size       84, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.8500-1.9000 cache size       10, 1266774 req, miss ratio 0.0108, byte miss ratio 0.0108
cdn1_allcolo.ns3856 S3FIFO-0.8500-1.9000 cache size       21, 1266774 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns3856 S3FIFO-0.8500-1.9000 cache size       42, 1266774 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns3856 S3FIFO-0.8500-1.9000 cache size       84, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.2500-0.9000 cache size       10, 1266774 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_allcolo.ns3856 S3FIFO-0.2500-0.9000 cache size       21, 1266774 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns3856 S3FIFO-0.2500-0.9000 cache size       42, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.2500-0.9000 cache size       84, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.3000-1.9000 cache size       10, 1266774 req, miss ratio 0.0072, byte miss ratio 0.0072
cdn1_allcolo.ns3856 S3FIFO-0.3000-1.9000 cache size       21, 1266774 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns3856 S3FIFO-0.3000-1.9000 cache size       42, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.3000-1.9000 cache size       84, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.3000-0.9000 cache size       10, 1266774 req, miss ratio 0.0072, byte miss ratio 0.0072
cdn1_allcolo.ns3856 S3FIFO-0.3000-0.9000 cache size       21, 1266774 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns3856 S3FIFO-0.3000-0.9000 cache size       42, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.3000-0.9000 cache size       84, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.9900-1.9000 cache size       10, 1266774 req, miss ratio 0.0113, byte miss ratio 0.0113
cdn1_allcolo.ns3856 S3FIFO-0.9900-1.9000 cache size       21, 1266774 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns3856 S3FIFO-0.9900-1.9000 cache size       42, 1266774 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns3856 S3FIFO-0.9900-1.9000 cache size       84, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.9000-0.9000 cache size       10, 1266774 req, miss ratio 0.0114, byte miss ratio 0.0114
cdn1_allcolo.ns3856 S3FIFO-0.9000-0.9000 cache size       21, 1266774 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns3856 S3FIFO-0.9000-0.9000 cache size       42, 1266774 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns3856 S3FIFO-0.9000-0.9000 cache size       84, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.4500-1.9000 cache size       10, 1266774 req, miss ratio 0.0079, byte miss ratio 0.0079
cdn1_allcolo.ns3856 S3FIFO-0.4500-1.9000 cache size       21, 1266774 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns3856 S3FIFO-0.4500-1.9000 cache size       42, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.4500-1.9000 cache size       84, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.0050-1.9000 cache size       10, 1266774 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3856 S3FIFO-0.0050-1.9000 cache size       21, 1266774 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3856 S3FIFO-0.0050-1.9000 cache size       42, 1266774 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3856 S3FIFO-0.0050-1.9000 cache size       84, 1266774 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3856 S3FIFO-0.0010-0.9000 cache size       10, 1266774 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3856 S3FIFO-0.0010-0.9000 cache size       21, 1266774 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3856 S3FIFO-0.0010-0.9000 cache size       42, 1266774 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3856 S3FIFO-0.0010-0.9000 cache size       84, 1266774 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3856 S3FIFO-0.5000-1.9000 cache size       10, 1266774 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns3856 S3FIFO-0.5000-1.9000 cache size       21, 1266774 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns3856 S3FIFO-0.5000-1.9000 cache size       42, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.5000-1.9000 cache size       84, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.0250-0.9000 cache size       10, 1266774 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3856 S3FIFO-0.0250-0.9000 cache size       21, 1266774 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3856 S3FIFO-0.0250-0.9000 cache size       42, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns3856 S3FIFO-0.0250-0.9000 cache size       84, 1266774 req, miss ratio 0.0001, byte miss ratio 0.0001
