observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size     1114, 14338243 req, miss ratio 0.0975, byte miss ratio 0.0975
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size     3344, 14338243 req, miss ratio 0.0791, byte miss ratio 0.0791
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    11149, 14338243 req, miss ratio 0.0783, byte miss ratio 0.0783
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    33447, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   111491, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   222983, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   445966, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   891933, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size     1114, 14338243 req, miss ratio 0.1413, byte miss ratio 0.1413
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size     3344, 14338243 req, miss ratio 0.0945, byte miss ratio 0.0945
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size    11149, 14338243 req, miss ratio 0.0923, byte miss ratio 0.0923
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size    33447, 14338243 req, miss ratio 0.0786, byte miss ratio 0.0786
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   111491, 14338243 req, miss ratio 0.0779, byte miss ratio 0.0779
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   222983, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   445966, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   891933, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size     1114, 14338243 req, miss ratio 0.0967, byte miss ratio 0.0967
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size     3344, 14338243 req, miss ratio 0.0793, byte miss ratio 0.0793
