pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.2000 cache size   726455, 643114944 req, miss ratio 0.0821, byte miss ratio 0.0821
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.2000 cache size  2421516, 643114944 req, miss ratio 0.0577, byte miss ratio 0.0577
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.2000 cache size  4843033, 643114944 req, miss ratio 0.0487, byte miss ratio 0.0487
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.2000 cache size  9686067, 643114944 req, miss ratio 0.0428, byte miss ratio 0.0428
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.2000 cache size 19372135, 643114944 req, miss ratio 0.0392, byte miss ratio 0.0392
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size    24215, 643114944 req, miss ratio 0.2495, byte miss ratio 0.2495
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size    72645, 643114944 req, miss ratio 0.1758, byte miss ratio 0.1758
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   242151, 643114944 req, miss ratio 0.1184, byte miss ratio 0.1184
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   726455, 643114944 req, miss ratio 0.0806, byte miss ratio 0.0806
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  2421516, 643114944 req, miss ratio 0.0567, byte miss ratio 0.0567
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  4843033, 643114944 req, miss ratio 0.0479, byte miss ratio 0.0479
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  9686067, 643114944 req, miss ratio 0.0424, byte miss ratio 0.0424
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size 19372135, 643114944 req, miss ratio 0.0388, byte miss ratio 0.0388
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size    24215, 643114944 req, miss ratio 0.2325, byte miss ratio 0.2325
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size    72645, 643114944 req, miss ratio 0.1611, byte miss ratio 0.1611
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size   242151, 643114944 req, miss ratio 0.1066, byte miss ratio 0.1066
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size   726455, 643114944 req, miss ratio 0.0719, byte miss ratio 0.0719
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size  2421516, 643114944 req, miss ratio 0.0514, byte miss ratio 0.0514
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size  4843033, 643114944 req, miss ratio 0.0442, byte miss ratio 0.0442
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size  9686067, 643114944 req, miss ratio 0.0402, byte miss ratio 0.0402
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size 19372135, 643114944 req, miss ratio 0.0381, byte miss ratio 0.0381
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size    24215, 643114944 req, miss ratio 0.2040, byte miss ratio 0.2040
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size    72645, 643114944 req, miss ratio 0.1386, byte miss ratio 0.1386
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size   242151, 643114944 req, miss ratio 0.0920, byte miss ratio 0.0920
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size   726455, 643114944 req, miss ratio 0.0626, byte miss ratio 0.0626
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size  2421516, 643114944 req, miss ratio 0.0465, byte miss ratio 0.0465
