cdn1_colo28.ns805 S3FIFO-0.6000-0.9000 cache size       11, 1353744 req, miss ratio 0.1434, byte miss ratio 0.1434
cdn1_colo28.ns805 S3FIFO-0.6000-0.9000 cache size       38, 1353744 req, miss ratio 0.0357, byte miss ratio 0.0357
cdn1_colo28.ns805 S3FIFO-0.6000-0.9000 cache size       77, 1353744 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns805 S3FIFO-0.6000-0.9000 cache size      154, 1353744 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_colo28.ns805 S3FIFO-0.6000-0.9000 cache size      308, 1353744 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns805 S3FIFO-0.4500-0.9000 cache size       11, 1353744 req, miss ratio 0.1274, byte miss ratio 0.1274
cdn1_colo28.ns805 S3FIFO-0.4500-0.9000 cache size       38, 1353744 req, miss ratio 0.0334, byte miss ratio 0.0334
cdn1_colo28.ns805 S3FIFO-0.4500-0.9000 cache size       77, 1353744 req, miss ratio 0.0083, byte miss ratio 0.0083
cdn1_colo28.ns805 S3FIFO-0.4500-0.9000 cache size      154, 1353744 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_colo28.ns805 S3FIFO-0.4500-0.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.0500-0.9000 cache size       11, 1353744 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns805 S3FIFO-0.0500-0.9000 cache size       38, 1353744 req, miss ratio 0.0272, byte miss ratio 0.0272
cdn1_colo28.ns805 S3FIFO-0.0500-0.9000 cache size       77, 1353744 req, miss ratio 0.0059, byte miss ratio 0.0059
cdn1_colo28.ns805 S3FIFO-0.0500-0.9000 cache size      154, 1353744 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_colo28.ns805 S3FIFO-0.0500-0.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.6000-1.9000 cache size       11, 1353744 req, miss ratio 0.1433, byte miss ratio 0.1433
cdn1_colo28.ns805 S3FIFO-0.6000-1.9000 cache size       38, 1353744 req, miss ratio 0.0354, byte miss ratio 0.0354
cdn1_colo28.ns805 S3FIFO-0.6000-1.9000 cache size       77, 1353744 req, miss ratio 0.0092, byte miss ratio 0.0092
cdn1_colo28.ns805 S3FIFO-0.6000-1.9000 cache size      154, 1353744 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_colo28.ns805 S3FIFO-0.6000-1.9000 cache size      308, 1353744 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns805 S3FIFO-0.0100-0.9000 cache size       11, 1353744 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns805 S3FIFO-0.0100-0.9000 cache size       38, 1353744 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns805 S3FIFO-0.0100-0.9000 cache size       77, 1353744 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns805 S3FIFO-0.0100-0.9000 cache size      154, 1353744 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_colo28.ns805 S3FIFO-0.0100-0.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.4000-0.9000 cache size       11, 1353744 req, miss ratio 0.1274, byte miss ratio 0.1274
cdn1_colo28.ns805 S3FIFO-0.4000-0.9000 cache size       38, 1353744 req, miss ratio 0.0325, byte miss ratio 0.0325
cdn1_colo28.ns805 S3FIFO-0.4000-0.9000 cache size       77, 1353744 req, miss ratio 0.0079, byte miss ratio 0.0079
cdn1_colo28.ns805 S3FIFO-0.4000-0.9000 cache size      154, 1353744 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_colo28.ns805 S3FIFO-0.4000-0.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.9900-1.9000 cache size       11, 1353744 req, miss ratio 0.1737, byte miss ratio 0.1737
cdn1_colo28.ns805 S3FIFO-0.9900-1.9000 cache size       38, 1353744 req, miss ratio 0.0445, byte miss ratio 0.0445
cdn1_colo28.ns805 S3FIFO-0.9900-1.9000 cache size       77, 1353744 req, miss ratio 0.0124, byte miss ratio 0.0124
cdn1_colo28.ns805 S3FIFO-0.9900-1.9000 cache size      154, 1353744 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn1_colo28.ns805 S3FIFO-0.9900-1.9000 cache size      308, 1353744 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns805 S3FIFO-0.2000-0.9000 cache size       11, 1353744 req, miss ratio 0.1126, byte miss ratio 0.1126
cdn1_colo28.ns805 S3FIFO-0.2000-0.9000 cache size       38, 1353744 req, miss ratio 0.0291, byte miss ratio 0.0291
cdn1_colo28.ns805 S3FIFO-0.2000-0.9000 cache size       77, 1353744 req, miss ratio 0.0068, byte miss ratio 0.0068
cdn1_colo28.ns805 S3FIFO-0.2000-0.9000 cache size      154, 1353744 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_colo28.ns805 S3FIFO-0.2000-0.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.4500-1.9000 cache size       11, 1353744 req, miss ratio 0.1303, byte miss ratio 0.1303
cdn1_colo28.ns805 S3FIFO-0.4500-1.9000 cache size       38, 1353744 req, miss ratio 0.0332, byte miss ratio 0.0332
cdn1_colo28.ns805 S3FIFO-0.4500-1.9000 cache size       77, 1353744 req, miss ratio 0.0082, byte miss ratio 0.0082
cdn1_colo28.ns805 S3FIFO-0.4500-1.9000 cache size      154, 1353744 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_colo28.ns805 S3FIFO-0.4500-1.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.5500-1.9000 cache size       11, 1353744 req, miss ratio 0.1433, byte miss ratio 0.1433
cdn1_colo28.ns805 S3FIFO-0.5500-1.9000 cache size       38, 1353744 req, miss ratio 0.0345, byte miss ratio 0.0345
cdn1_colo28.ns805 S3FIFO-0.5500-1.9000 cache size       77, 1353744 req, miss ratio 0.0089, byte miss ratio 0.0089
cdn1_colo28.ns805 S3FIFO-0.5500-1.9000 cache size      154, 1353744 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_colo28.ns805 S3FIFO-0.5500-1.9000 cache size      308, 1353744 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns805 S3FIFO-0.6500-0.9000 cache size       11, 1353744 req, miss ratio 0.1527, byte miss ratio 0.1527
cdn1_colo28.ns805 S3FIFO-0.6500-0.9000 cache size       38, 1353744 req, miss ratio 0.0367, byte miss ratio 0.0367
cdn1_colo28.ns805 S3FIFO-0.6500-0.9000 cache size       77, 1353744 req, miss ratio 0.0098, byte miss ratio 0.0098
cdn1_colo28.ns805 S3FIFO-0.6500-0.9000 cache size      154, 1353744 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_colo28.ns805 S3FIFO-0.6500-0.9000 cache size      308, 1353744 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns805 S3FIFO-0.2500-1.9000 cache size       11, 1353744 req, miss ratio 0.1174, byte miss ratio 0.1174
cdn1_colo28.ns805 S3FIFO-0.2500-1.9000 cache size       38, 1353744 req, miss ratio 0.0301, byte miss ratio 0.0301
cdn1_colo28.ns805 S3FIFO-0.2500-1.9000 cache size       77, 1353744 req, miss ratio 0.0070, byte miss ratio 0.0070
cdn1_colo28.ns805 S3FIFO-0.2500-1.9000 cache size      154, 1353744 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_colo28.ns805 S3FIFO-0.2500-1.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.3000-0.9000 cache size       11, 1353744 req, miss ratio 0.1194, byte miss ratio 0.1194
cdn1_colo28.ns805 S3FIFO-0.3000-0.9000 cache size       38, 1353744 req, miss ratio 0.0308, byte miss ratio 0.0308
cdn1_colo28.ns805 S3FIFO-0.3000-0.9000 cache size       77, 1353744 req, miss ratio 0.0074, byte miss ratio 0.0074
cdn1_colo28.ns805 S3FIFO-0.3000-0.9000 cache size      154, 1353744 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_colo28.ns805 S3FIFO-0.3000-0.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.8500-1.9000 cache size       11, 1353744 req, miss ratio 0.1678, byte miss ratio 0.1678
cdn1_colo28.ns805 S3FIFO-0.8500-1.9000 cache size       38, 1353744 req, miss ratio 0.0410, byte miss ratio 0.0410
cdn1_colo28.ns805 S3FIFO-0.8500-1.9000 cache size       77, 1353744 req, miss ratio 0.0111, byte miss ratio 0.0111
cdn1_colo28.ns805 S3FIFO-0.8500-1.9000 cache size      154, 1353744 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_colo28.ns805 S3FIFO-0.8500-1.9000 cache size      308, 1353744 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns805 S3FIFO-0.0250-0.9000 cache size       11, 1353744 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns805 S3FIFO-0.0250-0.9000 cache size       38, 1353744 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns805 S3FIFO-0.0250-0.9000 cache size       77, 1353744 req, miss ratio 0.0059, byte miss ratio 0.0059
cdn1_colo28.ns805 S3FIFO-0.0250-0.9000 cache size      154, 1353744 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_colo28.ns805 S3FIFO-0.0250-0.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.7500-1.9000 cache size       11, 1353744 req, miss ratio 0.1602, byte miss ratio 0.1602
cdn1_colo28.ns805 S3FIFO-0.7500-1.9000 cache size       38, 1353744 req, miss ratio 0.0383, byte miss ratio 0.0383
cdn1_colo28.ns805 S3FIFO-0.7500-1.9000 cache size       77, 1353744 req, miss ratio 0.0103, byte miss ratio 0.0103
cdn1_colo28.ns805 S3FIFO-0.7500-1.9000 cache size      154, 1353744 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_colo28.ns805 S3FIFO-0.7500-1.9000 cache size      308, 1353744 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns805 S3FIFO-0.0500-1.9000 cache size       11, 1353744 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns805 S3FIFO-0.0500-1.9000 cache size       38, 1353744 req, miss ratio 0.0277, byte miss ratio 0.0277
cdn1_colo28.ns805 S3FIFO-0.0500-1.9000 cache size       77, 1353744 req, miss ratio 0.0060, byte miss ratio 0.0060
cdn1_colo28.ns805 S3FIFO-0.0500-1.9000 cache size      154, 1353744 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_colo28.ns805 S3FIFO-0.0500-1.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.9500-0.9000 cache size       11, 1353744 req, miss ratio 0.1789, byte miss ratio 0.1789
cdn1_colo28.ns805 S3FIFO-0.9500-0.9000 cache size       38, 1353744 req, miss ratio 0.0449, byte miss ratio 0.0449
cdn1_colo28.ns805 S3FIFO-0.9500-0.9000 cache size       77, 1353744 req, miss ratio 0.0122, byte miss ratio 0.0122
cdn1_colo28.ns805 S3FIFO-0.9500-0.9000 cache size      154, 1353744 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn1_colo28.ns805 S3FIFO-0.9500-0.9000 cache size      308, 1353744 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns805 S3FIFO-0.2500-0.9000 cache size       11, 1353744 req, miss ratio 0.1126, byte miss ratio 0.1126
cdn1_colo28.ns805 S3FIFO-0.2500-0.9000 cache size       38, 1353744 req, miss ratio 0.0299, byte miss ratio 0.0299
cdn1_colo28.ns805 S3FIFO-0.2500-0.9000 cache size       77, 1353744 req, miss ratio 0.0070, byte miss ratio 0.0070
cdn1_colo28.ns805 S3FIFO-0.2500-0.9000 cache size      154, 1353744 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_colo28.ns805 S3FIFO-0.2500-0.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.7500-0.9000 cache size       11, 1353744 req, miss ratio 0.1628, byte miss ratio 0.1628
cdn1_colo28.ns805 S3FIFO-0.7500-0.9000 cache size       38, 1353744 req, miss ratio 0.0388, byte miss ratio 0.0388
cdn1_colo28.ns805 S3FIFO-0.7500-0.9000 cache size       77, 1353744 req, miss ratio 0.0105, byte miss ratio 0.0105
cdn1_colo28.ns805 S3FIFO-0.7500-0.9000 cache size      154, 1353744 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_colo28.ns805 S3FIFO-0.7500-0.9000 cache size      308, 1353744 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns805 S3FIFO-0.9500-1.9000 cache size       11, 1353744 req, miss ratio 0.1737, byte miss ratio 0.1737
cdn1_colo28.ns805 S3FIFO-0.9500-1.9000 cache size       38, 1353744 req, miss ratio 0.0439, byte miss ratio 0.0439
cdn1_colo28.ns805 S3FIFO-0.9500-1.9000 cache size       77, 1353744 req, miss ratio 0.0120, byte miss ratio 0.0120
cdn1_colo28.ns805 S3FIFO-0.9500-1.9000 cache size      154, 1353744 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn1_colo28.ns805 S3FIFO-0.9500-1.9000 cache size      308, 1353744 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns805 S3FIFO-0.3500-1.9000 cache size       11, 1353744 req, miss ratio 0.1236, byte miss ratio 0.1236
cdn1_colo28.ns805 S3FIFO-0.3500-1.9000 cache size       38, 1353744 req, miss ratio 0.0315, byte miss ratio 0.0315
cdn1_colo28.ns805 S3FIFO-0.3500-1.9000 cache size       77, 1353744 req, miss ratio 0.0076, byte miss ratio 0.0076
cdn1_colo28.ns805 S3FIFO-0.3500-1.9000 cache size      154, 1353744 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_colo28.ns805 S3FIFO-0.3500-1.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.5500-0.9000 cache size       11, 1353744 req, miss ratio 0.1434, byte miss ratio 0.1434
cdn1_colo28.ns805 S3FIFO-0.5500-0.9000 cache size       38, 1353744 req, miss ratio 0.0348, byte miss ratio 0.0348
cdn1_colo28.ns805 S3FIFO-0.5500-0.9000 cache size       77, 1353744 req, miss ratio 0.0090, byte miss ratio 0.0090
cdn1_colo28.ns805 S3FIFO-0.5500-0.9000 cache size      154, 1353744 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_colo28.ns805 S3FIFO-0.5500-0.9000 cache size      308, 1353744 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns805 S3FIFO-0.2000-1.9000 cache size       11, 1353744 req, miss ratio 0.1174, byte miss ratio 0.1174
cdn1_colo28.ns805 S3FIFO-0.2000-1.9000 cache size       38, 1353744 req, miss ratio 0.0293, byte miss ratio 0.0293
cdn1_colo28.ns805 S3FIFO-0.2000-1.9000 cache size       77, 1353744 req, miss ratio 0.0068, byte miss ratio 0.0068
cdn1_colo28.ns805 S3FIFO-0.2000-1.9000 cache size      154, 1353744 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_colo28.ns805 S3FIFO-0.2000-1.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.5000-1.9000 cache size       11, 1353744 req, miss ratio 0.1368, byte miss ratio 0.1368
cdn1_colo28.ns805 S3FIFO-0.5000-1.9000 cache size       38, 1353744 req, miss ratio 0.0341, byte miss ratio 0.0341
cdn1_colo28.ns805 S3FIFO-0.5000-1.9000 cache size       77, 1353744 req, miss ratio 0.0085, byte miss ratio 0.0085
cdn1_colo28.ns805 S3FIFO-0.5000-1.9000 cache size      154, 1353744 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_colo28.ns805 S3FIFO-0.5000-1.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.1500-1.9000 cache size       11, 1353744 req, miss ratio 0.1119, byte miss ratio 0.1119
cdn1_colo28.ns805 S3FIFO-0.1500-1.9000 cache size       38, 1353744 req, miss ratio 0.0287, byte miss ratio 0.0287
cdn1_colo28.ns805 S3FIFO-0.1500-1.9000 cache size       77, 1353744 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns805 S3FIFO-0.1500-1.9000 cache size      154, 1353744 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_colo28.ns805 S3FIFO-0.1500-1.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.9900-0.9000 cache size       11, 1353744 req, miss ratio 0.1789, byte miss ratio 0.1789
cdn1_colo28.ns805 S3FIFO-0.9900-0.9000 cache size       38, 1353744 req, miss ratio 0.0453, byte miss ratio 0.0453
cdn1_colo28.ns805 S3FIFO-0.9900-0.9000 cache size       77, 1353744 req, miss ratio 0.0126, byte miss ratio 0.0126
cdn1_colo28.ns805 S3FIFO-0.9900-0.9000 cache size      154, 1353744 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn1_colo28.ns805 S3FIFO-0.9900-0.9000 cache size      308, 1353744 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns805 S3FIFO-0.3500-0.9000 cache size       11, 1353744 req, miss ratio 0.1194, byte miss ratio 0.1194
cdn1_colo28.ns805 S3FIFO-0.3500-0.9000 cache size       38, 1353744 req, miss ratio 0.0315, byte miss ratio 0.0315
cdn1_colo28.ns805 S3FIFO-0.3500-0.9000 cache size       77, 1353744 req, miss ratio 0.0076, byte miss ratio 0.0076
cdn1_colo28.ns805 S3FIFO-0.3500-0.9000 cache size      154, 1353744 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_colo28.ns805 S3FIFO-0.3500-0.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.0250-1.9000 cache size       11, 1353744 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns805 S3FIFO-0.0250-1.9000 cache size       38, 1353744 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns805 S3FIFO-0.0250-1.9000 cache size       77, 1353744 req, miss ratio 0.0060, byte miss ratio 0.0060
cdn1_colo28.ns805 S3FIFO-0.0250-1.9000 cache size      154, 1353744 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_colo28.ns805 S3FIFO-0.0250-1.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.1000-0.9000 cache size       11, 1353744 req, miss ratio 0.1069, byte miss ratio 0.1069
cdn1_colo28.ns805 S3FIFO-0.1000-0.9000 cache size       38, 1353744 req, miss ratio 0.0277, byte miss ratio 0.0277
cdn1_colo28.ns805 S3FIFO-0.1000-0.9000 cache size       77, 1353744 req, miss ratio 0.0062, byte miss ratio 0.0062
cdn1_colo28.ns805 S3FIFO-0.1000-0.9000 cache size      154, 1353744 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_colo28.ns805 S3FIFO-0.1000-0.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.1000-1.9000 cache size       11, 1353744 req, miss ratio 0.1119, byte miss ratio 0.1119
cdn1_colo28.ns805 S3FIFO-0.1000-1.9000 cache size       38, 1353744 req, miss ratio 0.0282, byte miss ratio 0.0282
cdn1_colo28.ns805 S3FIFO-0.1000-1.9000 cache size       77, 1353744 req, miss ratio 0.0062, byte miss ratio 0.0062
cdn1_colo28.ns805 S3FIFO-0.1000-1.9000 cache size      154, 1353744 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_colo28.ns805 S3FIFO-0.1000-1.9000 cache size      308, 1353744 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns805 S3FIFO-0.9000-0.9000 cache size       11, 1353744 req, miss ratio 0.1716, byte miss ratio 0.1716
cdn1_colo28.ns805 S3FIFO-0.9000-0.9000 cache size       38, 1353744 req, miss ratio 0.0433, byte miss ratio 0.0433
cdn1_colo28.ns805 S3FIFO-0.9000-0.9000 cache size       77, 1353744 req, miss ratio 0.0118, byte miss ratio 0.0118
cdn1_colo28.ns805 S3FIFO-0.9000-0.9000 cache size      154, 1353744 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_colo28.ns805 S3FIFO-0.9000-0.9000 cache size      308, 1353744 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns805 S3FIFO-0.7000-0.9000 cache size       11, 1353744 req, miss ratio 0.1527, byte miss ratio 0.1527
cdn1_colo28.ns805 S3FIFO-0.7000-0.9000 cache size       38, 1353744 req, miss ratio 0.0377, byte miss ratio 0.0377
cdn1_colo28.ns805 S3FIFO-0.7000-0.9000 cache size       77, 1353744 req, miss ratio 0.0100, byte miss ratio 0.0100
cdn1_colo28.ns805 S3FIFO-0.7000-0.9000 cache size      154, 1353744 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_colo28.ns805 S3FIFO-0.7000-0.9000 cache size      308, 1353744 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns805 S3FIFO-0.7000-1.9000 cache size       11, 1353744 req, miss ratio 0.1516, byte miss ratio 0.1516
