events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size    85424, 51757858 req, miss ratio 0.0023, byte miss ratio 0.0023
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size      106, 51757858 req, miss ratio 1.0000, byte miss ratio 1.0000
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size      320, 51757858 req, miss ratio 0.0626, byte miss ratio 0.0626
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size     1067, 51757858 req, miss ratio 0.0537, byte miss ratio 0.0537
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size     3203, 51757858 req, miss ratio 0.0460, byte miss ratio 0.0460
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    10678, 51757858 req, miss ratio 0.0285, byte miss ratio 0.0285
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    21356, 51757858 req, miss ratio 0.0257, byte miss ratio 0.0257
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    42712, 51757858 req, miss ratio 0.0125, byte miss ratio 0.0125
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    85424, 51757858 req, miss ratio 0.0023, byte miss ratio 0.0023
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size      106, 51757858 req, miss ratio 0.1404, byte miss ratio 0.1404
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size      320, 51757858 req, miss ratio 0.0611, byte miss ratio 0.0611
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size     1067, 51757858 req, miss ratio 0.0535, byte miss ratio 0.0535
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size     3203, 51757858 req, miss ratio 0.0482, byte miss ratio 0.0482
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size    10678, 51757858 req, miss ratio 0.0292, byte miss ratio 0.0292
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size    21356, 51757858 req, miss ratio 0.0263, byte miss ratio 0.0263
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size    42712, 51757858 req, miss ratio 0.0144, byte miss ratio 0.0144
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size    85424, 51757858 req, miss ratio 0.0024, byte miss ratio 0.0024
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size      106, 51757858 req, miss ratio 0.2322, byte miss ratio 0.2322
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size      320, 51757858 req, miss ratio 0.0805, byte miss ratio 0.0805
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size     1067, 51757858 req, miss ratio 0.0580, byte miss ratio 0.0580
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size     3203, 51757858 req, miss ratio 0.0518, byte miss ratio 0.0518
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    10678, 51757858 req, miss ratio 0.0338, byte miss ratio 0.0338
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    21356, 51757858 req, miss ratio 0.0280, byte miss ratio 0.0280
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    42712, 51757858 req, miss ratio 0.0154, byte miss ratio 0.0154
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    85424, 51757858 req, miss ratio 0.0031, byte miss ratio 0.0031
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size      106, 51757858 req, miss ratio 0.1394, byte miss ratio 0.1394
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size      320, 51757858 req, miss ratio 0.0611, byte miss ratio 0.0611
