tencentBlock.ns16699 S3FIFO-0.0100-1.9000 cache size      308, 3453034 req, miss ratio 0.5165, byte miss ratio 0.5165
tencentBlock.ns16699 S3FIFO-0.0100-1.9000 cache size      925, 3453034 req, miss ratio 0.3642, byte miss ratio 0.3642
tencentBlock.ns16699 S3FIFO-0.0100-1.9000 cache size     3085, 3453034 req, miss ratio 0.2506, byte miss ratio 0.2506
tencentBlock.ns16699 S3FIFO-0.0100-1.9000 cache size     9257, 3453034 req, miss ratio 0.2141, byte miss ratio 0.2141
tencentBlock.ns16699 S3FIFO-0.0100-1.9000 cache size    30859, 3453034 req, miss ratio 0.1666, byte miss ratio 0.1666
tencentBlock.ns16699 S3FIFO-0.0100-1.9000 cache size    61718, 3453034 req, miss ratio 0.1322, byte miss ratio 0.1322
tencentBlock.ns16699 S3FIFO-0.0100-1.9000 cache size   123437, 3453034 req, miss ratio 0.1026, byte miss ratio 0.1026
tencentBlock.ns16699 S3FIFO-0.0100-1.9000 cache size   246875, 3453034 req, miss ratio 0.0899, byte miss ratio 0.0899
tencentBlock.ns16699 S3FIFO-0.8000-0.9000 cache size      308, 3453034 req, miss ratio 0.5654, byte miss ratio 0.5654
tencentBlock.ns16699 S3FIFO-0.8000-0.9000 cache size      925, 3453034 req, miss ratio 0.4214, byte miss ratio 0.4214
tencentBlock.ns16699 S3FIFO-0.8000-0.9000 cache size     3085, 3453034 req, miss ratio 0.2780, byte miss ratio 0.2780
tencentBlock.ns16699 S3FIFO-0.8000-0.9000 cache size     9257, 3453034 req, miss ratio 0.2155, byte miss ratio 0.2155
tencentBlock.ns16699 S3FIFO-0.8000-0.9000 cache size    30859, 3453034 req, miss ratio 0.1552, byte miss ratio 0.1552
tencentBlock.ns16699 S3FIFO-0.8000-0.9000 cache size    61718, 3453034 req, miss ratio 0.1233, byte miss ratio 0.1233
tencentBlock.ns16699 S3FIFO-0.8000-0.9000 cache size   123437, 3453034 req, miss ratio 0.1021, byte miss ratio 0.1021
tencentBlock.ns16699 S3FIFO-0.8000-0.9000 cache size   246875, 3453034 req, miss ratio 0.0914, byte miss ratio 0.0914
tencentBlock.ns16699 S3FIFO-0.1500-1.9000 cache size      308, 3453034 req, miss ratio 0.5077, byte miss ratio 0.5077
