tencentBlock.ns12313 S3FIFO-0.0500-1.9000 cache size      217, 1785429 req, miss ratio 0.5030, byte miss ratio 0.5030
tencentBlock.ns12313 S3FIFO-0.0500-1.9000 cache size      652, 1785429 req, miss ratio 0.4592, byte miss ratio 0.4592
tencentBlock.ns12313 S3FIFO-0.0500-1.9000 cache size     2174, 1785429 req, miss ratio 0.3714, byte miss ratio 0.3714
tencentBlock.ns12313 S3FIFO-0.0500-1.9000 cache size     6524, 1785429 req, miss ratio 0.3605, byte miss ratio 0.3605
tencentBlock.ns12313 S3FIFO-0.0500-1.9000 cache size    21747, 1785429 req, miss ratio 0.3290, byte miss ratio 0.3290
tencentBlock.ns12313 S3FIFO-0.0500-1.9000 cache size    43495, 1785429 req, miss ratio 0.2762, byte miss ratio 0.2762
tencentBlock.ns12313 S3FIFO-0.0500-1.9000 cache size    86991, 1785429 req, miss ratio 0.1556, byte miss ratio 0.1556
tencentBlock.ns12313 S3FIFO-0.0500-1.9000 cache size   173983, 1785429 req, miss ratio 0.1228, byte miss ratio 0.1228
tencentBlock.ns12313 S3FIFO-0.6000-1.9000 cache size      217, 1785429 req, miss ratio 0.4948, byte miss ratio 0.4948
tencentBlock.ns12313 S3FIFO-0.6000-1.9000 cache size      652, 1785429 req, miss ratio 0.4638, byte miss ratio 0.4638
tencentBlock.ns12313 S3FIFO-0.6000-1.9000 cache size     2174, 1785429 req, miss ratio 0.4097, byte miss ratio 0.4097
tencentBlock.ns12313 S3FIFO-0.6000-1.9000 cache size     6524, 1785429 req, miss ratio 0.3643, byte miss ratio 0.3643
tencentBlock.ns12313 S3FIFO-0.6000-1.9000 cache size    21747, 1785429 req, miss ratio 0.3524, byte miss ratio 0.3524
tencentBlock.ns12313 S3FIFO-0.6000-1.9000 cache size    43495, 1785429 req, miss ratio 0.2999, byte miss ratio 0.2999
tencentBlock.ns12313 S3FIFO-0.6000-1.9000 cache size    86991, 1785429 req, miss ratio 0.1945, byte miss ratio 0.1945
tencentBlock.ns12313 S3FIFO-0.6000-1.9000 cache size   173983, 1785429 req, miss ratio 0.1260, byte miss ratio 0.1260
tencentBlock.ns12313 S3FIFO-0.3500-0.9000 cache size      217, 1785429 req, miss ratio 0.4848, byte miss ratio 0.4848
tencentBlock.ns12313 S3FIFO-0.3500-0.9000 cache size      652, 1785429 req, miss ratio 0.4597, byte miss ratio 0.4597
tencentBlock.ns12313 S3FIFO-0.3500-0.9000 cache size     2174, 1785429 req, miss ratio 0.3818, byte miss ratio 0.3818
tencentBlock.ns12313 S3FIFO-0.3500-0.9000 cache size     6524, 1785429 req, miss ratio 0.3627, byte miss ratio 0.3627
tencentBlock.ns12313 S3FIFO-0.3500-0.9000 cache size    21747, 1785429 req, miss ratio 0.3311, byte miss ratio 0.3311
tencentBlock.ns12313 S3FIFO-0.3500-0.9000 cache size    43495, 1785429 req, miss ratio 0.2903, byte miss ratio 0.2903
tencentBlock.ns12313 S3FIFO-0.3500-0.9000 cache size    86991, 1785429 req, miss ratio 0.1742, byte miss ratio 0.1742
