cdn1_allcolo.ns6658 S3FIFO-0.9900-0.9000 cache size        9, 1375481 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns6658 S3FIFO-0.9900-0.9000 cache size       18, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.9900-0.9000 cache size       36, 1375481 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns6658 S3FIFO-0.0500-1.9000 cache size        9, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.0500-1.9000 cache size       18, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.0500-1.9000 cache size       36, 1375481 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns6658 S3FIFO-0.2500-1.9000 cache size        9, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.2500-1.9000 cache size       18, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.2500-1.9000 cache size       36, 1375481 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns6658 S3FIFO-0.9000-0.9000 cache size        9, 1375481 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns6658 S3FIFO-0.9000-0.9000 cache size       18, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.9000-0.9000 cache size       36, 1375481 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns6658 S3FIFO-0.0250-1.9000 cache size        9, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.0250-1.9000 cache size       18, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.0250-1.9000 cache size       36, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.0010-0.9000 cache size        9, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.0010-0.9000 cache size       18, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.0010-0.9000 cache size       36, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.0010-1.9000 cache size        9, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.0010-1.9000 cache size       18, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.0010-1.9000 cache size       36, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.1000-0.9000 cache size        9, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.1000-0.9000 cache size       18, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.1000-0.9000 cache size       36, 1375481 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns6658 S3FIFO-0.0500-0.9000 cache size        9, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.0500-0.9000 cache size       18, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.0500-0.9000 cache size       36, 1375481 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns6658 S3FIFO-0.5000-0.9000 cache size        9, 1375481 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns6658 S3FIFO-0.5000-0.9000 cache size       18, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.5000-0.9000 cache size       36, 1375481 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns6658 S3FIFO-0.0050-0.9000 cache size        9, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.0050-0.9000 cache size       18, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.0050-0.9000 cache size       36, 1375481 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6658 S3FIFO-0.2000-0.9000 cache size        9, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.2000-0.9000 cache size       18, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.2000-0.9000 cache size       36, 1375481 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns6658 S3FIFO-0.2000-1.9000 cache size        9, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.2000-1.9000 cache size       18, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.2000-1.9000 cache size       36, 1375481 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns6658 S3FIFO-0.9000-1.9000 cache size        9, 1375481 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns6658 S3FIFO-0.9000-1.9000 cache size       18, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.9000-1.9000 cache size       36, 1375481 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns6658 S3FIFO-0.9500-1.9000 cache size        9, 1375481 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns6658 S3FIFO-0.9500-1.9000 cache size       18, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.9500-1.9000 cache size       36, 1375481 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns6658 S3FIFO-0.8000-0.9000 cache size        9, 1375481 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns6658 S3FIFO-0.8000-0.9000 cache size       18, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.8000-0.9000 cache size       36, 1375481 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns6658 S3FIFO-0.7500-1.9000 cache size        9, 1375481 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns6658 S3FIFO-0.7500-1.9000 cache size       18, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.7500-1.9000 cache size       36, 1375481 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns6658 S3FIFO-0.1500-1.9000 cache size        9, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.1500-1.9000 cache size       18, 1375481 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns6658 S3FIFO-0.1500-1.9000 cache size       36, 1375481 req, miss ratio 0.0000, byte miss ratio 0.0000
