top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   395568, 120312957 req, miss ratio 0.0086, byte miss ratio 0.0086
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   791136, 120312957 req, miss ratio 0.0083, byte miss ratio 0.0083
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size      988, 120312957 req, miss ratio 0.0539, byte miss ratio 0.0539
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size     2966, 120312957 req, miss ratio 0.0314, byte miss ratio 0.0314
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size     9889, 120312957 req, miss ratio 0.0179, byte miss ratio 0.0179
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    29667, 120312957 req, miss ratio 0.0119, byte miss ratio 0.0119
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    98892, 120312957 req, miss ratio 0.0094, byte miss ratio 0.0094
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   197784, 120312957 req, miss ratio 0.0088, byte miss ratio 0.0088
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   395568, 120312957 req, miss ratio 0.0086, byte miss ratio 0.0086
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   791136, 120312957 req, miss ratio 0.0083, byte miss ratio 0.0083
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size      988, 120312957 req, miss ratio 0.0540, byte miss ratio 0.0540
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size     2966, 120312957 req, miss ratio 0.0306, byte miss ratio 0.0306
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size     9889, 120312957 req, miss ratio 0.0177, byte miss ratio 0.0177
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size    29667, 120312957 req, miss ratio 0.0122, byte miss ratio 0.0122
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size    98892, 120312957 req, miss ratio 0.0096, byte miss ratio 0.0096
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   197784, 120312957 req, miss ratio 0.0090, byte miss ratio 0.0090
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   395568, 120312957 req, miss ratio 0.0087, byte miss ratio 0.0087
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   791136, 120312957 req, miss ratio 0.0083, byte miss ratio 0.0083
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size      988, 120312957 req, miss ratio 0.0590, byte miss ratio 0.0590
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     2966, 120312957 req, miss ratio 0.0336, byte miss ratio 0.0336
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     9889, 120312957 req, miss ratio 0.0189, byte miss ratio 0.0189
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    29667, 120312957 req, miss ratio 0.0123, byte miss ratio 0.0123
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    98892, 120312957 req, miss ratio 0.0096, byte miss ratio 0.0096
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   197784, 120312957 req, miss ratio 0.0089, byte miss ratio 0.0089
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   395568, 120312957 req, miss ratio 0.0086, byte miss ratio 0.0086
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   791136, 120312957 req, miss ratio 0.0083, byte miss ratio 0.0083
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size      988, 120312957 req, miss ratio 0.0785, byte miss ratio 0.0785
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size     2966, 120312957 req, miss ratio 0.0431, byte miss ratio 0.0431
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size     9889, 120312957 req, miss ratio 0.0234, byte miss ratio 0.0234
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    29667, 120312957 req, miss ratio 0.0149, byte miss ratio 0.0149
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    98892, 120312957 req, miss ratio 0.0110, byte miss ratio 0.0110
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   197784, 120312957 req, miss ratio 0.0097, byte miss ratio 0.0097
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   395568, 120312957 req, miss ratio 0.0089, byte miss ratio 0.0089
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   791136, 120312957 req, miss ratio 0.0085, byte miss ratio 0.0085
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size      988, 120312957 req, miss ratio 0.0542, byte miss ratio 0.0542
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size     2966, 120312957 req, miss ratio 0.0315, byte miss ratio 0.0315
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size     9889, 120312957 req, miss ratio 0.0180, byte miss ratio 0.0180
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    29667, 120312957 req, miss ratio 0.0119, byte miss ratio 0.0119
