io_traces.ns54 S3FIFO-0.9900-0.9000 cache size     3723, 44600000 req, miss ratio 0.3139, byte miss ratio 0.3139
io_traces.ns54 S3FIFO-0.9900-0.9000 cache size    11171, 44600000 req, miss ratio 0.1974, byte miss ratio 0.1974
io_traces.ns54 S3FIFO-0.9900-0.9000 cache size    37238, 44600000 req, miss ratio 0.1276, byte miss ratio 0.1276
io_traces.ns54 S3FIFO-0.9900-0.9000 cache size   111715, 44600000 req, miss ratio 0.1194, byte miss ratio 0.1194
io_traces.ns54 S3FIFO-0.9900-0.9000 cache size   372385, 44600000 req, miss ratio 0.1082, byte miss ratio 0.1082
io_traces.ns54 S3FIFO-0.9900-0.9000 cache size   744770, 44600000 req, miss ratio 0.1041, byte miss ratio 0.1041
io_traces.ns54 S3FIFO-0.9900-0.9000 cache size  1489540, 44600000 req, miss ratio 0.0954, byte miss ratio 0.0954
io_traces.ns54 S3FIFO-0.9900-0.9000 cache size  2979080, 44600000 req, miss ratio 0.0846, byte miss ratio 0.0846
io_traces.ns54 S3FIFO-0.1000-1.9000 cache size     3723, 44600000 req, miss ratio 0.2540, byte miss ratio 0.2540
io_traces.ns54 S3FIFO-0.1000-1.9000 cache size    11171, 44600000 req, miss ratio 0.1888, byte miss ratio 0.1888
io_traces.ns54 S3FIFO-0.1000-1.9000 cache size    37238, 44600000 req, miss ratio 0.1449, byte miss ratio 0.1449
io_traces.ns54 S3FIFO-0.1000-1.9000 cache size   111715, 44600000 req, miss ratio 0.1200, byte miss ratio 0.1200
io_traces.ns54 S3FIFO-0.1000-1.9000 cache size   372385, 44600000 req, miss ratio 0.1015, byte miss ratio 0.1015
io_traces.ns54 S3FIFO-0.1000-1.9000 cache size   744770, 44600000 req, miss ratio 0.1006, byte miss ratio 0.1006
io_traces.ns54 S3FIFO-0.1000-1.9000 cache size  1489540, 44600000 req, miss ratio 0.0925, byte miss ratio 0.0925
io_traces.ns54 S3FIFO-0.1000-1.9000 cache size  2979080, 44600000 req, miss ratio 0.0845, byte miss ratio 0.0845
