io_traces.ns459 S3FIFO-0.1000-1.9000 cache size      180, 2200000 req, miss ratio 0.4656, byte miss ratio 0.4656
io_traces.ns459 S3FIFO-0.1000-1.9000 cache size      540, 2200000 req, miss ratio 0.4588, byte miss ratio 0.4588
io_traces.ns459 S3FIFO-0.1000-1.9000 cache size     1800, 2200000 req, miss ratio 0.4550, byte miss ratio 0.4550
io_traces.ns459 S3FIFO-0.1000-1.9000 cache size     5401, 2200000 req, miss ratio 0.4300, byte miss ratio 0.4300
io_traces.ns459 S3FIFO-0.1000-1.9000 cache size    18005, 2200000 req, miss ratio 0.3353, byte miss ratio 0.3353
io_traces.ns459 S3FIFO-0.1000-1.9000 cache size    36010, 2200000 req, miss ratio 0.1989, byte miss ratio 0.1989
io_traces.ns459 S3FIFO-0.1000-1.9000 cache size    72021, 2200000 req, miss ratio 0.0934, byte miss ratio 0.0934
io_traces.ns459 S3FIFO-0.1000-1.9000 cache size   144042, 2200000 req, miss ratio 0.0859, byte miss ratio 0.0859
io_traces.ns459 S3FIFO-0.3000-0.9000 cache size      180, 2200000 req, miss ratio 0.4651, byte miss ratio 0.4651
io_traces.ns459 S3FIFO-0.3000-0.9000 cache size      540, 2200000 req, miss ratio 0.4593, byte miss ratio 0.4593
io_traces.ns459 S3FIFO-0.3000-0.9000 cache size     1800, 2200000 req, miss ratio 0.4552, byte miss ratio 0.4552
io_traces.ns459 S3FIFO-0.3000-0.9000 cache size     5401, 2200000 req, miss ratio 0.4373, byte miss ratio 0.4373
io_traces.ns459 S3FIFO-0.3000-0.9000 cache size    18005, 2200000 req, miss ratio 0.3440, byte miss ratio 0.3440
io_traces.ns459 S3FIFO-0.3000-0.9000 cache size    36010, 2200000 req, miss ratio 0.2167, byte miss ratio 0.2167
io_traces.ns459 S3FIFO-0.3000-0.9000 cache size    72021, 2200000 req, miss ratio 0.0892, byte miss ratio 0.0892
io_traces.ns459 S3FIFO-0.3000-0.9000 cache size   144042, 2200000 req, miss ratio 0.0855, byte miss ratio 0.0855
io_traces.ns459 S3FIFO-0.4500-1.9000 cache size      180, 2200000 req, miss ratio 0.4651, byte miss ratio 0.4651
io_traces.ns459 S3FIFO-0.4500-1.9000 cache size      540, 2200000 req, miss ratio 0.4581, byte miss ratio 0.4581
io_traces.ns459 S3FIFO-0.4500-1.9000 cache size     1800, 2200000 req, miss ratio 0.4551, byte miss ratio 0.4551
io_traces.ns459 S3FIFO-0.4500-1.9000 cache size     5401, 2200000 req, miss ratio 0.4533, byte miss ratio 0.4533
io_traces.ns459 S3FIFO-0.4500-1.9000 cache size    18005, 2200000 req, miss ratio 0.3376, byte miss ratio 0.3376
io_traces.ns459 S3FIFO-0.4500-1.9000 cache size    36010, 2200000 req, miss ratio 0.2296, byte miss ratio 0.2296
io_traces.ns459 S3FIFO-0.4500-1.9000 cache size    72021, 2200000 req, miss ratio 0.0919, byte miss ratio 0.0919
io_traces.ns459 S3FIFO-0.4500-1.9000 cache size   144042, 2200000 req, miss ratio 0.0856, byte miss ratio 0.0856
io_traces.ns459 S3FIFO-0.3500-0.9000 cache size      180, 2200000 req, miss ratio 0.4650, byte miss ratio 0.4650
io_traces.ns459 S3FIFO-0.3500-0.9000 cache size      540, 2200000 req, miss ratio 0.4593, byte miss ratio 0.4593
io_traces.ns459 S3FIFO-0.3500-0.9000 cache size     1800, 2200000 req, miss ratio 0.4553, byte miss ratio 0.4553
io_traces.ns459 S3FIFO-0.3500-0.9000 cache size     5401, 2200000 req, miss ratio 0.4384, byte miss ratio 0.4384
io_traces.ns459 S3FIFO-0.3500-0.9000 cache size    18005, 2200000 req, miss ratio 0.3477, byte miss ratio 0.3477
io_traces.ns459 S3FIFO-0.3500-0.9000 cache size    36010, 2200000 req, miss ratio 0.2221, byte miss ratio 0.2221
io_traces.ns459 S3FIFO-0.3500-0.9000 cache size    72021, 2200000 req, miss ratio 0.0891, byte miss ratio 0.0891
io_traces.ns459 S3FIFO-0.3500-0.9000 cache size   144042, 2200000 req, miss ratio 0.0855, byte miss ratio 0.0855
io_traces.ns459 S3FIFO-0.4500-0.9000 cache size      180, 2200000 req, miss ratio 0.4652, byte miss ratio 0.4652
io_traces.ns459 S3FIFO-0.4500-0.9000 cache size      540, 2200000 req, miss ratio 0.4589, byte miss ratio 0.4589
io_traces.ns459 S3FIFO-0.4500-0.9000 cache size     1800, 2200000 req, miss ratio 0.4554, byte miss ratio 0.4554
io_traces.ns459 S3FIFO-0.4500-0.9000 cache size     5401, 2200000 req, miss ratio 0.4396, byte miss ratio 0.4396
