io_traces.ns590 S3FIFO-0.5000-0.9000 cache size      294, 7400000 req, miss ratio 0.4762, byte miss ratio 0.4762
io_traces.ns590 S3FIFO-0.5000-0.9000 cache size      882, 7400000 req, miss ratio 0.3544, byte miss ratio 0.3544
io_traces.ns590 S3FIFO-0.5000-0.9000 cache size     2942, 7400000 req, miss ratio 0.1870, byte miss ratio 0.1870
io_traces.ns590 S3FIFO-0.5000-0.9000 cache size     8828, 7400000 req, miss ratio 0.1416, byte miss ratio 0.1416
io_traces.ns590 S3FIFO-0.5000-0.9000 cache size    29429, 7400000 req, miss ratio 0.0892, byte miss ratio 0.0892
io_traces.ns590 S3FIFO-0.5000-0.9000 cache size    58858, 7400000 req, miss ratio 0.0537, byte miss ratio 0.0537
io_traces.ns590 S3FIFO-0.5000-0.9000 cache size   117716, 7400000 req, miss ratio 0.0410, byte miss ratio 0.0410
io_traces.ns590 S3FIFO-0.5000-0.9000 cache size   235433, 7400000 req, miss ratio 0.0401, byte miss ratio 0.0401
io_traces.ns590 S3FIFO-0.6500-0.9000 cache size      294, 7400000 req, miss ratio 0.4864, byte miss ratio 0.4864
io_traces.ns590 S3FIFO-0.6500-0.9000 cache size      882, 7400000 req, miss ratio 0.3700, byte miss ratio 0.3700
io_traces.ns590 S3FIFO-0.6500-0.9000 cache size     2942, 7400000 req, miss ratio 0.2009, byte miss ratio 0.2009
io_traces.ns590 S3FIFO-0.6500-0.9000 cache size     8828, 7400000 req, miss ratio 0.1456, byte miss ratio 0.1456
io_traces.ns590 S3FIFO-0.6500-0.9000 cache size    29429, 7400000 req, miss ratio 0.0856, byte miss ratio 0.0856
io_traces.ns590 S3FIFO-0.6500-0.9000 cache size    58858, 7400000 req, miss ratio 0.0575, byte miss ratio 0.0575
io_traces.ns590 S3FIFO-0.6500-0.9000 cache size   117716, 7400000 req, miss ratio 0.0425, byte miss ratio 0.0425
io_traces.ns590 S3FIFO-0.6500-0.9000 cache size   235433, 7400000 req, miss ratio 0.0404, byte miss ratio 0.0404
io_traces.ns590 S3FIFO-0.6500-1.9000 cache size      294, 7400000 req, miss ratio 0.4902, byte miss ratio 0.4902
io_traces.ns590 S3FIFO-0.6500-1.9000 cache size      882, 7400000 req, miss ratio 0.3725, byte miss ratio 0.3725
io_traces.ns590 S3FIFO-0.6500-1.9000 cache size     2942, 7400000 req, miss ratio 0.2032, byte miss ratio 0.2032
io_traces.ns590 S3FIFO-0.6500-1.9000 cache size     8828, 7400000 req, miss ratio 0.1448, byte miss ratio 0.1448
io_traces.ns590 S3FIFO-0.6500-1.9000 cache size    29429, 7400000 req, miss ratio 0.0856, byte miss ratio 0.0856
io_traces.ns590 S3FIFO-0.6500-1.9000 cache size    58858, 7400000 req, miss ratio 0.0575, byte miss ratio 0.0575
io_traces.ns590 S3FIFO-0.6500-1.9000 cache size   117716, 7400000 req, miss ratio 0.0425, byte miss ratio 0.0425
io_traces.ns590 S3FIFO-0.6500-1.9000 cache size   235433, 7400000 req, miss ratio 0.0404, byte miss ratio 0.0404
io_traces.ns590 S3FIFO-0.9000-0.9000 cache size      294, 7400000 req, miss ratio 0.5847, byte miss ratio 0.5847
io_traces.ns590 S3FIFO-0.9000-0.9000 cache size      882, 7400000 req, miss ratio 0.3952, byte miss ratio 0.3952
io_traces.ns590 S3FIFO-0.9000-0.9000 cache size     2942, 7400000 req, miss ratio 0.2378, byte miss ratio 0.2378
io_traces.ns590 S3FIFO-0.9000-0.9000 cache size     8828, 7400000 req, miss ratio 0.1569, byte miss ratio 0.1569
io_traces.ns590 S3FIFO-0.9000-0.9000 cache size    29429, 7400000 req, miss ratio 0.0863, byte miss ratio 0.0863
io_traces.ns590 S3FIFO-0.9000-0.9000 cache size    58858, 7400000 req, miss ratio 0.0613, byte miss ratio 0.0613
io_traces.ns590 S3FIFO-0.9000-0.9000 cache size   117716, 7400000 req, miss ratio 0.0479, byte miss ratio 0.0479
io_traces.ns590 S3FIFO-0.9000-0.9000 cache size   235433, 7400000 req, miss ratio 0.0425, byte miss ratio 0.0425
io_traces.ns590 S3FIFO-0.5000-1.9000 cache size      294, 7400000 req, miss ratio 0.4795, byte miss ratio 0.4795
io_traces.ns590 S3FIFO-0.5000-1.9000 cache size      882, 7400000 req, miss ratio 0.3581, byte miss ratio 0.3581
io_traces.ns590 S3FIFO-0.5000-1.9000 cache size     2942, 7400000 req, miss ratio 0.1881, byte miss ratio 0.1881
io_traces.ns590 S3FIFO-0.5000-1.9000 cache size     8828, 7400000 req, miss ratio 0.1419, byte miss ratio 0.1419
io_traces.ns590 S3FIFO-0.5000-1.9000 cache size    29429, 7400000 req, miss ratio 0.0892, byte miss ratio 0.0892
io_traces.ns590 S3FIFO-0.5000-1.9000 cache size    58858, 7400000 req, miss ratio 0.0537, byte miss ratio 0.0537
io_traces.ns590 S3FIFO-0.5000-1.9000 cache size   117716, 7400000 req, miss ratio 0.0410, byte miss ratio 0.0410
io_traces.ns590 S3FIFO-0.5000-1.9000 cache size   235433, 7400000 req, miss ratio 0.0401, byte miss ratio 0.0401
io_traces.ns590 S3FIFO-0.4500-1.9000 cache size      294, 7400000 req, miss ratio 0.4770, byte miss ratio 0.4770
io_traces.ns590 S3FIFO-0.4500-1.9000 cache size      882, 7400000 req, miss ratio 0.3523, byte miss ratio 0.3523
io_traces.ns590 S3FIFO-0.4500-1.9000 cache size     2942, 7400000 req, miss ratio 0.1865, byte miss ratio 0.1865
io_traces.ns590 S3FIFO-0.4500-1.9000 cache size     8828, 7400000 req, miss ratio 0.1410, byte miss ratio 0.1410
io_traces.ns590 S3FIFO-0.4500-1.9000 cache size    29429, 7400000 req, miss ratio 0.0891, byte miss ratio 0.0891
io_traces.ns590 S3FIFO-0.4500-1.9000 cache size    58858, 7400000 req, miss ratio 0.0529, byte miss ratio 0.0529
io_traces.ns590 S3FIFO-0.4500-1.9000 cache size   117716, 7400000 req, miss ratio 0.0409, byte miss ratio 0.0409
io_traces.ns590 S3FIFO-0.4500-1.9000 cache size   235433, 7400000 req, miss ratio 0.0400, byte miss ratio 0.0400
io_traces.ns590 S3FIFO-0.3500-0.9000 cache size      294, 7400000 req, miss ratio 0.4689, byte miss ratio 0.4689
io_traces.ns590 S3FIFO-0.3500-0.9000 cache size      882, 7400000 req, miss ratio 0.3372, byte miss ratio 0.3372
io_traces.ns590 S3FIFO-0.3500-0.9000 cache size     2942, 7400000 req, miss ratio 0.1846, byte miss ratio 0.1846
io_traces.ns590 S3FIFO-0.3500-0.9000 cache size     8828, 7400000 req, miss ratio 0.1377, byte miss ratio 0.1377
io_traces.ns590 S3FIFO-0.3500-0.9000 cache size    29429, 7400000 req, miss ratio 0.0891, byte miss ratio 0.0891
io_traces.ns590 S3FIFO-0.3500-0.9000 cache size    58858, 7400000 req, miss ratio 0.0519, byte miss ratio 0.0519
io_traces.ns590 S3FIFO-0.3500-0.9000 cache size   117716, 7400000 req, miss ratio 0.0407, byte miss ratio 0.0407
io_traces.ns590 S3FIFO-0.3500-0.9000 cache size   235433, 7400000 req, miss ratio 0.0400, byte miss ratio 0.0400
io_traces.ns590 S3FIFO-0.3000-1.9000 cache size      294, 7400000 req, miss ratio 0.4687, byte miss ratio 0.4687
io_traces.ns590 S3FIFO-0.3000-1.9000 cache size      882, 7400000 req, miss ratio 0.3350, byte miss ratio 0.3350
io_traces.ns590 S3FIFO-0.3000-1.9000 cache size     2942, 7400000 req, miss ratio 0.1839, byte miss ratio 0.1839
io_traces.ns590 S3FIFO-0.3000-1.9000 cache size     8828, 7400000 req, miss ratio 0.1386, byte miss ratio 0.1386
io_traces.ns590 S3FIFO-0.3000-1.9000 cache size    29429, 7400000 req, miss ratio 0.0891, byte miss ratio 0.0891
io_traces.ns590 S3FIFO-0.3000-1.9000 cache size    58858, 7400000 req, miss ratio 0.0513, byte miss ratio 0.0513
io_traces.ns590 S3FIFO-0.3000-1.9000 cache size   117716, 7400000 req, miss ratio 0.0407, byte miss ratio 0.0407
io_traces.ns590 S3FIFO-0.3000-1.9000 cache size   235433, 7400000 req, miss ratio 0.0399, byte miss ratio 0.0399
io_traces.ns590 S3FIFO-0.0500-0.9000 cache size      294, 7400000 req, miss ratio 0.4664, byte miss ratio 0.4664
io_traces.ns590 S3FIFO-0.0500-0.9000 cache size      882, 7400000 req, miss ratio 0.3037, byte miss ratio 0.3037
io_traces.ns590 S3FIFO-0.0500-0.9000 cache size     2942, 7400000 req, miss ratio 0.1850, byte miss ratio 0.1850
io_traces.ns590 S3FIFO-0.0500-0.9000 cache size     8828, 7400000 req, miss ratio 0.1352, byte miss ratio 0.1352
io_traces.ns590 S3FIFO-0.0500-0.9000 cache size    29429, 7400000 req, miss ratio 0.1006, byte miss ratio 0.1006
io_traces.ns590 S3FIFO-0.0500-0.9000 cache size    58858, 7400000 req, miss ratio 0.0582, byte miss ratio 0.0582
io_traces.ns590 S3FIFO-0.0500-0.9000 cache size   117716, 7400000 req, miss ratio 0.0409, byte miss ratio 0.0409
io_traces.ns590 S3FIFO-0.0500-0.9000 cache size   235433, 7400000 req, miss ratio 0.0398, byte miss ratio 0.0398
io_traces.ns590 S3FIFO-0.7000-0.9000 cache size      294, 7400000 req, miss ratio 0.4939, byte miss ratio 0.4939
io_traces.ns590 S3FIFO-0.7000-0.9000 cache size      882, 7400000 req, miss ratio 0.3745, byte miss ratio 0.3745
io_traces.ns590 S3FIFO-0.7000-0.9000 cache size     2942, 7400000 req, miss ratio 0.2087, byte miss ratio 0.2087
io_traces.ns590 S3FIFO-0.7000-0.9000 cache size     8828, 7400000 req, miss ratio 0.1469, byte miss ratio 0.1469
io_traces.ns590 S3FIFO-0.7000-0.9000 cache size    29429, 7400000 req, miss ratio 0.0865, byte miss ratio 0.0865
io_traces.ns590 S3FIFO-0.7000-0.9000 cache size    58858, 7400000 req, miss ratio 0.0585, byte miss ratio 0.0585
io_traces.ns590 S3FIFO-0.7000-0.9000 cache size   117716, 7400000 req, miss ratio 0.0436, byte miss ratio 0.0436
io_traces.ns590 S3FIFO-0.7000-0.9000 cache size   235433, 7400000 req, miss ratio 0.0405, byte miss ratio 0.0405
io_traces.ns590 S3FIFO-0.9900-0.9000 cache size      294, 7400000 req, miss ratio 0.6059, byte miss ratio 0.6059
io_traces.ns590 S3FIFO-0.9900-0.9000 cache size      882, 7400000 req, miss ratio 0.4217, byte miss ratio 0.4217
io_traces.ns590 S3FIFO-0.9900-0.9000 cache size     2942, 7400000 req, miss ratio 0.2495, byte miss ratio 0.2495
io_traces.ns590 S3FIFO-0.9900-0.9000 cache size     8828, 7400000 req, miss ratio 0.1646, byte miss ratio 0.1646
io_traces.ns590 S3FIFO-0.9900-0.9000 cache size    29429, 7400000 req, miss ratio 0.0872, byte miss ratio 0.0872
io_traces.ns590 S3FIFO-0.9900-0.9000 cache size    58858, 7400000 req, miss ratio 0.0613, byte miss ratio 0.0613
io_traces.ns590 S3FIFO-0.9900-0.9000 cache size   117716, 7400000 req, miss ratio 0.0485, byte miss ratio 0.0485
io_traces.ns590 S3FIFO-0.9900-0.9000 cache size   235433, 7400000 req, miss ratio 0.0437, byte miss ratio 0.0437
io_traces.ns590 S3FIFO-0.0500-1.9000 cache size      294, 7400000 req, miss ratio 0.4651, byte miss ratio 0.4651
io_traces.ns590 S3FIFO-0.0500-1.9000 cache size      882, 7400000 req, miss ratio 0.3074, byte miss ratio 0.3074
io_traces.ns590 S3FIFO-0.0500-1.9000 cache size     2942, 7400000 req, miss ratio 0.1834, byte miss ratio 0.1834
io_traces.ns590 S3FIFO-0.0500-1.9000 cache size     8828, 7400000 req, miss ratio 0.1392, byte miss ratio 0.1392
io_traces.ns590 S3FIFO-0.0500-1.9000 cache size    29429, 7400000 req, miss ratio 0.1006, byte miss ratio 0.1006
io_traces.ns590 S3FIFO-0.0500-1.9000 cache size    58858, 7400000 req, miss ratio 0.0582, byte miss ratio 0.0582
io_traces.ns590 S3FIFO-0.0500-1.9000 cache size   117716, 7400000 req, miss ratio 0.0409, byte miss ratio 0.0409
io_traces.ns590 S3FIFO-0.0500-1.9000 cache size   235433, 7400000 req, miss ratio 0.0398, byte miss ratio 0.0398
io_traces.ns590 S3FIFO-0.8000-0.9000 cache size      294, 7400000 req, miss ratio 0.5423, byte miss ratio 0.5423
io_traces.ns590 S3FIFO-0.8000-0.9000 cache size      882, 7400000 req, miss ratio 0.3839, byte miss ratio 0.3839
io_traces.ns590 S3FIFO-0.8000-0.9000 cache size     2942, 7400000 req, miss ratio 0.2242, byte miss ratio 0.2242
io_traces.ns590 S3FIFO-0.8000-0.9000 cache size     8828, 7400000 req, miss ratio 0.1496, byte miss ratio 0.1496
io_traces.ns590 S3FIFO-0.8000-0.9000 cache size    29429, 7400000 req, miss ratio 0.0881, byte miss ratio 0.0881
io_traces.ns590 S3FIFO-0.8000-0.9000 cache size    58858, 7400000 req, miss ratio 0.0604, byte miss ratio 0.0604
io_traces.ns590 S3FIFO-0.8000-0.9000 cache size   117716, 7400000 req, miss ratio 0.0460, byte miss ratio 0.0460
io_traces.ns590 S3FIFO-0.8000-0.9000 cache size   235433, 7400000 req, miss ratio 0.0410, byte miss ratio 0.0410
io_traces.ns590 S3FIFO-0.5500-0.9000 cache size      294, 7400000 req, miss ratio 0.4787, byte miss ratio 0.4787
io_traces.ns590 S3FIFO-0.5500-0.9000 cache size      882, 7400000 req, miss ratio 0.3600, byte miss ratio 0.3600
io_traces.ns590 S3FIFO-0.5500-0.9000 cache size     2942, 7400000 req, miss ratio 0.1890, byte miss ratio 0.1890
io_traces.ns590 S3FIFO-0.5500-0.9000 cache size     8828, 7400000 req, miss ratio 0.1428, byte miss ratio 0.1428
io_traces.ns590 S3FIFO-0.5500-0.9000 cache size    29429, 7400000 req, miss ratio 0.0867, byte miss ratio 0.0867
io_traces.ns590 S3FIFO-0.5500-0.9000 cache size    58858, 7400000 req, miss ratio 0.0553, byte miss ratio 0.0553
io_traces.ns590 S3FIFO-0.5500-0.9000 cache size   117716, 7400000 req, miss ratio 0.0414, byte miss ratio 0.0414
io_traces.ns590 S3FIFO-0.5500-0.9000 cache size   235433, 7400000 req, miss ratio 0.0402, byte miss ratio 0.0402
io_traces.ns590 S3FIFO-0.2500-1.9000 cache size      294, 7400000 req, miss ratio 0.4680, byte miss ratio 0.4680
io_traces.ns590 S3FIFO-0.2500-1.9000 cache size      882, 7400000 req, miss ratio 0.3288, byte miss ratio 0.3288
io_traces.ns590 S3FIFO-0.2500-1.9000 cache size     2942, 7400000 req, miss ratio 0.1834, byte miss ratio 0.1834
io_traces.ns590 S3FIFO-0.2500-1.9000 cache size     8828, 7400000 req, miss ratio 0.1380, byte miss ratio 0.1380
io_traces.ns590 S3FIFO-0.2500-1.9000 cache size    29429, 7400000 req, miss ratio 0.0962, byte miss ratio 0.0962
io_traces.ns590 S3FIFO-0.2500-1.9000 cache size    58858, 7400000 req, miss ratio 0.0518, byte miss ratio 0.0518
io_traces.ns590 S3FIFO-0.2500-1.9000 cache size   117716, 7400000 req, miss ratio 0.0406, byte miss ratio 0.0406
io_traces.ns590 S3FIFO-0.2500-1.9000 cache size   235433, 7400000 req, miss ratio 0.0399, byte miss ratio 0.0399
