manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size       14, 8300754 req, miss ratio 0.0068, byte miss ratio 0.0068
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size       46, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size       93, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size       14, 8300754 req, miss ratio 1.0000, byte miss ratio 1.0000
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size       46, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size       93, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size       14, 8300754 req, miss ratio 0.0068, byte miss ratio 0.0068
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size       46, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size       93, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size       14, 8300754 req, miss ratio 0.0069, byte miss ratio 0.0069
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size       46, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size       93, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size       14, 8300754 req, miss ratio 0.0068, byte miss ratio 0.0068
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size       46, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size       93, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size       14, 8300754 req, miss ratio 0.0070, byte miss ratio 0.0070
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size       46, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size       93, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size       14, 8300754 req, miss ratio 0.0068, byte miss ratio 0.0068
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size       46, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size       93, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size       14, 8300754 req, miss ratio 0.0075, byte miss ratio 0.0075
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size       46, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size       93, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size       14, 8300754 req, miss ratio 0.0070, byte miss ratio 0.0070
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size       46, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size       93, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size       14, 8300754 req, miss ratio 0.0069, byte miss ratio 0.0069
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size       46, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size       93, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size       14, 8300754 req, miss ratio 0.0069, byte miss ratio 0.0069
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size       46, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size       93, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size       14, 8300754 req, miss ratio 1.0000, byte miss ratio 1.0000
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size       46, 8300754 req, miss ratio 1.0000, byte miss ratio 1.0000
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size       93, 8300754 req, miss ratio 1.0000, byte miss ratio 1.0000
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
