cdn1_colo28.ns2339 S3FIFO-0.8000-0.9000 cache size        7, 2318711 req, miss ratio 0.0616, byte miss ratio 0.0616
cdn1_colo28.ns2339 S3FIFO-0.8000-0.9000 cache size       25, 2318711 req, miss ratio 0.0080, byte miss ratio 0.0080
cdn1_colo28.ns2339 S3FIFO-0.8000-0.9000 cache size       76, 2318711 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_colo28.ns2339 S3FIFO-0.8000-0.9000 cache size      253, 2318711 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_colo28.ns2339 S3FIFO-0.8000-0.9000 cache size      507, 2318711 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_colo28.ns2339 S3FIFO-0.8000-0.9000 cache size     1015, 2318711 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_colo28.ns2339 S3FIFO-0.8000-0.9000 cache size     2031, 2318711 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_colo28.ns2339 S3FIFO-0.0250-1.9000 cache size        7, 2318711 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2339 S3FIFO-0.0250-1.9000 cache size       25, 2318711 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2339 S3FIFO-0.0250-1.9000 cache size       76, 2318711 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_colo28.ns2339 S3FIFO-0.0250-1.9000 cache size      253, 2318711 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_colo28.ns2339 S3FIFO-0.0250-1.9000 cache size      507, 2318711 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_colo28.ns2339 S3FIFO-0.0250-1.9000 cache size     1015, 2318711 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_colo28.ns2339 S3FIFO-0.0250-1.9000 cache size     2031, 2318711 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_colo28.ns2339 S3FIFO-0.4000-1.9000 cache size        7, 2318711 req, miss ratio 0.0508, byte miss ratio 0.0508
cdn1_colo28.ns2339 S3FIFO-0.4000-1.9000 cache size       25, 2318711 req, miss ratio 0.0055, byte miss ratio 0.0055
