tencentBlock.ns19265 S3FIFO-0.9900-0.9000 cache size     1502, 10752569 req, miss ratio 0.6037, byte miss ratio 0.6037
tencentBlock.ns19265 S3FIFO-0.9900-0.9000 cache size     4506, 10752569 req, miss ratio 0.4409, byte miss ratio 0.4409
tencentBlock.ns19265 S3FIFO-0.9900-0.9000 cache size    15020, 10752569 req, miss ratio 0.3510, byte miss ratio 0.3510
tencentBlock.ns19265 S3FIFO-0.9900-0.9000 cache size    45060, 10752569 req, miss ratio 0.2622, byte miss ratio 0.2622
tencentBlock.ns19265 S3FIFO-0.9900-0.9000 cache size   150201, 10752569 req, miss ratio 0.2025, byte miss ratio 0.2025
tencentBlock.ns19265 S3FIFO-0.9900-0.9000 cache size   300403, 10752569 req, miss ratio 0.1764, byte miss ratio 0.1764
tencentBlock.ns19265 S3FIFO-0.9900-0.9000 cache size   600806, 10752569 req, miss ratio 0.1564, byte miss ratio 0.1564
tencentBlock.ns19265 S3FIFO-0.9900-0.9000 cache size  1201612, 10752569 req, miss ratio 0.1457, byte miss ratio 0.1457
tencentBlock.ns19265 S3FIFO-0.4000-0.9000 cache size     1502, 10752569 req, miss ratio 0.4475, byte miss ratio 0.4475
tencentBlock.ns19265 S3FIFO-0.4000-0.9000 cache size     4506, 10752569 req, miss ratio 0.3607, byte miss ratio 0.3607
tencentBlock.ns19265 S3FIFO-0.4000-0.9000 cache size    15020, 10752569 req, miss ratio 0.3181, byte miss ratio 0.3181
tencentBlock.ns19265 S3FIFO-0.4000-0.9000 cache size    45060, 10752569 req, miss ratio 0.2515, byte miss ratio 0.2515
tencentBlock.ns19265 S3FIFO-0.4000-0.9000 cache size   150201, 10752569 req, miss ratio 0.1760, byte miss ratio 0.1760
tencentBlock.ns19265 S3FIFO-0.4000-0.9000 cache size   300403, 10752569 req, miss ratio 0.1583, byte miss ratio 0.1583
tencentBlock.ns19265 S3FIFO-0.4000-0.9000 cache size   600806, 10752569 req, miss ratio 0.1440, byte miss ratio 0.1440
tencentBlock.ns19265 S3FIFO-0.4000-0.9000 cache size  1201612, 10752569 req, miss ratio 0.1403, byte miss ratio 0.1403
tencentBlock.ns19265 S3FIFO-0.1500-0.9000 cache size     1502, 10752569 req, miss ratio 0.3932, byte miss ratio 0.3932
tencentBlock.ns19265 S3FIFO-0.1500-0.9000 cache size     4506, 10752569 req, miss ratio 0.3618, byte miss ratio 0.3618
tencentBlock.ns19265 S3FIFO-0.1500-0.9000 cache size    15020, 10752569 req, miss ratio 0.3155, byte miss ratio 0.3155
tencentBlock.ns19265 S3FIFO-0.1500-0.9000 cache size    45060, 10752569 req, miss ratio 0.2605, byte miss ratio 0.2605
