cdn1_allcolo.ns325 S3FIFO-0.0500-1.9000 cache size      168, 5187764 req, miss ratio 0.7444, byte miss ratio 0.7444
cdn1_allcolo.ns325 S3FIFO-0.0500-1.9000 cache size      505, 5187764 req, miss ratio 0.5566, byte miss ratio 0.5566
cdn1_allcolo.ns325 S3FIFO-0.0500-1.9000 cache size     1685, 5187764 req, miss ratio 0.3157, byte miss ratio 0.3157
cdn1_allcolo.ns325 S3FIFO-0.0500-1.9000 cache size     5056, 5187764 req, miss ratio 0.1408, byte miss ratio 0.1408
cdn1_allcolo.ns325 S3FIFO-0.0500-1.9000 cache size    16856, 5187764 req, miss ratio 0.0562, byte miss ratio 0.0562
cdn1_allcolo.ns325 S3FIFO-0.0500-1.9000 cache size    33712, 5187764 req, miss ratio 0.0437, byte miss ratio 0.0437
cdn1_allcolo.ns325 S3FIFO-0.0500-1.9000 cache size    67424, 5187764 req, miss ratio 0.0363, byte miss ratio 0.0363
cdn1_allcolo.ns325 S3FIFO-0.0500-1.9000 cache size   134848, 5187764 req, miss ratio 0.0325, byte miss ratio 0.0325
cdn1_allcolo.ns325 S3FIFO-0.7500-1.9000 cache size      168, 5187764 req, miss ratio 0.8286, byte miss ratio 0.8286
cdn1_allcolo.ns325 S3FIFO-0.7500-1.9000 cache size      505, 5187764 req, miss ratio 0.6703, byte miss ratio 0.6703
cdn1_allcolo.ns325 S3FIFO-0.7500-1.9000 cache size     1685, 5187764 req, miss ratio 0.4085, byte miss ratio 0.4085
cdn1_allcolo.ns325 S3FIFO-0.7500-1.9000 cache size     5056, 5187764 req, miss ratio 0.1859, byte miss ratio 0.1859
cdn1_allcolo.ns325 S3FIFO-0.7500-1.9000 cache size    16856, 5187764 req, miss ratio 0.0571, byte miss ratio 0.0571
cdn1_allcolo.ns325 S3FIFO-0.7500-1.9000 cache size    33712, 5187764 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_allcolo.ns325 S3FIFO-0.7500-1.9000 cache size    67424, 5187764 req, miss ratio 0.0336, byte miss ratio 0.0336
cdn1_allcolo.ns325 S3FIFO-0.7500-1.9000 cache size   134848, 5187764 req, miss ratio 0.0326, byte miss ratio 0.0326
cdn1_allcolo.ns325 S3FIFO-0.7500-0.9000 cache size      168, 5187764 req, miss ratio 0.8202, byte miss ratio 0.8202
cdn1_allcolo.ns325 S3FIFO-0.7500-0.9000 cache size      505, 5187764 req, miss ratio 0.6631, byte miss ratio 0.6631
cdn1_allcolo.ns325 S3FIFO-0.7500-0.9000 cache size     1685, 5187764 req, miss ratio 0.4096, byte miss ratio 0.4096
cdn1_allcolo.ns325 S3FIFO-0.7500-0.9000 cache size     5056, 5187764 req, miss ratio 0.1884, byte miss ratio 0.1884
cdn1_allcolo.ns325 S3FIFO-0.7500-0.9000 cache size    16856, 5187764 req, miss ratio 0.0572, byte miss ratio 0.0572
cdn1_allcolo.ns325 S3FIFO-0.7500-0.9000 cache size    33712, 5187764 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_allcolo.ns325 S3FIFO-0.7500-0.9000 cache size    67424, 5187764 req, miss ratio 0.0336, byte miss ratio 0.0336
cdn1_allcolo.ns325 S3FIFO-0.7500-0.9000 cache size   134848, 5187764 req, miss ratio 0.0326, byte miss ratio 0.0326
cdn1_allcolo.ns325 S3FIFO-0.6000-0.9000 cache size      168, 5187764 req, miss ratio 0.7966, byte miss ratio 0.7966
cdn1_allcolo.ns325 S3FIFO-0.6000-0.9000 cache size      505, 5187764 req, miss ratio 0.6336, byte miss ratio 0.6336
cdn1_allcolo.ns325 S3FIFO-0.6000-0.9000 cache size     1685, 5187764 req, miss ratio 0.3832, byte miss ratio 0.3832
cdn1_allcolo.ns325 S3FIFO-0.6000-0.9000 cache size     5056, 5187764 req, miss ratio 0.1749, byte miss ratio 0.1749
cdn1_allcolo.ns325 S3FIFO-0.6000-0.9000 cache size    16856, 5187764 req, miss ratio 0.0534, byte miss ratio 0.0534
cdn1_allcolo.ns325 S3FIFO-0.6000-0.9000 cache size    33712, 5187764 req, miss ratio 0.0367, byte miss ratio 0.0367
cdn1_allcolo.ns325 S3FIFO-0.6000-0.9000 cache size    67424, 5187764 req, miss ratio 0.0334, byte miss ratio 0.0334
cdn1_allcolo.ns325 S3FIFO-0.6000-0.9000 cache size   134848, 5187764 req, miss ratio 0.0325, byte miss ratio 0.0325
cdn1_allcolo.ns325 S3FIFO-0.0050-1.9000 cache size      168, 5187764 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns325 S3FIFO-0.0050-1.9000 cache size      505, 5187764 req, miss ratio 0.5529, byte miss ratio 0.5529
cdn1_allcolo.ns325 S3FIFO-0.0050-1.9000 cache size     1685, 5187764 req, miss ratio 0.3135, byte miss ratio 0.3135
cdn1_allcolo.ns325 S3FIFO-0.0050-1.9000 cache size     5056, 5187764 req, miss ratio 0.1400, byte miss ratio 0.1400
cdn1_allcolo.ns325 S3FIFO-0.0050-1.9000 cache size    16856, 5187764 req, miss ratio 0.0596, byte miss ratio 0.0596
cdn1_allcolo.ns325 S3FIFO-0.0050-1.9000 cache size    33712, 5187764 req, miss ratio 0.0487, byte miss ratio 0.0487
cdn1_allcolo.ns325 S3FIFO-0.0050-1.9000 cache size    67424, 5187764 req, miss ratio 0.0406, byte miss ratio 0.0406
cdn1_allcolo.ns325 S3FIFO-0.0050-1.9000 cache size   134848, 5187764 req, miss ratio 0.0325, byte miss ratio 0.0325
cdn1_allcolo.ns325 S3FIFO-0.3000-1.9000 cache size      168, 5187764 req, miss ratio 0.7689, byte miss ratio 0.7689
cdn1_allcolo.ns325 S3FIFO-0.3000-1.9000 cache size      505, 5187764 req, miss ratio 0.5929, byte miss ratio 0.5929
cdn1_allcolo.ns325 S3FIFO-0.3000-1.9000 cache size     1685, 5187764 req, miss ratio 0.3445, byte miss ratio 0.3445
cdn1_allcolo.ns325 S3FIFO-0.3000-1.9000 cache size     5056, 5187764 req, miss ratio 0.1536, byte miss ratio 0.1536
cdn1_allcolo.ns325 S3FIFO-0.3000-1.9000 cache size    16856, 5187764 req, miss ratio 0.0506, byte miss ratio 0.0506
cdn1_allcolo.ns325 S3FIFO-0.3000-1.9000 cache size    33712, 5187764 req, miss ratio 0.0367, byte miss ratio 0.0367
cdn1_allcolo.ns325 S3FIFO-0.3000-1.9000 cache size    67424, 5187764 req, miss ratio 0.0333, byte miss ratio 0.0333
cdn1_allcolo.ns325 S3FIFO-0.3000-1.9000 cache size   134848, 5187764 req, miss ratio 0.0325, byte miss ratio 0.0325
cdn1_allcolo.ns325 S3FIFO-0.9500-0.9000 cache size      168, 5187764 req, miss ratio 0.8546, byte miss ratio 0.8546
cdn1_allcolo.ns325 S3FIFO-0.9500-0.9000 cache size      505, 5187764 req, miss ratio 0.7037, byte miss ratio 0.7037
cdn1_allcolo.ns325 S3FIFO-0.9500-0.9000 cache size     1685, 5187764 req, miss ratio 0.4456, byte miss ratio 0.4456
cdn1_allcolo.ns325 S3FIFO-0.9500-0.9000 cache size     5056, 5187764 req, miss ratio 0.2096, byte miss ratio 0.2096
cdn1_allcolo.ns325 S3FIFO-0.9500-0.9000 cache size    16856, 5187764 req, miss ratio 0.0641, byte miss ratio 0.0641
cdn1_allcolo.ns325 S3FIFO-0.9500-0.9000 cache size    33712, 5187764 req, miss ratio 0.0396, byte miss ratio 0.0396
cdn1_allcolo.ns325 S3FIFO-0.9500-0.9000 cache size    67424, 5187764 req, miss ratio 0.0342, byte miss ratio 0.0342
cdn1_allcolo.ns325 S3FIFO-0.9500-0.9000 cache size   134848, 5187764 req, miss ratio 0.0326, byte miss ratio 0.0326
cdn1_allcolo.ns325 S3FIFO-0.8500-0.9000 cache size      168, 5187764 req, miss ratio 0.8373, byte miss ratio 0.8373
cdn1_allcolo.ns325 S3FIFO-0.8500-0.9000 cache size      505, 5187764 req, miss ratio 0.6836, byte miss ratio 0.6836
cdn1_allcolo.ns325 S3FIFO-0.8500-0.9000 cache size     1685, 5187764 req, miss ratio 0.4281, byte miss ratio 0.4281
cdn1_allcolo.ns325 S3FIFO-0.8500-0.9000 cache size     5056, 5187764 req, miss ratio 0.1985, byte miss ratio 0.1985
cdn1_allcolo.ns325 S3FIFO-0.8500-0.9000 cache size    16856, 5187764 req, miss ratio 0.0606, byte miss ratio 0.0606
cdn1_allcolo.ns325 S3FIFO-0.8500-0.9000 cache size    33712, 5187764 req, miss ratio 0.0388, byte miss ratio 0.0388
cdn1_allcolo.ns325 S3FIFO-0.8500-0.9000 cache size    67424, 5187764 req, miss ratio 0.0340, byte miss ratio 0.0340
cdn1_allcolo.ns325 S3FIFO-0.8500-0.9000 cache size   134848, 5187764 req, miss ratio 0.0326, byte miss ratio 0.0326
cdn1_allcolo.ns325 S3FIFO-0.5000-0.9000 cache size      168, 5187764 req, miss ratio 0.7840, byte miss ratio 0.7840
cdn1_allcolo.ns325 S3FIFO-0.5000-0.9000 cache size      505, 5187764 req, miss ratio 0.6145, byte miss ratio 0.6145
cdn1_allcolo.ns325 S3FIFO-0.5000-0.9000 cache size     1685, 5187764 req, miss ratio 0.3665, byte miss ratio 0.3665
cdn1_allcolo.ns325 S3FIFO-0.5000-0.9000 cache size     5056, 5187764 req, miss ratio 0.1668, byte miss ratio 0.1668
cdn1_allcolo.ns325 S3FIFO-0.5000-0.9000 cache size    16856, 5187764 req, miss ratio 0.0518, byte miss ratio 0.0518
cdn1_allcolo.ns325 S3FIFO-0.5000-0.9000 cache size    33712, 5187764 req, miss ratio 0.0363, byte miss ratio 0.0363
cdn1_allcolo.ns325 S3FIFO-0.5000-0.9000 cache size    67424, 5187764 req, miss ratio 0.0333, byte miss ratio 0.0333
cdn1_allcolo.ns325 S3FIFO-0.5000-0.9000 cache size   134848, 5187764 req, miss ratio 0.0325, byte miss ratio 0.0325
cdn1_allcolo.ns325 S3FIFO-0.2500-1.9000 cache size      168, 5187764 req, miss ratio 0.7637, byte miss ratio 0.7637
cdn1_allcolo.ns325 S3FIFO-0.2500-1.9000 cache size      505, 5187764 req, miss ratio 0.5849, byte miss ratio 0.5849
