io_traces.ns61 S3FIFO-0.8000-0.9000 cache size     8784, 14400000 req, miss ratio 0.8296, byte miss ratio 0.8296
io_traces.ns61 S3FIFO-0.8000-0.9000 cache size    26352, 14400000 req, miss ratio 0.8267, byte miss ratio 0.8267
io_traces.ns61 S3FIFO-0.8000-0.9000 cache size    87842, 14400000 req, miss ratio 0.8031, byte miss ratio 0.8031
io_traces.ns61 S3FIFO-0.8000-0.9000 cache size   263527, 14400000 req, miss ratio 0.7527, byte miss ratio 0.7527
io_traces.ns61 S3FIFO-0.8000-0.9000 cache size   878426, 14400000 req, miss ratio 0.7301, byte miss ratio 0.7301
io_traces.ns61 S3FIFO-0.8000-0.9000 cache size  1756852, 14400000 req, miss ratio 0.7154, byte miss ratio 0.7154
io_traces.ns61 S3FIFO-0.8000-0.9000 cache size  3513704, 14400000 req, miss ratio 0.6592, byte miss ratio 0.6592
io_traces.ns61 S3FIFO-0.8000-0.9000 cache size  7027408, 14400000 req, miss ratio 0.6147, byte miss ratio 0.6147
io_traces.ns61 S3FIFO-0.6500-1.9000 cache size     8784, 14400000 req, miss ratio 0.8295, byte miss ratio 0.8295
io_traces.ns61 S3FIFO-0.6500-1.9000 cache size    26352, 14400000 req, miss ratio 0.8238, byte miss ratio 0.8238
io_traces.ns61 S3FIFO-0.6500-1.9000 cache size    87842, 14400000 req, miss ratio 0.7907, byte miss ratio 0.7907
io_traces.ns61 S3FIFO-0.6500-1.9000 cache size   263527, 14400000 req, miss ratio 0.7338, byte miss ratio 0.7338
io_traces.ns61 S3FIFO-0.6500-1.9000 cache size   878426, 14400000 req, miss ratio 0.7247, byte miss ratio 0.7247
io_traces.ns61 S3FIFO-0.6500-1.9000 cache size  1756852, 14400000 req, miss ratio 0.7098, byte miss ratio 0.7098
io_traces.ns61 S3FIFO-0.6500-1.9000 cache size  3513704, 14400000 req, miss ratio 0.6580, byte miss ratio 0.6580
io_traces.ns61 S3FIFO-0.6500-1.9000 cache size  7027408, 14400000 req, miss ratio 0.6147, byte miss ratio 0.6147
io_traces.ns61 S3FIFO-0.3500-0.9000 cache size     8784, 14400000 req, miss ratio 0.8297, byte miss ratio 0.8297
io_traces.ns61 S3FIFO-0.3500-0.9000 cache size    26352, 14400000 req, miss ratio 0.8249, byte miss ratio 0.8249
io_traces.ns61 S3FIFO-0.3500-0.9000 cache size    87842, 14400000 req, miss ratio 0.7665, byte miss ratio 0.7665
io_traces.ns61 S3FIFO-0.3500-0.9000 cache size   263527, 14400000 req, miss ratio 0.7323, byte miss ratio 0.7323
io_traces.ns61 S3FIFO-0.3500-0.9000 cache size   878426, 14400000 req, miss ratio 0.7168, byte miss ratio 0.7168
io_traces.ns61 S3FIFO-0.3500-0.9000 cache size  1756852, 14400000 req, miss ratio 0.7006, byte miss ratio 0.7006
io_traces.ns61 S3FIFO-0.3500-0.9000 cache size  3513704, 14400000 req, miss ratio 0.6555, byte miss ratio 0.6555
io_traces.ns61 S3FIFO-0.3500-0.9000 cache size  7027408, 14400000 req, miss ratio 0.6147, byte miss ratio 0.6147
io_traces.ns61 S3FIFO-0.0500-0.9000 cache size     8784, 14400000 req, miss ratio 0.8299, byte miss ratio 0.8299
io_traces.ns61 S3FIFO-0.0500-0.9000 cache size    26352, 14400000 req, miss ratio 0.8234, byte miss ratio 0.8234
io_traces.ns61 S3FIFO-0.0500-0.9000 cache size    87842, 14400000 req, miss ratio 0.7453, byte miss ratio 0.7453
io_traces.ns61 S3FIFO-0.0500-0.9000 cache size   263527, 14400000 req, miss ratio 0.7320, byte miss ratio 0.7320
io_traces.ns61 S3FIFO-0.0500-0.9000 cache size   878426, 14400000 req, miss ratio 0.7146, byte miss ratio 0.7146
io_traces.ns61 S3FIFO-0.0500-0.9000 cache size  1756852, 14400000 req, miss ratio 0.6983, byte miss ratio 0.6983
io_traces.ns61 S3FIFO-0.0500-0.9000 cache size  3513704, 14400000 req, miss ratio 0.6555, byte miss ratio 0.6555
io_traces.ns61 S3FIFO-0.0500-0.9000 cache size  7027408, 14400000 req, miss ratio 0.6147, byte miss ratio 0.6147
io_traces.ns61 S3FIFO-0.9500-0.9000 cache size     8784, 14400000 req, miss ratio 0.8298, byte miss ratio 0.8298
io_traces.ns61 S3FIFO-0.9500-0.9000 cache size    26352, 14400000 req, miss ratio 0.8270, byte miss ratio 0.8270
io_traces.ns61 S3FIFO-0.9500-0.9000 cache size    87842, 14400000 req, miss ratio 0.8109, byte miss ratio 0.8109
io_traces.ns61 S3FIFO-0.9500-0.9000 cache size   263527, 14400000 req, miss ratio 0.7804, byte miss ratio 0.7804
io_traces.ns61 S3FIFO-0.9500-0.9000 cache size   878426, 14400000 req, miss ratio 0.7440, byte miss ratio 0.7440
io_traces.ns61 S3FIFO-0.9500-0.9000 cache size  1756852, 14400000 req, miss ratio 0.7060, byte miss ratio 0.7060
io_traces.ns61 S3FIFO-0.9500-0.9000 cache size  3513704, 14400000 req, miss ratio 0.6583, byte miss ratio 0.6583
io_traces.ns61 S3FIFO-0.9500-0.9000 cache size  7027408, 14400000 req, miss ratio 0.6163, byte miss ratio 0.6163
io_traces.ns61 S3FIFO-0.1500-1.9000 cache size     8784, 14400000 req, miss ratio 0.8274, byte miss ratio 0.8274
io_traces.ns61 S3FIFO-0.1500-1.9000 cache size    26352, 14400000 req, miss ratio 0.8163, byte miss ratio 0.8163
io_traces.ns61 S3FIFO-0.1500-1.9000 cache size    87842, 14400000 req, miss ratio 0.7457, byte miss ratio 0.7457
io_traces.ns61 S3FIFO-0.1500-1.9000 cache size   263527, 14400000 req, miss ratio 0.7320, byte miss ratio 0.7320
io_traces.ns61 S3FIFO-0.1500-1.9000 cache size   878426, 14400000 req, miss ratio 0.7083, byte miss ratio 0.7083
io_traces.ns61 S3FIFO-0.1500-1.9000 cache size  1756852, 14400000 req, miss ratio 0.6981, byte miss ratio 0.6981
io_traces.ns61 S3FIFO-0.1500-1.9000 cache size  3513704, 14400000 req, miss ratio 0.6555, byte miss ratio 0.6555
io_traces.ns61 S3FIFO-0.1500-1.9000 cache size  7027408, 14400000 req, miss ratio 0.6147, byte miss ratio 0.6147
io_traces.ns61 S3FIFO-0.0100-1.9000 cache size     8784, 14400000 req, miss ratio 0.8294, byte miss ratio 0.8294
io_traces.ns61 S3FIFO-0.0100-1.9000 cache size    26352, 14400000 req, miss ratio 0.8152, byte miss ratio 0.8152
io_traces.ns61 S3FIFO-0.0100-1.9000 cache size    87842, 14400000 req, miss ratio 0.7403, byte miss ratio 0.7403
io_traces.ns61 S3FIFO-0.0100-1.9000 cache size   263527, 14400000 req, miss ratio 0.7316, byte miss ratio 0.7316
io_traces.ns61 S3FIFO-0.0100-1.9000 cache size   878426, 14400000 req, miss ratio 0.7058, byte miss ratio 0.7058
io_traces.ns61 S3FIFO-0.0100-1.9000 cache size  1756852, 14400000 req, miss ratio 0.6963, byte miss ratio 0.6963
io_traces.ns61 S3FIFO-0.0100-1.9000 cache size  3513704, 14400000 req, miss ratio 0.6555, byte miss ratio 0.6555
io_traces.ns61 S3FIFO-0.0100-1.9000 cache size  7027408, 14400000 req, miss ratio 0.6147, byte miss ratio 0.6147
io_traces.ns61 S3FIFO-0.8000-1.9000 cache size     8784, 14400000 req, miss ratio 0.8296, byte miss ratio 0.8296
io_traces.ns61 S3FIFO-0.8000-1.9000 cache size    26352, 14400000 req, miss ratio 0.8266, byte miss ratio 0.8266
io_traces.ns61 S3FIFO-0.8000-1.9000 cache size    87842, 14400000 req, miss ratio 0.8030, byte miss ratio 0.8030
io_traces.ns61 S3FIFO-0.8000-1.9000 cache size   263527, 14400000 req, miss ratio 0.7530, byte miss ratio 0.7530
io_traces.ns61 S3FIFO-0.8000-1.9000 cache size   878426, 14400000 req, miss ratio 0.7303, byte miss ratio 0.7303
io_traces.ns61 S3FIFO-0.8000-1.9000 cache size  1756852, 14400000 req, miss ratio 0.7129, byte miss ratio 0.7129
io_traces.ns61 S3FIFO-0.8000-1.9000 cache size  3513704, 14400000 req, miss ratio 0.6592, byte miss ratio 0.6592
io_traces.ns61 S3FIFO-0.8000-1.9000 cache size  7027408, 14400000 req, miss ratio 0.6147, byte miss ratio 0.6147
io_traces.ns61 S3FIFO-0.9000-0.9000 cache size     8784, 14400000 req, miss ratio 0.8298, byte miss ratio 0.8298
io_traces.ns61 S3FIFO-0.9000-0.9000 cache size    26352, 14400000 req, miss ratio 0.8270, byte miss ratio 0.8270
io_traces.ns61 S3FIFO-0.9000-0.9000 cache size    87842, 14400000 req, miss ratio 0.8083, byte miss ratio 0.8083
io_traces.ns61 S3FIFO-0.9000-0.9000 cache size   263527, 14400000 req, miss ratio 0.7727, byte miss ratio 0.7727
io_traces.ns61 S3FIFO-0.9000-0.9000 cache size   878426, 14400000 req, miss ratio 0.7329, byte miss ratio 0.7329
io_traces.ns61 S3FIFO-0.9000-0.9000 cache size  1756852, 14400000 req, miss ratio 0.7098, byte miss ratio 0.7098
io_traces.ns61 S3FIFO-0.9000-0.9000 cache size  3513704, 14400000 req, miss ratio 0.6597, byte miss ratio 0.6597
io_traces.ns61 S3FIFO-0.9000-0.9000 cache size  7027408, 14400000 req, miss ratio 0.6146, byte miss ratio 0.6146
