cdn1_allcolo.ns2405 S3FIFO-0.7000-1.9000 cache size       17, 1486438 req, miss ratio 0.4823, byte miss ratio 0.4823
cdn1_allcolo.ns2405 S3FIFO-0.7000-1.9000 cache size       51, 1486438 req, miss ratio 0.3596, byte miss ratio 0.3596
cdn1_allcolo.ns2405 S3FIFO-0.7000-1.9000 cache size      171, 1486438 req, miss ratio 0.2368, byte miss ratio 0.2368
cdn1_allcolo.ns2405 S3FIFO-0.7000-1.9000 cache size      514, 1486438 req, miss ratio 0.1517, byte miss ratio 0.1517
cdn1_allcolo.ns2405 S3FIFO-0.7000-1.9000 cache size     1713, 1486438 req, miss ratio 0.0733, byte miss ratio 0.0733
cdn1_allcolo.ns2405 S3FIFO-0.7000-1.9000 cache size     3427, 1486438 req, miss ratio 0.0409, byte miss ratio 0.0409
cdn1_allcolo.ns2405 S3FIFO-0.7000-1.9000 cache size     6854, 1486438 req, miss ratio 0.0215, byte miss ratio 0.0215
cdn1_allcolo.ns2405 S3FIFO-0.7000-1.9000 cache size    13708, 1486438 req, miss ratio 0.0125, byte miss ratio 0.0125
cdn1_allcolo.ns2405 S3FIFO-0.0050-1.9000 cache size       17, 1486438 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2405 S3FIFO-0.0050-1.9000 cache size       51, 1486438 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2405 S3FIFO-0.0050-1.9000 cache size      171, 1486438 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2405 S3FIFO-0.0050-1.9000 cache size      514, 1486438 req, miss ratio 0.1247, byte miss ratio 0.1247
cdn1_allcolo.ns2405 S3FIFO-0.0050-1.9000 cache size     1713, 1486438 req, miss ratio 0.0582, byte miss ratio 0.0582
cdn1_allcolo.ns2405 S3FIFO-0.0050-1.9000 cache size     3427, 1486438 req, miss ratio 0.0310, byte miss ratio 0.0310
cdn1_allcolo.ns2405 S3FIFO-0.0050-1.9000 cache size     6854, 1486438 req, miss ratio 0.0165, byte miss ratio 0.0165
cdn1_allcolo.ns2405 S3FIFO-0.0050-1.9000 cache size    13708, 1486438 req, miss ratio 0.0119, byte miss ratio 0.0119
cdn1_allcolo.ns2405 S3FIFO-0.1500-0.9000 cache size       17, 1486438 req, miss ratio 0.4217, byte miss ratio 0.4217
cdn1_allcolo.ns2405 S3FIFO-0.1500-0.9000 cache size       51, 1486438 req, miss ratio 0.2938, byte miss ratio 0.2938
cdn1_allcolo.ns2405 S3FIFO-0.1500-0.9000 cache size      171, 1486438 req, miss ratio 0.1958, byte miss ratio 0.1958
cdn1_allcolo.ns2405 S3FIFO-0.1500-0.9000 cache size      514, 1486438 req, miss ratio 0.1243, byte miss ratio 0.1243
cdn1_allcolo.ns2405 S3FIFO-0.1500-0.9000 cache size     1713, 1486438 req, miss ratio 0.0585, byte miss ratio 0.0585
cdn1_allcolo.ns2405 S3FIFO-0.1500-0.9000 cache size     3427, 1486438 req, miss ratio 0.0316, byte miss ratio 0.0316
cdn1_allcolo.ns2405 S3FIFO-0.1500-0.9000 cache size     6854, 1486438 req, miss ratio 0.0170, byte miss ratio 0.0170
cdn1_allcolo.ns2405 S3FIFO-0.1500-0.9000 cache size    13708, 1486438 req, miss ratio 0.0119, byte miss ratio 0.0119
cdn1_allcolo.ns2405 S3FIFO-0.0100-0.9000 cache size       17, 1486438 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2405 S3FIFO-0.0100-0.9000 cache size       51, 1486438 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2405 S3FIFO-0.0100-0.9000 cache size      171, 1486438 req, miss ratio 0.1948, byte miss ratio 0.1948
cdn1_allcolo.ns2405 S3FIFO-0.0100-0.9000 cache size      514, 1486438 req, miss ratio 0.1212, byte miss ratio 0.1212
cdn1_allcolo.ns2405 S3FIFO-0.0100-0.9000 cache size     1713, 1486438 req, miss ratio 0.0565, byte miss ratio 0.0565
cdn1_allcolo.ns2405 S3FIFO-0.0100-0.9000 cache size     3427, 1486438 req, miss ratio 0.0304, byte miss ratio 0.0304
