cdn1_allcolo.ns5507 S3FIFO-0.9500-0.9000 cache size       18, 1563909 req, miss ratio 0.0135, byte miss ratio 0.0135
cdn1_allcolo.ns5507 S3FIFO-0.9500-0.9000 cache size       56, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.9500-0.9000 cache size      188, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.9500-0.9000 cache size      566, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.9500-0.9000 cache size     1888, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.9500-0.9000 cache size     3776, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.9500-0.9000 cache size     7552, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.9500-0.9000 cache size    15104, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.6000-0.9000 cache size       18, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.6000-0.9000 cache size       56, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.6000-0.9000 cache size      188, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.6000-0.9000 cache size      566, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.6000-0.9000 cache size     1888, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.6000-0.9000 cache size     3776, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.6000-0.9000 cache size     7552, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.6000-0.9000 cache size    15104, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.3500-1.9000 cache size       18, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.3500-1.9000 cache size       56, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.3500-1.9000 cache size      188, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.3500-1.9000 cache size      566, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.3500-1.9000 cache size     1888, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.3500-1.9000 cache size     3776, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.3500-1.9000 cache size     7552, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.3500-1.9000 cache size    15104, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.2500-1.9000 cache size       18, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.2500-1.9000 cache size       56, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5507 S3FIFO-0.2500-1.9000 cache size      188, 1563909 req, miss ratio 0.0121, byte miss ratio 0.0121
