cdn1_colo28.ns220 S3FIFO-0.4500-0.9000 cache size        5, 1441691 req, miss ratio 0.8344, byte miss ratio 0.8344
cdn1_colo28.ns220 S3FIFO-0.4500-0.9000 cache size       17, 1441691 req, miss ratio 0.4901, byte miss ratio 0.4901
cdn1_colo28.ns220 S3FIFO-0.4500-0.9000 cache size       35, 1441691 req, miss ratio 0.1721, byte miss ratio 0.1721
cdn1_colo28.ns220 S3FIFO-0.4500-0.9000 cache size       70, 1441691 req, miss ratio 0.0194, byte miss ratio 0.0194
cdn1_colo28.ns220 S3FIFO-0.4500-0.9000 cache size      140, 1441691 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns220 S3FIFO-0.9000-0.9000 cache size        5, 1441691 req, miss ratio 0.8784, byte miss ratio 0.8784
cdn1_colo28.ns220 S3FIFO-0.9000-0.9000 cache size       17, 1441691 req, miss ratio 0.5361, byte miss ratio 0.5361
cdn1_colo28.ns220 S3FIFO-0.9000-0.9000 cache size       35, 1441691 req, miss ratio 0.2133, byte miss ratio 0.2133
cdn1_colo28.ns220 S3FIFO-0.9000-0.9000 cache size       70, 1441691 req, miss ratio 0.0298, byte miss ratio 0.0298
cdn1_colo28.ns220 S3FIFO-0.9000-0.9000 cache size      140, 1441691 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_colo28.ns220 S3FIFO-0.0250-1.9000 cache size        5, 1441691 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns220 S3FIFO-0.0250-1.9000 cache size       17, 1441691 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns220 S3FIFO-0.0250-1.9000 cache size       35, 1441691 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns220 S3FIFO-0.0250-1.9000 cache size       70, 1441691 req, miss ratio 0.0122, byte miss ratio 0.0122
cdn1_colo28.ns220 S3FIFO-0.0250-1.9000 cache size      140, 1441691 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns220 S3FIFO-0.3500-1.9000 cache size        5, 1441691 req, miss ratio 0.8209, byte miss ratio 0.8209
cdn1_colo28.ns220 S3FIFO-0.3500-1.9000 cache size       17, 1441691 req, miss ratio 0.4852, byte miss ratio 0.4852
cdn1_colo28.ns220 S3FIFO-0.3500-1.9000 cache size       35, 1441691 req, miss ratio 0.1632, byte miss ratio 0.1632
cdn1_colo28.ns220 S3FIFO-0.3500-1.9000 cache size       70, 1441691 req, miss ratio 0.0172, byte miss ratio 0.0172
cdn1_colo28.ns220 S3FIFO-0.3500-1.9000 cache size      140, 1441691 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns220 S3FIFO-0.7000-1.9000 cache size        5, 1441691 req, miss ratio 0.8811, byte miss ratio 0.8811
