alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   510125, 1967621586 req, miss ratio 0.2917, byte miss ratio 0.2917
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size  1700416, 1967621586 req, miss ratio 0.2276, byte miss ratio 0.2276
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size  5101250, 1967621586 req, miss ratio 0.1823, byte miss ratio 0.1823
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size 17004168, 1967621586 req, miss ratio 0.1313, byte miss ratio 0.1313
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size 34008336, 1967621586 req, miss ratio 0.1125, byte miss ratio 0.1125
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size 68016672, 1967621586 req, miss ratio 0.0976, byte miss ratio 0.0976
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size 136033344, 1967621586 req, miss ratio 0.0875, byte miss ratio 0.0875
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   170041, 1967621586 req, miss ratio 0.3825, byte miss ratio 0.3825
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   510125, 1967621586 req, miss ratio 0.2977, byte miss ratio 0.2977
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  1700416, 1967621586 req, miss ratio 0.2349, byte miss ratio 0.2349
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  5101250, 1967621586 req, miss ratio 0.1853, byte miss ratio 0.1853
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 17004168, 1967621586 req, miss ratio 0.1348, byte miss ratio 0.1348
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 34008336, 1967621586 req, miss ratio 0.1150, byte miss ratio 0.1150
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 68016672, 1967621586 req, miss ratio 0.0976, byte miss ratio 0.0976
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 136033344, 1967621586 req, miss ratio 0.0875, byte miss ratio 0.0875
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   170041, 1967621586 req, miss ratio 0.3618, byte miss ratio 0.3618
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   510125, 1967621586 req, miss ratio 0.3005, byte miss ratio 0.3005
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size  1700416, 1967621586 req, miss ratio 0.2269, byte miss ratio 0.2269
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size  5101250, 1967621586 req, miss ratio 0.1819, byte miss ratio 0.1819
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size 17004168, 1967621586 req, miss ratio 0.1329, byte miss ratio 0.1329
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size 34008336, 1967621586 req, miss ratio 0.1131, byte miss ratio 0.1131
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size 68016672, 1967621586 req, miss ratio 0.0980, byte miss ratio 0.0980
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size 136033344, 1967621586 req, miss ratio 0.0875, byte miss ratio 0.0875
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   170041, 1967621586 req, miss ratio 0.3721, byte miss ratio 0.3721
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   510125, 1967621586 req, miss ratio 0.3178, byte miss ratio 0.3178
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size  1700416, 1967621586 req, miss ratio 0.2424, byte miss ratio 0.2424
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size  5101250, 1967621586 req, miss ratio 0.1885, byte miss ratio 0.1885
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size 17004168, 1967621586 req, miss ratio 0.1365, byte miss ratio 0.1365
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size 34008336, 1967621586 req, miss ratio 0.1166, byte miss ratio 0.1166
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size 68016672, 1967621586 req, miss ratio 0.0992, byte miss ratio 0.0992
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size 136033344, 1967621586 req, miss ratio 0.0875, byte miss ratio 0.0875
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   170041, 1967621586 req, miss ratio 0.3848, byte miss ratio 0.3848
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   510125, 1967621586 req, miss ratio 0.2993, byte miss ratio 0.2993
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size  1700416, 1967621586 req, miss ratio 0.2366, byte miss ratio 0.2366
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size  5101250, 1967621586 req, miss ratio 0.1860, byte miss ratio 0.1860
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size 17004168, 1967621586 req, miss ratio 0.1355, byte miss ratio 0.1355
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size 34008336, 1967621586 req, miss ratio 0.1151, byte miss ratio 0.1151
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size 68016672, 1967621586 req, miss ratio 0.0976, byte miss ratio 0.0976
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size 136033344, 1967621586 req, miss ratio 0.0875, byte miss ratio 0.0875
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   170041, 1967621586 req, miss ratio 0.3981, byte miss ratio 0.3981
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   510125, 1967621586 req, miss ratio 0.3034, byte miss ratio 0.3034
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  1700416, 1967621586 req, miss ratio 0.2416, byte miss ratio 0.2416
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  5101250, 1967621586 req, miss ratio 0.1886, byte miss ratio 0.1886
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size 17004168, 1967621586 req, miss ratio 0.1385, byte miss ratio 0.1385
