tencentBlock.ns5372 S3FIFO-0.5000-1.9000 cache size     9156, 56676063 req, miss ratio 0.6153, byte miss ratio 0.6153
tencentBlock.ns5372 S3FIFO-0.5000-1.9000 cache size    27468, 56676063 req, miss ratio 0.6089, byte miss ratio 0.6089
tencentBlock.ns5372 S3FIFO-0.5000-1.9000 cache size    91561, 56676063 req, miss ratio 0.5927, byte miss ratio 0.5927
tencentBlock.ns5372 S3FIFO-0.5000-1.9000 cache size   274685, 56676063 req, miss ratio 0.5585, byte miss ratio 0.5585
tencentBlock.ns5372 S3FIFO-0.5000-1.9000 cache size   915619, 56676063 req, miss ratio 0.3820, byte miss ratio 0.3820
tencentBlock.ns5372 S3FIFO-0.5000-1.9000 cache size  1831238, 56676063 req, miss ratio 0.2423, byte miss ratio 0.2423
tencentBlock.ns5372 S3FIFO-0.5000-1.9000 cache size  3662476, 56676063 req, miss ratio 0.1720, byte miss ratio 0.1720
tencentBlock.ns5372 S3FIFO-0.5000-1.9000 cache size  7324953, 56676063 req, miss ratio 0.1617, byte miss ratio 0.1617
tencentBlock.ns5372 S3FIFO-0.0500-1.9000 cache size     9156, 56676063 req, miss ratio 0.6142, byte miss ratio 0.6142
tencentBlock.ns5372 S3FIFO-0.0500-1.9000 cache size    27468, 56676063 req, miss ratio 0.6054, byte miss ratio 0.6054
tencentBlock.ns5372 S3FIFO-0.0500-1.9000 cache size    91561, 56676063 req, miss ratio 0.5864, byte miss ratio 0.5864
tencentBlock.ns5372 S3FIFO-0.0500-1.9000 cache size   274685, 56676063 req, miss ratio 0.5323, byte miss ratio 0.5323
tencentBlock.ns5372 S3FIFO-0.0500-1.9000 cache size   915619, 56676063 req, miss ratio 0.3640, byte miss ratio 0.3640
tencentBlock.ns5372 S3FIFO-0.0500-1.9000 cache size  1831238, 56676063 req, miss ratio 0.2443, byte miss ratio 0.2443
tencentBlock.ns5372 S3FIFO-0.0500-1.9000 cache size  3662476, 56676063 req, miss ratio 0.1888, byte miss ratio 0.1888
tencentBlock.ns5372 S3FIFO-0.0500-1.9000 cache size  7324953, 56676063 req, miss ratio 0.1617, byte miss ratio 0.1617
tencentBlock.ns5372 S3FIFO-0.6500-1.9000 cache size     9156, 56676063 req, miss ratio 0.6160, byte miss ratio 0.6160
tencentBlock.ns5372 S3FIFO-0.6500-1.9000 cache size    27468, 56676063 req, miss ratio 0.6102, byte miss ratio 0.6102
tencentBlock.ns5372 S3FIFO-0.6500-1.9000 cache size    91561, 56676063 req, miss ratio 0.5970, byte miss ratio 0.5970
tencentBlock.ns5372 S3FIFO-0.6500-1.9000 cache size   274685, 56676063 req, miss ratio 0.5575, byte miss ratio 0.5575
tencentBlock.ns5372 S3FIFO-0.6500-1.9000 cache size   915619, 56676063 req, miss ratio 0.3903, byte miss ratio 0.3903
tencentBlock.ns5372 S3FIFO-0.6500-1.9000 cache size  1831238, 56676063 req, miss ratio 0.2551, byte miss ratio 0.2551
tencentBlock.ns5372 S3FIFO-0.6500-1.9000 cache size  3662476, 56676063 req, miss ratio 0.1735, byte miss ratio 0.1735
tencentBlock.ns5372 S3FIFO-0.6500-1.9000 cache size  7324953, 56676063 req, miss ratio 0.1617, byte miss ratio 0.1617
tencentBlock.ns5372 S3FIFO-0.0100-0.9000 cache size     9156, 56676063 req, miss ratio 0.6165, byte miss ratio 0.6165
tencentBlock.ns5372 S3FIFO-0.0100-0.9000 cache size    27468, 56676063 req, miss ratio 0.6063, byte miss ratio 0.6063
tencentBlock.ns5372 S3FIFO-0.0100-0.9000 cache size    91561, 56676063 req, miss ratio 0.5902, byte miss ratio 0.5902
tencentBlock.ns5372 S3FIFO-0.0100-0.9000 cache size   274685, 56676063 req, miss ratio 0.5301, byte miss ratio 0.5301
tencentBlock.ns5372 S3FIFO-0.0100-0.9000 cache size   915619, 56676063 req, miss ratio 0.3560, byte miss ratio 0.3560
tencentBlock.ns5372 S3FIFO-0.0100-0.9000 cache size  1831238, 56676063 req, miss ratio 0.2499, byte miss ratio 0.2499
tencentBlock.ns5372 S3FIFO-0.0100-0.9000 cache size  3662476, 56676063 req, miss ratio 0.1963, byte miss ratio 0.1963
tencentBlock.ns5372 S3FIFO-0.0100-0.9000 cache size  7324953, 56676063 req, miss ratio 0.1617, byte miss ratio 0.1617
tencentBlock.ns5372 S3FIFO-0.5500-1.9000 cache size     9156, 56676063 req, miss ratio 0.6155, byte miss ratio 0.6155
tencentBlock.ns5372 S3FIFO-0.5500-1.9000 cache size    27468, 56676063 req, miss ratio 0.6095, byte miss ratio 0.6095
tencentBlock.ns5372 S3FIFO-0.5500-1.9000 cache size    91561, 56676063 req, miss ratio 0.5938, byte miss ratio 0.5938
tencentBlock.ns5372 S3FIFO-0.5500-1.9000 cache size   274685, 56676063 req, miss ratio 0.5589, byte miss ratio 0.5589
tencentBlock.ns5372 S3FIFO-0.5500-1.9000 cache size   915619, 56676063 req, miss ratio 0.3849, byte miss ratio 0.3849
tencentBlock.ns5372 S3FIFO-0.5500-1.9000 cache size  1831238, 56676063 req, miss ratio 0.2463, byte miss ratio 0.2463
tencentBlock.ns5372 S3FIFO-0.5500-1.9000 cache size  3662476, 56676063 req, miss ratio 0.1721, byte miss ratio 0.1721
