cdn1_allcolo.ns1052 S3FIFO-0.1000-0.9000 cache size     1170, 2911059 req, miss ratio 0.5566, byte miss ratio 0.5566
cdn1_allcolo.ns1052 S3FIFO-0.1000-0.9000 cache size     3512, 2911059 req, miss ratio 0.4964, byte miss ratio 0.4964
cdn1_allcolo.ns1052 S3FIFO-0.1000-0.9000 cache size    11709, 2911059 req, miss ratio 0.4543, byte miss ratio 0.4543
cdn1_allcolo.ns1052 S3FIFO-0.1000-0.9000 cache size    35128, 2911059 req, miss ratio 0.4225, byte miss ratio 0.4225
cdn1_allcolo.ns1052 S3FIFO-0.1000-0.9000 cache size   117096, 2911059 req, miss ratio 0.4061, byte miss ratio 0.4061
cdn1_allcolo.ns1052 S3FIFO-0.1000-0.9000 cache size   234193, 2911059 req, miss ratio 0.4034, byte miss ratio 0.4034
cdn1_allcolo.ns1052 S3FIFO-0.1000-0.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.1000-0.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.1000-1.9000 cache size     1170, 2911059 req, miss ratio 0.5506, byte miss ratio 0.5506
cdn1_allcolo.ns1052 S3FIFO-0.1000-1.9000 cache size     3512, 2911059 req, miss ratio 0.4936, byte miss ratio 0.4936
cdn1_allcolo.ns1052 S3FIFO-0.1000-1.9000 cache size    11709, 2911059 req, miss ratio 0.4539, byte miss ratio 0.4539
cdn1_allcolo.ns1052 S3FIFO-0.1000-1.9000 cache size    35128, 2911059 req, miss ratio 0.4224, byte miss ratio 0.4224
cdn1_allcolo.ns1052 S3FIFO-0.1000-1.9000 cache size   117096, 2911059 req, miss ratio 0.4061, byte miss ratio 0.4061
cdn1_allcolo.ns1052 S3FIFO-0.1000-1.9000 cache size   234193, 2911059 req, miss ratio 0.4034, byte miss ratio 0.4034
cdn1_allcolo.ns1052 S3FIFO-0.1000-1.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.1000-1.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.8000-0.9000 cache size     1170, 2911059 req, miss ratio 0.5904, byte miss ratio 0.5904
cdn1_allcolo.ns1052 S3FIFO-0.8000-0.9000 cache size     3512, 2911059 req, miss ratio 0.4899, byte miss ratio 0.4899
cdn1_allcolo.ns1052 S3FIFO-0.8000-0.9000 cache size    11709, 2911059 req, miss ratio 0.4263, byte miss ratio 0.4263
cdn1_allcolo.ns1052 S3FIFO-0.8000-0.9000 cache size    35128, 2911059 req, miss ratio 0.4106, byte miss ratio 0.4106
cdn1_allcolo.ns1052 S3FIFO-0.8000-0.9000 cache size   117096, 2911059 req, miss ratio 0.4033, byte miss ratio 0.4033
cdn1_allcolo.ns1052 S3FIFO-0.8000-0.9000 cache size   234193, 2911059 req, miss ratio 0.4025, byte miss ratio 0.4025
cdn1_allcolo.ns1052 S3FIFO-0.8000-0.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.8000-0.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.6500-1.9000 cache size     1170, 2911059 req, miss ratio 0.5722, byte miss ratio 0.5722
cdn1_allcolo.ns1052 S3FIFO-0.6500-1.9000 cache size     3512, 2911059 req, miss ratio 0.4802, byte miss ratio 0.4802
cdn1_allcolo.ns1052 S3FIFO-0.6500-1.9000 cache size    11709, 2911059 req, miss ratio 0.4227, byte miss ratio 0.4227
cdn1_allcolo.ns1052 S3FIFO-0.6500-1.9000 cache size    35128, 2911059 req, miss ratio 0.4088, byte miss ratio 0.4088
cdn1_allcolo.ns1052 S3FIFO-0.6500-1.9000 cache size   117096, 2911059 req, miss ratio 0.4034, byte miss ratio 0.4034
cdn1_allcolo.ns1052 S3FIFO-0.6500-1.9000 cache size   234193, 2911059 req, miss ratio 0.4025, byte miss ratio 0.4025
cdn1_allcolo.ns1052 S3FIFO-0.6500-1.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.6500-1.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.9000-1.9000 cache size     1170, 2911059 req, miss ratio 0.6147, byte miss ratio 0.6147
cdn1_allcolo.ns1052 S3FIFO-0.9000-1.9000 cache size     3512, 2911059 req, miss ratio 0.5050, byte miss ratio 0.5050
cdn1_allcolo.ns1052 S3FIFO-0.9000-1.9000 cache size    11709, 2911059 req, miss ratio 0.4319, byte miss ratio 0.4319
cdn1_allcolo.ns1052 S3FIFO-0.9000-1.9000 cache size    35128, 2911059 req, miss ratio 0.4133, byte miss ratio 0.4133
cdn1_allcolo.ns1052 S3FIFO-0.9000-1.9000 cache size   117096, 2911059 req, miss ratio 0.4039, byte miss ratio 0.4039
cdn1_allcolo.ns1052 S3FIFO-0.9000-1.9000 cache size   234193, 2911059 req, miss ratio 0.4025, byte miss ratio 0.4025
cdn1_allcolo.ns1052 S3FIFO-0.9000-1.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.9000-1.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.0250-0.9000 cache size     1170, 2911059 req, miss ratio 0.5636, byte miss ratio 0.5636
cdn1_allcolo.ns1052 S3FIFO-0.0250-0.9000 cache size     3512, 2911059 req, miss ratio 0.5084, byte miss ratio 0.5084
cdn1_allcolo.ns1052 S3FIFO-0.0250-0.9000 cache size    11709, 2911059 req, miss ratio 0.4750, byte miss ratio 0.4750
cdn1_allcolo.ns1052 S3FIFO-0.0250-0.9000 cache size    35128, 2911059 req, miss ratio 0.4499, byte miss ratio 0.4499
cdn1_allcolo.ns1052 S3FIFO-0.0250-0.9000 cache size   117096, 2911059 req, miss ratio 0.4175, byte miss ratio 0.4175
cdn1_allcolo.ns1052 S3FIFO-0.0250-0.9000 cache size   234193, 2911059 req, miss ratio 0.4051, byte miss ratio 0.4051
cdn1_allcolo.ns1052 S3FIFO-0.0250-0.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.0250-0.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.2000-1.9000 cache size     1170, 2911059 req, miss ratio 0.5490, byte miss ratio 0.5490
cdn1_allcolo.ns1052 S3FIFO-0.2000-1.9000 cache size     3512, 2911059 req, miss ratio 0.4857, byte miss ratio 0.4857
cdn1_allcolo.ns1052 S3FIFO-0.2000-1.9000 cache size    11709, 2911059 req, miss ratio 0.4393, byte miss ratio 0.4393
cdn1_allcolo.ns1052 S3FIFO-0.2000-1.9000 cache size    35128, 2911059 req, miss ratio 0.4116, byte miss ratio 0.4116
cdn1_allcolo.ns1052 S3FIFO-0.2000-1.9000 cache size   117096, 2911059 req, miss ratio 0.4047, byte miss ratio 0.4047
cdn1_allcolo.ns1052 S3FIFO-0.2000-1.9000 cache size   234193, 2911059 req, miss ratio 0.4031, byte miss ratio 0.4031
cdn1_allcolo.ns1052 S3FIFO-0.2000-1.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.2000-1.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.8500-1.9000 cache size     1170, 2911059 req, miss ratio 0.6037, byte miss ratio 0.6037
cdn1_allcolo.ns1052 S3FIFO-0.8500-1.9000 cache size     3512, 2911059 req, miss ratio 0.4970, byte miss ratio 0.4970
cdn1_allcolo.ns1052 S3FIFO-0.8500-1.9000 cache size    11709, 2911059 req, miss ratio 0.4287, byte miss ratio 0.4287
cdn1_allcolo.ns1052 S3FIFO-0.8500-1.9000 cache size    35128, 2911059 req, miss ratio 0.4118, byte miss ratio 0.4118
cdn1_allcolo.ns1052 S3FIFO-0.8500-1.9000 cache size   117096, 2911059 req, miss ratio 0.4035, byte miss ratio 0.4035
cdn1_allcolo.ns1052 S3FIFO-0.8500-1.9000 cache size   234193, 2911059 req, miss ratio 0.4025, byte miss ratio 0.4025
cdn1_allcolo.ns1052 S3FIFO-0.8500-1.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.8500-1.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.2500-1.9000 cache size     1170, 2911059 req, miss ratio 0.5493, byte miss ratio 0.5493
cdn1_allcolo.ns1052 S3FIFO-0.2500-1.9000 cache size     3512, 2911059 req, miss ratio 0.4829, byte miss ratio 0.4829
cdn1_allcolo.ns1052 S3FIFO-0.2500-1.9000 cache size    11709, 2911059 req, miss ratio 0.4343, byte miss ratio 0.4343
cdn1_allcolo.ns1052 S3FIFO-0.2500-1.9000 cache size    35128, 2911059 req, miss ratio 0.4100, byte miss ratio 0.4100
cdn1_allcolo.ns1052 S3FIFO-0.2500-1.9000 cache size   117096, 2911059 req, miss ratio 0.4044, byte miss ratio 0.4044
cdn1_allcolo.ns1052 S3FIFO-0.2500-1.9000 cache size   234193, 2911059 req, miss ratio 0.4030, byte miss ratio 0.4030
cdn1_allcolo.ns1052 S3FIFO-0.2500-1.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.2500-1.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.0100-0.9000 cache size     1170, 2911059 req, miss ratio 0.5674, byte miss ratio 0.5674
cdn1_allcolo.ns1052 S3FIFO-0.0100-0.9000 cache size     3512, 2911059 req, miss ratio 0.5129, byte miss ratio 0.5129
cdn1_allcolo.ns1052 S3FIFO-0.0100-0.9000 cache size    11709, 2911059 req, miss ratio 0.4828, byte miss ratio 0.4828
cdn1_allcolo.ns1052 S3FIFO-0.0100-0.9000 cache size    35128, 2911059 req, miss ratio 0.4623, byte miss ratio 0.4623
cdn1_allcolo.ns1052 S3FIFO-0.0100-0.9000 cache size   117096, 2911059 req, miss ratio 0.4298, byte miss ratio 0.4298
cdn1_allcolo.ns1052 S3FIFO-0.0100-0.9000 cache size   234193, 2911059 req, miss ratio 0.4088, byte miss ratio 0.4088
cdn1_allcolo.ns1052 S3FIFO-0.0100-0.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.0100-0.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.0010-0.9000 cache size     1170, 2911059 req, miss ratio 0.5722, byte miss ratio 0.5722
cdn1_allcolo.ns1052 S3FIFO-0.0010-0.9000 cache size     3512, 2911059 req, miss ratio 0.5207, byte miss ratio 0.5207
cdn1_allcolo.ns1052 S3FIFO-0.0010-0.9000 cache size    11709, 2911059 req, miss ratio 0.4928, byte miss ratio 0.4928
cdn1_allcolo.ns1052 S3FIFO-0.0010-0.9000 cache size    35128, 2911059 req, miss ratio 0.4768, byte miss ratio 0.4768
cdn1_allcolo.ns1052 S3FIFO-0.0010-0.9000 cache size   117096, 2911059 req, miss ratio 0.4472, byte miss ratio 0.4472
cdn1_allcolo.ns1052 S3FIFO-0.0010-0.9000 cache size   234193, 2911059 req, miss ratio 0.4154, byte miss ratio 0.4154
cdn1_allcolo.ns1052 S3FIFO-0.0010-0.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.0010-0.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.8500-0.9000 cache size     1170, 2911059 req, miss ratio 0.6002, byte miss ratio 0.6002
cdn1_allcolo.ns1052 S3FIFO-0.8500-0.9000 cache size     3512, 2911059 req, miss ratio 0.4961, byte miss ratio 0.4961
cdn1_allcolo.ns1052 S3FIFO-0.8500-0.9000 cache size    11709, 2911059 req, miss ratio 0.4285, byte miss ratio 0.4285
cdn1_allcolo.ns1052 S3FIFO-0.8500-0.9000 cache size    35128, 2911059 req, miss ratio 0.4117, byte miss ratio 0.4117
cdn1_allcolo.ns1052 S3FIFO-0.8500-0.9000 cache size   117096, 2911059 req, miss ratio 0.4035, byte miss ratio 0.4035
cdn1_allcolo.ns1052 S3FIFO-0.8500-0.9000 cache size   234193, 2911059 req, miss ratio 0.4025, byte miss ratio 0.4025
cdn1_allcolo.ns1052 S3FIFO-0.8500-0.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.8500-0.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.0050-0.9000 cache size     1170, 2911059 req, miss ratio 0.5698, byte miss ratio 0.5698
cdn1_allcolo.ns1052 S3FIFO-0.0050-0.9000 cache size     3512, 2911059 req, miss ratio 0.5158, byte miss ratio 0.5158
cdn1_allcolo.ns1052 S3FIFO-0.0050-0.9000 cache size    11709, 2911059 req, miss ratio 0.4867, byte miss ratio 0.4867
cdn1_allcolo.ns1052 S3FIFO-0.0050-0.9000 cache size    35128, 2911059 req, miss ratio 0.4685, byte miss ratio 0.4685
cdn1_allcolo.ns1052 S3FIFO-0.0050-0.9000 cache size   117096, 2911059 req, miss ratio 0.4372, byte miss ratio 0.4372
cdn1_allcolo.ns1052 S3FIFO-0.0050-0.9000 cache size   234193, 2911059 req, miss ratio 0.4115, byte miss ratio 0.4115
cdn1_allcolo.ns1052 S3FIFO-0.0050-0.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.0050-0.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.1500-0.9000 cache size     1170, 2911059 req, miss ratio 0.5544, byte miss ratio 0.5544
cdn1_allcolo.ns1052 S3FIFO-0.1500-0.9000 cache size     3512, 2911059 req, miss ratio 0.4913, byte miss ratio 0.4913
cdn1_allcolo.ns1052 S3FIFO-0.1500-0.9000 cache size    11709, 2911059 req, miss ratio 0.4458, byte miss ratio 0.4458
cdn1_allcolo.ns1052 S3FIFO-0.1500-0.9000 cache size    35128, 2911059 req, miss ratio 0.4151, byte miss ratio 0.4151
cdn1_allcolo.ns1052 S3FIFO-0.1500-0.9000 cache size   117096, 2911059 req, miss ratio 0.4052, byte miss ratio 0.4052
cdn1_allcolo.ns1052 S3FIFO-0.1500-0.9000 cache size   234193, 2911059 req, miss ratio 0.4033, byte miss ratio 0.4033
cdn1_allcolo.ns1052 S3FIFO-0.1500-0.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.1500-0.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.4500-1.9000 cache size     1170, 2911059 req, miss ratio 0.5560, byte miss ratio 0.5560
cdn1_allcolo.ns1052 S3FIFO-0.4500-1.9000 cache size     3512, 2911059 req, miss ratio 0.4775, byte miss ratio 0.4775
cdn1_allcolo.ns1052 S3FIFO-0.4500-1.9000 cache size    11709, 2911059 req, miss ratio 0.4238, byte miss ratio 0.4238
cdn1_allcolo.ns1052 S3FIFO-0.4500-1.9000 cache size    35128, 2911059 req, miss ratio 0.4083, byte miss ratio 0.4083
cdn1_allcolo.ns1052 S3FIFO-0.4500-1.9000 cache size   117096, 2911059 req, miss ratio 0.4038, byte miss ratio 0.4038
cdn1_allcolo.ns1052 S3FIFO-0.4500-1.9000 cache size   234193, 2911059 req, miss ratio 0.4027, byte miss ratio 0.4027
cdn1_allcolo.ns1052 S3FIFO-0.4500-1.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.4500-1.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.5500-0.9000 cache size     1170, 2911059 req, miss ratio 0.5609, byte miss ratio 0.5609
cdn1_allcolo.ns1052 S3FIFO-0.5500-0.9000 cache size     3512, 2911059 req, miss ratio 0.4774, byte miss ratio 0.4774
cdn1_allcolo.ns1052 S3FIFO-0.5500-0.9000 cache size    11709, 2911059 req, miss ratio 0.4225, byte miss ratio 0.4225
cdn1_allcolo.ns1052 S3FIFO-0.5500-0.9000 cache size    35128, 2911059 req, miss ratio 0.4084, byte miss ratio 0.4084
cdn1_allcolo.ns1052 S3FIFO-0.5500-0.9000 cache size   117096, 2911059 req, miss ratio 0.4036, byte miss ratio 0.4036
cdn1_allcolo.ns1052 S3FIFO-0.5500-0.9000 cache size   234193, 2911059 req, miss ratio 0.4026, byte miss ratio 0.4026
cdn1_allcolo.ns1052 S3FIFO-0.5500-0.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.5500-0.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.0500-1.9000 cache size     1170, 2911059 req, miss ratio 0.5530, byte miss ratio 0.5530
cdn1_allcolo.ns1052 S3FIFO-0.0500-1.9000 cache size     3512, 2911059 req, miss ratio 0.4999, byte miss ratio 0.4999
cdn1_allcolo.ns1052 S3FIFO-0.0500-1.9000 cache size    11709, 2911059 req, miss ratio 0.4658, byte miss ratio 0.4658
cdn1_allcolo.ns1052 S3FIFO-0.0500-1.9000 cache size    35128, 2911059 req, miss ratio 0.4369, byte miss ratio 0.4369
cdn1_allcolo.ns1052 S3FIFO-0.0500-1.9000 cache size   117096, 2911059 req, miss ratio 0.4093, byte miss ratio 0.4093
cdn1_allcolo.ns1052 S3FIFO-0.0500-1.9000 cache size   234193, 2911059 req, miss ratio 0.4039, byte miss ratio 0.4039
cdn1_allcolo.ns1052 S3FIFO-0.0500-1.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.0500-1.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.8000-1.9000 cache size     1170, 2911059 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn1_allcolo.ns1052 S3FIFO-0.8000-1.9000 cache size     3512, 2911059 req, miss ratio 0.4908, byte miss ratio 0.4908
cdn1_allcolo.ns1052 S3FIFO-0.8000-1.9000 cache size    11709, 2911059 req, miss ratio 0.4264, byte miss ratio 0.4264
cdn1_allcolo.ns1052 S3FIFO-0.8000-1.9000 cache size    35128, 2911059 req, miss ratio 0.4106, byte miss ratio 0.4106
cdn1_allcolo.ns1052 S3FIFO-0.8000-1.9000 cache size   117096, 2911059 req, miss ratio 0.4033, byte miss ratio 0.4033
cdn1_allcolo.ns1052 S3FIFO-0.8000-1.9000 cache size   234193, 2911059 req, miss ratio 0.4025, byte miss ratio 0.4025
cdn1_allcolo.ns1052 S3FIFO-0.8000-1.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.8000-1.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.5000-0.9000 cache size     1170, 2911059 req, miss ratio 0.5579, byte miss ratio 0.5579
cdn1_allcolo.ns1052 S3FIFO-0.5000-0.9000 cache size     3512, 2911059 req, miss ratio 0.4772, byte miss ratio 0.4772
cdn1_allcolo.ns1052 S3FIFO-0.5000-0.9000 cache size    11709, 2911059 req, miss ratio 0.4229, byte miss ratio 0.4229
cdn1_allcolo.ns1052 S3FIFO-0.5000-0.9000 cache size    35128, 2911059 req, miss ratio 0.4083, byte miss ratio 0.4083
cdn1_allcolo.ns1052 S3FIFO-0.5000-0.9000 cache size   117096, 2911059 req, miss ratio 0.4037, byte miss ratio 0.4037
cdn1_allcolo.ns1052 S3FIFO-0.5000-0.9000 cache size   234193, 2911059 req, miss ratio 0.4027, byte miss ratio 0.4027
cdn1_allcolo.ns1052 S3FIFO-0.5000-0.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_allcolo.ns1052 S3FIFO-0.5000-0.9000 cache size   936772, 2911059 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_allcolo.ns1052 S3FIFO-0.3000-1.9000 cache size     1170, 2911059 req, miss ratio 0.5502, byte miss ratio 0.5502
cdn1_allcolo.ns1052 S3FIFO-0.3000-1.9000 cache size     3512, 2911059 req, miss ratio 0.4808, byte miss ratio 0.4808
cdn1_allcolo.ns1052 S3FIFO-0.3000-1.9000 cache size    11709, 2911059 req, miss ratio 0.4305, byte miss ratio 0.4305
cdn1_allcolo.ns1052 S3FIFO-0.3000-1.9000 cache size    35128, 2911059 req, miss ratio 0.4092, byte miss ratio 0.4092
cdn1_allcolo.ns1052 S3FIFO-0.3000-1.9000 cache size   117096, 2911059 req, miss ratio 0.4042, byte miss ratio 0.4042
cdn1_allcolo.ns1052 S3FIFO-0.3000-1.9000 cache size   234193, 2911059 req, miss ratio 0.4029, byte miss ratio 0.4029
cdn1_allcolo.ns1052 S3FIFO-0.3000-1.9000 cache size   468386, 2911059 req, miss ratio 0.4023, byte miss ratio 0.4023
