result/meta_kvcache_traces_1.oracleGeneral.bin.zst MyClock cache size    16982, 335173084 req, miss ratio 0.2952, byte miss ratio 0.2952
result/meta_kvcache_traces_1.oracleGeneral.bin.zst MyClock cache size    50946, 335173084 req, miss ratio 0.2268, byte miss ratio 0.2268
result/meta_kvcache_traces_1.oracleGeneral.bin.zst MyClock cache size   169821, 335173084 req, miss ratio 0.1621, byte miss ratio 0.1621
result/meta_kvcache_traces_1.oracleGeneral.bin.zst MyClock cache size   509463, 335173084 req, miss ratio 0.1130, byte miss ratio 0.1130
result/meta_kvcache_traces_1.oracleGeneral.bin.zst MyClock cache size  1698213, 335173084 req, miss ratio 0.0772, byte miss ratio 0.0772
result/meta_kvcache_traces_1.oracleGeneral.bin.zst MyClock cache size  3396426, 335173084 req, miss ratio 0.0645, byte miss ratio 0.0645
result/meta_kvcache_traces_1.oracleGeneral.bin.zst MyClock cache size  6792852, 335173084 req, miss ratio 0.0557, byte miss ratio 0.0557
result/meta_kvcache_traces_1.oracleGeneral.bin.zst MyClock cache size 13585704, 335173084 req, miss ratio 0.0510, byte miss ratio 0.0510
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    16982, 335173084 req, miss ratio 0.2973, byte miss ratio 0.2973
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    50946, 335173084 req, miss ratio 0.2293, byte miss ratio 0.2293
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   169821, 335173084 req, miss ratio 0.1643, byte miss ratio 0.1643
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   509463, 335173084 req, miss ratio 0.1141, byte miss ratio 0.1141
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  1698213, 335173084 req, miss ratio 0.0778, byte miss ratio 0.0778
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  3396426, 335173084 req, miss ratio 0.0645, byte miss ratio 0.0645
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  6792852, 335173084 req, miss ratio 0.0554, byte miss ratio 0.0554
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size 13585704, 335173084 req, miss ratio 0.0510, byte miss ratio 0.0510
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRU cache size    16982, 335173084 req, miss ratio 0.3254, byte miss ratio 0.3254
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRU cache size    50946, 335173084 req, miss ratio 0.2519, byte miss ratio 0.2519
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRU cache size   169821, 335173084 req, miss ratio 0.1733, byte miss ratio 0.1733
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRU cache size   509463, 335173084 req, miss ratio 0.1211, byte miss ratio 0.1211
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRU cache size  1698213, 335173084 req, miss ratio 0.0812, byte miss ratio 0.0812
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRU cache size  3396426, 335173084 req, miss ratio 0.0662, byte miss ratio 0.0662
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRU cache size  6792852, 335173084 req, miss ratio 0.0560, byte miss ratio 0.0560
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRU cache size 13585704, 335173084 req, miss ratio 0.0510, byte miss ratio 0.0510
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LeCaR cache size    16982, 335173084 req, miss ratio 0.3175, byte miss ratio 0.3175
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LeCaR cache size    50946, 335173084 req, miss ratio 0.2432, byte miss ratio 0.2432
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LeCaR cache size   169821, 335173084 req, miss ratio 0.1694, byte miss ratio 0.1694
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LeCaR cache size   509463, 335173084 req, miss ratio 0.1165, byte miss ratio 0.1165
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LeCaR cache size  1698213, 335173084 req, miss ratio 0.0784, byte miss ratio 0.0784
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LeCaR cache size  3396426, 335173084 req, miss ratio 0.0647, byte miss ratio 0.0647
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LeCaR cache size  6792852, 335173084 req, miss ratio 0.0553, byte miss ratio 0.0553
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LeCaR cache size 13585704, 335173084 req, miss ratio 0.0510, byte miss ratio 0.0510
result/meta_kvcache_traces_1.oracleGeneral.bin.zst TwoQ cache size    16982, 335173084 req, miss ratio 0.2869, byte miss ratio 0.2869
result/meta_kvcache_traces_1.oracleGeneral.bin.zst TwoQ cache size    50946, 335173084 req, miss ratio 0.2192, byte miss ratio 0.2192
result/meta_kvcache_traces_1.oracleGeneral.bin.zst TwoQ cache size   169821, 335173084 req, miss ratio 0.1568, byte miss ratio 0.1568
result/meta_kvcache_traces_1.oracleGeneral.bin.zst TwoQ cache size   509463, 335173084 req, miss ratio 0.1111, byte miss ratio 0.1111
result/meta_kvcache_traces_1.oracleGeneral.bin.zst TwoQ cache size  1698213, 335173084 req, miss ratio 0.0778, byte miss ratio 0.0778
result/meta_kvcache_traces_1.oracleGeneral.bin.zst TwoQ cache size  3396426, 335173084 req, miss ratio 0.0667, byte miss ratio 0.0667
result/meta_kvcache_traces_1.oracleGeneral.bin.zst TwoQ cache size  6792852, 335173084 req, miss ratio 0.0599, byte miss ratio 0.0599
result/meta_kvcache_traces_1.oracleGeneral.bin.zst TwoQ cache size 13585704, 335173084 req, miss ratio 0.0531, byte miss ratio 0.0531
result/meta_kvcache_traces_1.oracleGeneral.bin.zst B-LRU cache size    16982, 335173084 req, miss ratio 0.3305, byte miss ratio 0.3305
result/meta_kvcache_traces_1.oracleGeneral.bin.zst B-LRU cache size    50946, 335173084 req, miss ratio 0.2555, byte miss ratio 0.2555
result/meta_kvcache_traces_1.oracleGeneral.bin.zst B-LRU cache size   169821, 335173084 req, miss ratio 0.1777, byte miss ratio 0.1777
result/meta_kvcache_traces_1.oracleGeneral.bin.zst B-LRU cache size   509463, 335173084 req, miss ratio 0.1273, byte miss ratio 0.1273
result/meta_kvcache_traces_1.oracleGeneral.bin.zst B-LRU cache size  1698213, 335173084 req, miss ratio 0.0920, byte miss ratio 0.0920
result/meta_kvcache_traces_1.oracleGeneral.bin.zst B-LRU cache size  3396426, 335173084 req, miss ratio 0.0807, byte miss ratio 0.0807
result/meta_kvcache_traces_1.oracleGeneral.bin.zst B-LRU cache size  6792852, 335173084 req, miss ratio 0.0761, byte miss ratio 0.0761
result/meta_kvcache_traces_1.oracleGeneral.bin.zst B-LRU cache size 13585704, 335173084 req, miss ratio 0.0759, byte miss ratio 0.0759
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-clock2 cache size    16982, 335173084 req, miss ratio 0.2902, byte miss ratio 0.2902
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-clock2 cache size    50946, 335173084 req, miss ratio 0.2214, byte miss ratio 0.2214
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-clock2 cache size   169821, 335173084 req, miss ratio 0.1565, byte miss ratio 0.1565
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-clock2 cache size   509463, 335173084 req, miss ratio 0.1100, byte miss ratio 0.1100
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-clock2 cache size  1698213, 335173084 req, miss ratio 0.0753, byte miss ratio 0.0753
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-clock2 cache size  3396426, 335173084 req, miss ratio 0.0627, byte miss ratio 0.0627
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-clock2 cache size  6792852, 335173084 req, miss ratio 0.0548, byte miss ratio 0.0548
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-clock2 cache size 13585704, 335173084 req, miss ratio 0.0510, byte miss ratio 0.0510
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-arc cache size    16982, 335173084 req, miss ratio 0.2820, byte miss ratio 0.2820
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-arc cache size    50946, 335173084 req, miss ratio 0.2169, byte miss ratio 0.2169
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-arc cache size   169821, 335173084 req, miss ratio 0.1560, byte miss ratio 0.1560
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-arc cache size   509463, 335173084 req, miss ratio 0.1096, byte miss ratio 0.1096
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-arc cache size  1698213, 335173084 req, miss ratio 0.0751, byte miss ratio 0.0751
