result/talon_cache.1.oracleGeneral.sample10.zst Cacheus cache size  4979526, 20972856 req, miss ratio 0.3029, byte miss ratio 0.3029
result/talon_cache.1.oracleGeneral.sample10.zst ARC cache size     6224, 20972856 req, miss ratio 0.5061, byte miss ratio 0.5061
result/talon_cache.1.oracleGeneral.sample10.zst ARC cache size    18673, 20972856 req, miss ratio 0.4718, byte miss ratio 0.4718
result/talon_cache.1.oracleGeneral.sample10.zst ARC cache size    62244, 20972856 req, miss ratio 0.4369, byte miss ratio 0.4369
result/talon_cache.1.oracleGeneral.sample10.zst ARC cache size   186732, 20972856 req, miss ratio 0.4113, byte miss ratio 0.4113
result/talon_cache.1.oracleGeneral.sample10.zst ARC cache size   622440, 20972856 req, miss ratio 0.3788, byte miss ratio 0.3788
result/talon_cache.1.oracleGeneral.sample10.zst ARC cache size  1244881, 20972856 req, miss ratio 0.3546, byte miss ratio 0.3546
result/talon_cache.1.oracleGeneral.sample10.zst ARC cache size  2489763, 20972856 req, miss ratio 0.3276, byte miss ratio 0.3276
result/talon_cache.1.oracleGeneral.sample10.zst ARC cache size  4979526, 20972856 req, miss ratio 0.3007, byte miss ratio 0.3007
result/talon_cache.1.oracleGeneral.sample10.zst clock2 cache size     6224, 20972856 req, miss ratio 0.5079, byte miss ratio 0.5079
result/talon_cache.1.oracleGeneral.sample10.zst clock2 cache size    18673, 20972856 req, miss ratio 0.4727, byte miss ratio 0.4727
result/talon_cache.1.oracleGeneral.sample10.zst clock2 cache size    62244, 20972856 req, miss ratio 0.4379, byte miss ratio 0.4379
result/talon_cache.1.oracleGeneral.sample10.zst clock2 cache size   186732, 20972856 req, miss ratio 0.4087, byte miss ratio 0.4087
result/talon_cache.1.oracleGeneral.sample10.zst clock2 cache size   622440, 20972856 req, miss ratio 0.3788, byte miss ratio 0.3788
result/talon_cache.1.oracleGeneral.sample10.zst clock2 cache size  1244881, 20972856 req, miss ratio 0.3575, byte miss ratio 0.3575
result/talon_cache.1.oracleGeneral.sample10.zst clock2 cache size  2489763, 20972856 req, miss ratio 0.3298, byte miss ratio 0.3298
result/talon_cache.1.oracleGeneral.sample10.zst clock2 cache size  4979526, 20972856 req, miss ratio 0.3007, byte miss ratio 0.3007
result/talon_cache.1.oracleGeneral.sample10.zst LHD cache size     6224, 20972856 req, miss ratio 0.5063, byte miss ratio 0.5063
result/talon_cache.1.oracleGeneral.sample10.zst LHD cache size    18673, 20972856 req, miss ratio 0.4690, byte miss ratio 0.4690
result/talon_cache.1.oracleGeneral.sample10.zst LHD cache size    62244, 20972856 req, miss ratio 0.4328, byte miss ratio 0.4328
result/talon_cache.1.oracleGeneral.sample10.zst LHD cache size   186732, 20972856 req, miss ratio 0.4112, byte miss ratio 0.4112
result/talon_cache.1.oracleGeneral.sample10.zst LHD cache size   622440, 20972856 req, miss ratio 0.3834, byte miss ratio 0.3834
result/talon_cache.1.oracleGeneral.sample10.zst LHD cache size  1244881, 20972856 req, miss ratio 0.3622, byte miss ratio 0.3622
result/talon_cache.1.oracleGeneral.sample10.zst LHD cache size  2489763, 20972856 req, miss ratio 0.3292, byte miss ratio 0.3292
result/talon_cache.1.oracleGeneral.sample10.zst LHD cache size  4979526, 20972856 req, miss ratio 0.3000, byte miss ratio 0.3000
result/talon_cache.1.oracleGeneral.sample10.zst LIRS cache size     6224, 20972856 req, miss ratio 0.5080, byte miss ratio 0.5080
result/talon_cache.1.oracleGeneral.sample10.zst LIRS cache size    18673, 20972856 req, miss ratio 0.4728, byte miss ratio 0.4728
result/talon_cache.1.oracleGeneral.sample10.zst LIRS cache size    62244, 20972856 req, miss ratio 0.4395, byte miss ratio 0.4395
result/talon_cache.1.oracleGeneral.sample10.zst LIRS cache size   186732, 20972856 req, miss ratio 0.4141, byte miss ratio 0.4141
result/talon_cache.1.oracleGeneral.sample10.zst LIRS cache size   622440, 20972856 req, miss ratio 0.3811, byte miss ratio 0.3811
result/talon_cache.1.oracleGeneral.sample10.zst LIRS cache size  1244881, 20972856 req, miss ratio 0.3573, byte miss ratio 0.3573
result/talon_cache.1.oracleGeneral.sample10.zst LIRS cache size  2489763, 20972856 req, miss ratio 0.3279, byte miss ratio 0.3279
result/talon_cache.1.oracleGeneral.sample10.zst LIRS cache size  4979526, 20972856 req, miss ratio 0.2997, byte miss ratio 0.2997
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     6224, 20972856 req, miss ratio 0.4955, byte miss ratio 0.4955
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    18673, 20972856 req, miss ratio 0.4625, byte miss ratio 0.4625
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    62244, 20972856 req, miss ratio 0.4313, byte miss ratio 0.4313
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   186732, 20972856 req, miss ratio 0.4031, byte miss ratio 0.4031
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   622440, 20972856 req, miss ratio 0.3722, byte miss ratio 0.3722
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1244881, 20972856 req, miss ratio 0.3526, byte miss ratio 0.3526
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  2489763, 20972856 req, miss ratio 0.3283, byte miss ratio 0.3283
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  4979526, 20972856 req, miss ratio 0.3007, byte miss ratio 0.3007
result/talon_cache.1.oracleGeneral.sample10.zst LRB cache size     6224, 20972856 req, miss ratio 0.4797, byte miss ratio 0.4797
result/talon_cache.1.oracleGeneral.sample10.zst LRB cache size    18673, 20972856 req, miss ratio 0.4493, byte miss ratio 0.4493
result/talon_cache.1.oracleGeneral.sample10.zst LRB cache size    62244, 20972856 req, miss ratio 0.4258, byte miss ratio 0.4258
result/talon_cache.1.oracleGeneral.sample10.zst LRB cache size   186732, 20972856 req, miss ratio 0.4055, byte miss ratio 0.4055
result/talon_cache.1.oracleGeneral.sample10.zst LRB cache size   622440, 20972856 req, miss ratio 0.3729, byte miss ratio 0.3729
result/talon_cache.1.oracleGeneral.sample10.zst LRB cache size  1244881, 20972856 req, miss ratio 0.3490, byte miss ratio 0.3490
result/talon_cache.1.oracleGeneral.sample10.zst LRB cache size  2489763, 20972856 req, miss ratio 0.3233, byte miss ratio 0.3233
result/talon_cache.1.oracleGeneral.sample10.zst LRB cache size  4979526, 20972856 req, miss ratio 0.3001, byte miss ratio 0.3001
result/talon_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     6224, 20972856 req, miss ratio 0.4967, byte miss ratio 0.4967
result/talon_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    18673, 20972856 req, miss ratio 0.4630, byte miss ratio 0.4630
