result/tencent_block.oracleGeneral.sample10.zst LRU cache size   165173, 3369550421 req, miss ratio 0.5201, byte miss ratio 0.5201
result/tencent_block.oracleGeneral.sample10.zst LRU cache size   550577, 3369550421 req, miss ratio 0.3543, byte miss ratio 0.3543
result/tencent_block.oracleGeneral.sample10.zst LRU cache size  1651731, 3369550421 req, miss ratio 0.2031, byte miss ratio 0.2031
result/tencent_block.oracleGeneral.sample10.zst LRU cache size  5505772, 3369550421 req, miss ratio 0.0659, byte miss ratio 0.0659
result/tencent_block.oracleGeneral.sample10.zst LRU cache size 11011545, 3369550421 req, miss ratio 0.0373, byte miss ratio 0.0373
result/tencent_block.oracleGeneral.sample10.zst LRU cache size 22023090, 3369550421 req, miss ratio 0.0219, byte miss ratio 0.0219
result/tencent_block.oracleGeneral.sample10.zst LRU cache size 44046180, 3369550421 req, miss ratio 0.0167, byte miss ratio 0.0167
result/tencent_block.oracleGeneral.sample10.zst Clock cache size    55057, 3369550421 req, miss ratio 0.6800, byte miss ratio 0.6800
result/tencent_block.oracleGeneral.sample10.zst Clock cache size   165173, 3369550421 req, miss ratio 0.5141, byte miss ratio 0.5141
result/tencent_block.oracleGeneral.sample10.zst Clock cache size   550577, 3369550421 req, miss ratio 0.3530, byte miss ratio 0.3530
result/tencent_block.oracleGeneral.sample10.zst Clock cache size  1651731, 3369550421 req, miss ratio 0.1998, byte miss ratio 0.1998
result/tencent_block.oracleGeneral.sample10.zst Clock cache size  5505772, 3369550421 req, miss ratio 0.0644, byte miss ratio 0.0644
result/tencent_block.oracleGeneral.sample10.zst Clock cache size 11011545, 3369550421 req, miss ratio 0.0363, byte miss ratio 0.0363
result/tencent_block.oracleGeneral.sample10.zst Clock cache size 22023090, 3369550421 req, miss ratio 0.0215, byte miss ratio 0.0215
result/tencent_block.oracleGeneral.sample10.zst Clock cache size 44046180, 3369550421 req, miss ratio 0.0167, byte miss ratio 0.0167
result/tencent_block.oracleGeneral.sample10.zst Cacheus cache size    55057, 3369550421 req, miss ratio 0.6187, byte miss ratio 0.6187
result/tencent_block.oracleGeneral.sample10.zst Cacheus cache size   165173, 3369550421 req, miss ratio 0.4740, byte miss ratio 0.4740
result/tencent_block.oracleGeneral.sample10.zst Cacheus cache size   550577, 3369550421 req, miss ratio 0.3328, byte miss ratio 0.3328
result/tencent_block.oracleGeneral.sample10.zst Cacheus cache size  1651731, 3369550421 req, miss ratio 0.1920, byte miss ratio 0.1920
result/tencent_block.oracleGeneral.sample10.zst Cacheus cache size  5505772, 3369550421 req, miss ratio 0.0629, byte miss ratio 0.0629
result/tencent_block.oracleGeneral.sample10.zst Cacheus cache size 11011545, 3369550421 req, miss ratio 0.0358, byte miss ratio 0.0358
result/tencent_block.oracleGeneral.sample10.zst Cacheus cache size 22023090, 3369550421 req, miss ratio 0.0213, byte miss ratio 0.0213
result/tencent_block.oracleGeneral.sample10.zst Cacheus cache size 44046180, 3369550421 req, miss ratio 0.0167, byte miss ratio 0.0167
result/tencent_block.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    55057, 3369550421 req, miss ratio 0.6007, byte miss ratio 0.6007
result/tencent_block.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   165173, 3369550421 req, miss ratio 0.4684, byte miss ratio 0.4684
result/tencent_block.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   550577, 3369550421 req, miss ratio 0.3139, byte miss ratio 0.3139
result/tencent_block.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1651731, 3369550421 req, miss ratio 0.1685, byte miss ratio 0.1685
result/tencent_block.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  5505772, 3369550421 req, miss ratio 0.0562, byte miss ratio 0.0562
