result/tencentBlock.ns12248.oracleGeneral.zst Clock cache size       68, 2458306 req, miss ratio 0.3512, byte miss ratio 0.3512
result/tencentBlock.ns12248.oracleGeneral.zst Clock cache size      204, 2458306 req, miss ratio 0.2243, byte miss ratio 0.2243
result/tencentBlock.ns12248.oracleGeneral.zst Clock cache size      681, 2458306 req, miss ratio 0.1727, byte miss ratio 0.1727
result/tencentBlock.ns12248.oracleGeneral.zst Clock cache size     2044, 2458306 req, miss ratio 0.1398, byte miss ratio 0.1398
result/tencentBlock.ns12248.oracleGeneral.zst Clock cache size     6815, 2458306 req, miss ratio 0.1103, byte miss ratio 0.1103
result/tencentBlock.ns12248.oracleGeneral.zst Clock cache size    13630, 2458306 req, miss ratio 0.0928, byte miss ratio 0.0928
result/tencentBlock.ns12248.oracleGeneral.zst Clock cache size    27261, 2458306 req, miss ratio 0.0595, byte miss ratio 0.0595
result/tencentBlock.ns12248.oracleGeneral.zst Clock cache size    54523, 2458306 req, miss ratio 0.0290, byte miss ratio 0.0290
result/tencentBlock.ns12248.oracleGeneral.zst LRU cache size       68, 2458306 req, miss ratio 0.3559, byte miss ratio 0.3559
result/tencentBlock.ns12248.oracleGeneral.zst LRU cache size      204, 2458306 req, miss ratio 0.2303, byte miss ratio 0.2303
result/tencentBlock.ns12248.oracleGeneral.zst LRU cache size      681, 2458306 req, miss ratio 0.1747, byte miss ratio 0.1747
result/tencentBlock.ns12248.oracleGeneral.zst LRU cache size     2044, 2458306 req, miss ratio 0.1409, byte miss ratio 0.1409
result/tencentBlock.ns12248.oracleGeneral.zst LRU cache size     6815, 2458306 req, miss ratio 0.1112, byte miss ratio 0.1112
result/tencentBlock.ns12248.oracleGeneral.zst LRU cache size    13630, 2458306 req, miss ratio 0.0907, byte miss ratio 0.0907
result/tencentBlock.ns12248.oracleGeneral.zst LRU cache size    27261, 2458306 req, miss ratio 0.0579, byte miss ratio 0.0579
result/tencentBlock.ns12248.oracleGeneral.zst LRU cache size    54523, 2458306 req, miss ratio 0.0289, byte miss ratio 0.0289
result/tencentBlock.ns12248.oracleGeneral.zst clock2 cache size       68, 2458306 req, miss ratio 0.3575, byte miss ratio 0.3575
result/tencentBlock.ns12248.oracleGeneral.zst clock2 cache size      204, 2458306 req, miss ratio 0.2198, byte miss ratio 0.2198
result/tencentBlock.ns12248.oracleGeneral.zst clock2 cache size      681, 2458306 req, miss ratio 0.1707, byte miss ratio 0.1707
result/tencentBlock.ns12248.oracleGeneral.zst clock2 cache size     2044, 2458306 req, miss ratio 0.1411, byte miss ratio 0.1411
result/tencentBlock.ns12248.oracleGeneral.zst clock2 cache size     6815, 2458306 req, miss ratio 0.1098, byte miss ratio 0.1098
result/tencentBlock.ns12248.oracleGeneral.zst clock2 cache size    13630, 2458306 req, miss ratio 0.0948, byte miss ratio 0.0948
result/tencentBlock.ns12248.oracleGeneral.zst clock2 cache size    27261, 2458306 req, miss ratio 0.0599, byte miss ratio 0.0599
result/tencentBlock.ns12248.oracleGeneral.zst clock2 cache size    54523, 2458306 req, miss ratio 0.0289, byte miss ratio 0.0289
result/tencentBlock.ns12248.oracleGeneral.zst LeCaR cache size       68, 2458306 req, miss ratio 0.3325, byte miss ratio 0.3325
result/tencentBlock.ns12248.oracleGeneral.zst LeCaR cache size      204, 2458306 req, miss ratio 0.2114, byte miss ratio 0.2114
result/tencentBlock.ns12248.oracleGeneral.zst LeCaR cache size      681, 2458306 req, miss ratio 0.1697, byte miss ratio 0.1697
result/tencentBlock.ns12248.oracleGeneral.zst LeCaR cache size     2044, 2458306 req, miss ratio 0.1382, byte miss ratio 0.1382
result/tencentBlock.ns12248.oracleGeneral.zst LeCaR cache size     6815, 2458306 req, miss ratio 0.1089, byte miss ratio 0.1089
result/tencentBlock.ns12248.oracleGeneral.zst LeCaR cache size    13630, 2458306 req, miss ratio 0.0861, byte miss ratio 0.0861
result/tencentBlock.ns12248.oracleGeneral.zst LeCaR cache size    27261, 2458306 req, miss ratio 0.0562, byte miss ratio 0.0562
result/tencentBlock.ns12248.oracleGeneral.zst LeCaR cache size    54523, 2458306 req, miss ratio 0.0288, byte miss ratio 0.0288
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d-1 cache size       68, 2458306 req, miss ratio 0.2979, byte miss ratio 0.2979
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d-1 cache size      204, 2458306 req, miss ratio 0.2079, byte miss ratio 0.2079
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d-1 cache size      681, 2458306 req, miss ratio 0.1531, byte miss ratio 0.1531
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d-1 cache size     2044, 2458306 req, miss ratio 0.1260, byte miss ratio 0.1260
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d-1 cache size     6815, 2458306 req, miss ratio 0.0998, byte miss ratio 0.0998
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d-1 cache size    13630, 2458306 req, miss ratio 0.0806, byte miss ratio 0.0806
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d-1 cache size    27261, 2458306 req, miss ratio 0.0541, byte miss ratio 0.0541
