result/tencentBlock.ns15815.oracleGeneral.zst ARC cache size      495, 6605975 req, miss ratio 0.3979, byte miss ratio 0.3979
result/tencentBlock.ns15815.oracleGeneral.zst ARC cache size     1485, 6605975 req, miss ratio 0.3038, byte miss ratio 0.3038
result/tencentBlock.ns15815.oracleGeneral.zst ARC cache size     4952, 6605975 req, miss ratio 0.2462, byte miss ratio 0.2462
result/tencentBlock.ns15815.oracleGeneral.zst ARC cache size    14857, 6605975 req, miss ratio 0.2270, byte miss ratio 0.2270
result/tencentBlock.ns15815.oracleGeneral.zst ARC cache size    49523, 6605975 req, miss ratio 0.1852, byte miss ratio 0.1852
result/tencentBlock.ns15815.oracleGeneral.zst ARC cache size    99047, 6605975 req, miss ratio 0.1395, byte miss ratio 0.1395
result/tencentBlock.ns15815.oracleGeneral.zst ARC cache size   198095, 6605975 req, miss ratio 0.0837, byte miss ratio 0.0837
result/tencentBlock.ns15815.oracleGeneral.zst ARC cache size   396191, 6605975 req, miss ratio 0.0753, byte miss ratio 0.0753
result/tencentBlock.ns15815.oracleGeneral.zst S3FIFO-1 cache size      495, 6605975 req, miss ratio 0.4063, byte miss ratio 0.4063
result/tencentBlock.ns15815.oracleGeneral.zst S3FIFO-1 cache size     1485, 6605975 req, miss ratio 0.2915, byte miss ratio 0.2915
result/tencentBlock.ns15815.oracleGeneral.zst S3FIFO-1 cache size     4952, 6605975 req, miss ratio 0.2465, byte miss ratio 0.2465
result/tencentBlock.ns15815.oracleGeneral.zst S3FIFO-1 cache size    14857, 6605975 req, miss ratio 0.2249, byte miss ratio 0.2249
result/tencentBlock.ns15815.oracleGeneral.zst S3FIFO-1 cache size    49523, 6605975 req, miss ratio 0.1822, byte miss ratio 0.1822
result/tencentBlock.ns15815.oracleGeneral.zst S3FIFO-1 cache size    99047, 6605975 req, miss ratio 0.1397, byte miss ratio 0.1397
result/tencentBlock.ns15815.oracleGeneral.zst S3FIFO-1 cache size   198095, 6605975 req, miss ratio 0.0851, byte miss ratio 0.0851
result/tencentBlock.ns15815.oracleGeneral.zst S3FIFO-1 cache size   396191, 6605975 req, miss ratio 0.0753, byte miss ratio 0.0753
result/tencentBlock.ns15815.oracleGeneral.zst LIRS cache size      495, 6605975 req, miss ratio 0.4204, byte miss ratio 0.4204
result/tencentBlock.ns15815.oracleGeneral.zst LIRS cache size     1485, 6605975 req, miss ratio 0.3105, byte miss ratio 0.3105
result/tencentBlock.ns15815.oracleGeneral.zst LIRS cache size     4952, 6605975 req, miss ratio 0.2556, byte miss ratio 0.2556
result/tencentBlock.ns15815.oracleGeneral.zst LIRS cache size    14857, 6605975 req, miss ratio 0.2276, byte miss ratio 0.2276
result/tencentBlock.ns15815.oracleGeneral.zst LIRS cache size    49523, 6605975 req, miss ratio 0.1806, byte miss ratio 0.1806
result/tencentBlock.ns15815.oracleGeneral.zst LIRS cache size    99047, 6605975 req, miss ratio 0.1375, byte miss ratio 0.1375
result/tencentBlock.ns15815.oracleGeneral.zst LIRS cache size   198095, 6605975 req, miss ratio 0.0908, byte miss ratio 0.0908
result/tencentBlock.ns15815.oracleGeneral.zst LIRS cache size   396191, 6605975 req, miss ratio 0.0774, byte miss ratio 0.0774
result/tencentBlock.ns15815.oracleGeneral.zst LeCaR cache size      495, 6605975 req, miss ratio 0.4206, byte miss ratio 0.4206
result/tencentBlock.ns15815.oracleGeneral.zst LeCaR cache size     1485, 6605975 req, miss ratio 0.3342, byte miss ratio 0.3342
result/tencentBlock.ns15815.oracleGeneral.zst LeCaR cache size     4952, 6605975 req, miss ratio 0.2517, byte miss ratio 0.2517
