result/tencentBlock.ns1844.oracleGeneral.zst FIFO cache size      113, 7306139 req, miss ratio 0.7986, byte miss ratio 0.7986
result/tencentBlock.ns1844.oracleGeneral.zst FIFO cache size      341, 7306139 req, miss ratio 0.6524, byte miss ratio 0.6524
result/tencentBlock.ns1844.oracleGeneral.zst FIFO cache size     1137, 7306139 req, miss ratio 0.3699, byte miss ratio 0.3699
result/tencentBlock.ns1844.oracleGeneral.zst FIFO cache size     3411, 7306139 req, miss ratio 0.2320, byte miss ratio 0.2320
result/tencentBlock.ns1844.oracleGeneral.zst FIFO cache size    11371, 7306139 req, miss ratio 0.0919, byte miss ratio 0.0919
result/tencentBlock.ns1844.oracleGeneral.zst FIFO cache size    22742, 7306139 req, miss ratio 0.0446, byte miss ratio 0.0446
result/tencentBlock.ns1844.oracleGeneral.zst FIFO cache size    45484, 7306139 req, miss ratio 0.0243, byte miss ratio 0.0243
result/tencentBlock.ns1844.oracleGeneral.zst FIFO cache size    90968, 7306139 req, miss ratio 0.0168, byte miss ratio 0.0168
result/tencentBlock.ns1844.oracleGeneral.zst clock2 cache size      113, 7306139 req, miss ratio 0.7731, byte miss ratio 0.7731
result/tencentBlock.ns1844.oracleGeneral.zst clock2 cache size      341, 7306139 req, miss ratio 0.6214, byte miss ratio 0.6214
result/tencentBlock.ns1844.oracleGeneral.zst clock2 cache size     1137, 7306139 req, miss ratio 0.2682, byte miss ratio 0.2682
result/tencentBlock.ns1844.oracleGeneral.zst clock2 cache size     3411, 7306139 req, miss ratio 0.2121, byte miss ratio 0.2121
result/tencentBlock.ns1844.oracleGeneral.zst clock2 cache size    11371, 7306139 req, miss ratio 0.0685, byte miss ratio 0.0685
result/tencentBlock.ns1844.oracleGeneral.zst clock2 cache size    22742, 7306139 req, miss ratio 0.0310, byte miss ratio 0.0310
result/tencentBlock.ns1844.oracleGeneral.zst clock2 cache size    45484, 7306139 req, miss ratio 0.0210, byte miss ratio 0.0210
result/tencentBlock.ns1844.oracleGeneral.zst clock2 cache size    90968, 7306139 req, miss ratio 0.0158, byte miss ratio 0.0158
result/tencentBlock.ns1844.oracleGeneral.zst LRU cache size      113, 7306139 req, miss ratio 0.7815, byte miss ratio 0.7815
result/tencentBlock.ns1844.oracleGeneral.zst LRU cache size      341, 7306139 req, miss ratio 0.6337, byte miss ratio 0.6337
result/tencentBlock.ns1844.oracleGeneral.zst LRU cache size     1137, 7306139 req, miss ratio 0.2861, byte miss ratio 0.2861
result/tencentBlock.ns1844.oracleGeneral.zst LRU cache size     3411, 7306139 req, miss ratio 0.2108, byte miss ratio 0.2108
result/tencentBlock.ns1844.oracleGeneral.zst LRU cache size    11371, 7306139 req, miss ratio 0.0705, byte miss ratio 0.0705
result/tencentBlock.ns1844.oracleGeneral.zst LRU cache size    22742, 7306139 req, miss ratio 0.0314, byte miss ratio 0.0314
result/tencentBlock.ns1844.oracleGeneral.zst LRU cache size    45484, 7306139 req, miss ratio 0.0203, byte miss ratio 0.0203
result/tencentBlock.ns1844.oracleGeneral.zst LRU cache size    90968, 7306139 req, miss ratio 0.0157, byte miss ratio 0.0157
result/tencentBlock.ns1844.oracleGeneral.zst LIRS cache size      113, 7306139 req, miss ratio 0.7075, byte miss ratio 0.7075
result/tencentBlock.ns1844.oracleGeneral.zst LIRS cache size      341, 7306139 req, miss ratio 0.4665, byte miss ratio 0.4665
result/tencentBlock.ns1844.oracleGeneral.zst LIRS cache size     1137, 7306139 req, miss ratio 0.2586, byte miss ratio 0.2586
result/tencentBlock.ns1844.oracleGeneral.zst LIRS cache size     3411, 7306139 req, miss ratio 0.1984, byte miss ratio 0.1984
result/tencentBlock.ns1844.oracleGeneral.zst LIRS cache size    11371, 7306139 req, miss ratio 0.0749, byte miss ratio 0.0749
result/tencentBlock.ns1844.oracleGeneral.zst LIRS cache size    22742, 7306139 req, miss ratio 0.0312, byte miss ratio 0.0312
result/tencentBlock.ns1844.oracleGeneral.zst LIRS cache size    45484, 7306139 req, miss ratio 0.0219, byte miss ratio 0.0219
result/tencentBlock.ns1844.oracleGeneral.zst LIRS cache size    90968, 7306139 req, miss ratio 0.0159, byte miss ratio 0.0159
result/tencentBlock.ns1844.oracleGeneral.zst LHD cache size      113, 7306139 req, miss ratio 0.7435, byte miss ratio 0.7435
result/tencentBlock.ns1844.oracleGeneral.zst LHD cache size      341, 7306139 req, miss ratio 0.5592, byte miss ratio 0.5592
result/tencentBlock.ns1844.oracleGeneral.zst LHD cache size     1137, 7306139 req, miss ratio 0.2792, byte miss ratio 0.2792
result/tencentBlock.ns1844.oracleGeneral.zst LHD cache size     3411, 7306139 req, miss ratio 0.1982, byte miss ratio 0.1982
result/tencentBlock.ns1844.oracleGeneral.zst LHD cache size    11371, 7306139 req, miss ratio 0.0749, byte miss ratio 0.0749
result/tencentBlock.ns1844.oracleGeneral.zst LHD cache size    22742, 7306139 req, miss ratio 0.0322, byte miss ratio 0.0322
result/tencentBlock.ns1844.oracleGeneral.zst LHD cache size    45484, 7306139 req, miss ratio 0.0207, byte miss ratio 0.0207
result/tencentBlock.ns1844.oracleGeneral.zst LHD cache size    90968, 7306139 req, miss ratio 0.0162, byte miss ratio 0.0162
result/tencentBlock.ns1844.oracleGeneral.zst Cacheus cache size      113, 7306139 req, miss ratio 0.7329, byte miss ratio 0.7329
result/tencentBlock.ns1844.oracleGeneral.zst Cacheus cache size      341, 7306139 req, miss ratio 0.5561, byte miss ratio 0.5561
result/tencentBlock.ns1844.oracleGeneral.zst Cacheus cache size     1137, 7306139 req, miss ratio 0.2629, byte miss ratio 0.2629
result/tencentBlock.ns1844.oracleGeneral.zst Cacheus cache size     3411, 7306139 req, miss ratio 0.2058, byte miss ratio 0.2058
result/tencentBlock.ns1844.oracleGeneral.zst Cacheus cache size    11371, 7306139 req, miss ratio 0.0697, byte miss ratio 0.0697
result/tencentBlock.ns1844.oracleGeneral.zst Cacheus cache size    22742, 7306139 req, miss ratio 0.0309, byte miss ratio 0.0309
result/tencentBlock.ns1844.oracleGeneral.zst Cacheus cache size    45484, 7306139 req, miss ratio 0.0219, byte miss ratio 0.0219
result/tencentBlock.ns1844.oracleGeneral.zst Cacheus cache size    90968, 7306139 req, miss ratio 0.0158, byte miss ratio 0.0158
result/tencentBlock.ns1844.oracleGeneral.zst ARC cache size      113, 7306139 req, miss ratio 0.7063, byte miss ratio 0.7063
result/tencentBlock.ns1844.oracleGeneral.zst ARC cache size      341, 7306139 req, miss ratio 0.4765, byte miss ratio 0.4765
result/tencentBlock.ns1844.oracleGeneral.zst ARC cache size     1137, 7306139 req, miss ratio 0.2534, byte miss ratio 0.2534
result/tencentBlock.ns1844.oracleGeneral.zst ARC cache size     3411, 7306139 req, miss ratio 0.1965, byte miss ratio 0.1965
result/tencentBlock.ns1844.oracleGeneral.zst ARC cache size    11371, 7306139 req, miss ratio 0.0715, byte miss ratio 0.0715
result/tencentBlock.ns1844.oracleGeneral.zst ARC cache size    22742, 7306139 req, miss ratio 0.0296, byte miss ratio 0.0296
result/tencentBlock.ns1844.oracleGeneral.zst ARC cache size    45484, 7306139 req, miss ratio 0.0209, byte miss ratio 0.0209
result/tencentBlock.ns1844.oracleGeneral.zst ARC cache size    90968, 7306139 req, miss ratio 0.0158, byte miss ratio 0.0158
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-1 cache size      113, 7306139 req, miss ratio 0.7083, byte miss ratio 0.7083
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-1 cache size      341, 7306139 req, miss ratio 0.4881, byte miss ratio 0.4881
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-1 cache size     1137, 7306139 req, miss ratio 0.2508, byte miss ratio 0.2508
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-1 cache size     3411, 7306139 req, miss ratio 0.1970, byte miss ratio 0.1970
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-1 cache size    11371, 7306139 req, miss ratio 0.0659, byte miss ratio 0.0659
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-1 cache size    22742, 7306139 req, miss ratio 0.0304, byte miss ratio 0.0304
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-1 cache size    45484, 7306139 req, miss ratio 0.0208, byte miss ratio 0.0208
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-1 cache size    90968, 7306139 req, miss ratio 0.0158, byte miss ratio 0.0158
result/tencentBlock.ns1844.oracleGeneral.zst LeCaR cache size      113, 7306139 req, miss ratio 0.7664, byte miss ratio 0.7664
result/tencentBlock.ns1844.oracleGeneral.zst LeCaR cache size      341, 7306139 req, miss ratio 0.6164, byte miss ratio 0.6164
result/tencentBlock.ns1844.oracleGeneral.zst LeCaR cache size     1137, 7306139 req, miss ratio 0.2683, byte miss ratio 0.2683
result/tencentBlock.ns1844.oracleGeneral.zst LeCaR cache size     3411, 7306139 req, miss ratio 0.2051, byte miss ratio 0.2051
result/tencentBlock.ns1844.oracleGeneral.zst LeCaR cache size    11371, 7306139 req, miss ratio 0.0673, byte miss ratio 0.0673
result/tencentBlock.ns1844.oracleGeneral.zst LeCaR cache size    22742, 7306139 req, miss ratio 0.0291, byte miss ratio 0.0291
result/tencentBlock.ns1844.oracleGeneral.zst LeCaR cache size    45484, 7306139 req, miss ratio 0.0202, byte miss ratio 0.0202
result/tencentBlock.ns1844.oracleGeneral.zst LeCaR cache size    90968, 7306139 req, miss ratio 0.0157, byte miss ratio 0.0157
result/tencentBlock.ns1844.oracleGeneral.zst Clock cache size      113, 7306139 req, miss ratio 0.7772, byte miss ratio 0.7772
result/tencentBlock.ns1844.oracleGeneral.zst Clock cache size      341, 7306139 req, miss ratio 0.6247, byte miss ratio 0.6247
result/tencentBlock.ns1844.oracleGeneral.zst Clock cache size     1137, 7306139 req, miss ratio 0.2770, byte miss ratio 0.2770
result/tencentBlock.ns1844.oracleGeneral.zst Clock cache size     3411, 7306139 req, miss ratio 0.2135, byte miss ratio 0.2135
result/tencentBlock.ns1844.oracleGeneral.zst Clock cache size    11371, 7306139 req, miss ratio 0.0706, byte miss ratio 0.0706
result/tencentBlock.ns1844.oracleGeneral.zst Clock cache size    22742, 7306139 req, miss ratio 0.0309, byte miss ratio 0.0309
result/tencentBlock.ns1844.oracleGeneral.zst Clock cache size    45484, 7306139 req, miss ratio 0.0206, byte miss ratio 0.0206
result/tencentBlock.ns1844.oracleGeneral.zst Clock cache size    90968, 7306139 req, miss ratio 0.0158, byte miss ratio 0.0158
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-d-1 cache size      113, 7306139 req, miss ratio 0.7050, byte miss ratio 0.7050
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-d-1 cache size      341, 7306139 req, miss ratio 0.4815, byte miss ratio 0.4815
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-d-1 cache size     1137, 7306139 req, miss ratio 0.2514, byte miss ratio 0.2514
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-d-1 cache size     3411, 7306139 req, miss ratio 0.2021, byte miss ratio 0.2021
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-d-1 cache size    11371, 7306139 req, miss ratio 0.0663, byte miss ratio 0.0663
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-d-1 cache size    22742, 7306139 req, miss ratio 0.0306, byte miss ratio 0.0306
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-d-1 cache size    45484, 7306139 req, miss ratio 0.0208, byte miss ratio 0.0208
result/tencentBlock.ns1844.oracleGeneral.zst S3FIFO-d-1 cache size    90968, 7306139 req, miss ratio 0.0158, byte miss ratio 0.0158
result/tencentBlock.ns1844.oracleGeneral.zst LRB cache size      113, 7306139 req, miss ratio 0.7285, byte miss ratio 0.7285
result/tencentBlock.ns1844.oracleGeneral.zst LRB cache size      341, 7306139 req, miss ratio 0.4674, byte miss ratio 0.4674
result/tencentBlock.ns1844.oracleGeneral.zst LRB cache size     1137, 7306139 req, miss ratio 0.2544, byte miss ratio 0.2544
result/tencentBlock.ns1844.oracleGeneral.zst LRB cache size     3411, 7306139 req, miss ratio 0.1746, byte miss ratio 0.1746
result/tencentBlock.ns1844.oracleGeneral.zst LRB cache size    11371, 7306139 req, miss ratio 0.0668, byte miss ratio 0.0668
result/tencentBlock.ns1844.oracleGeneral.zst LRB cache size    22742, 7306139 req, miss ratio 0.0391, byte miss ratio 0.0391
result/tencentBlock.ns1844.oracleGeneral.zst LRB cache size    45484, 7306139 req, miss ratio 0.0234, byte miss ratio 0.0234
result/tencentBlock.ns1844.oracleGeneral.zst LRB cache size    90968, 7306139 req, miss ratio 0.0164, byte miss ratio 0.0164
result/tencentBlock.ns1844.oracleGeneral.zst B-LRU cache size      113, 7306139 req, miss ratio 0.7843, byte miss ratio 0.7843
result/tencentBlock.ns1844.oracleGeneral.zst B-LRU cache size      341, 7306139 req, miss ratio 0.6359, byte miss ratio 0.6359
result/tencentBlock.ns1844.oracleGeneral.zst B-LRU cache size     1137, 7306139 req, miss ratio 0.2904, byte miss ratio 0.2904
result/tencentBlock.ns1844.oracleGeneral.zst B-LRU cache size     3411, 7306139 req, miss ratio 0.2163, byte miss ratio 0.2163
