result/tencentBlock.ns9083.oracleGeneral.zst ARC cache size      139, 2190537 req, miss ratio 0.3509, byte miss ratio 0.3509
result/tencentBlock.ns9083.oracleGeneral.zst ARC cache size      417, 2190537 req, miss ratio 0.2772, byte miss ratio 0.2772
result/tencentBlock.ns9083.oracleGeneral.zst ARC cache size     1391, 2190537 req, miss ratio 0.2584, byte miss ratio 0.2584
result/tencentBlock.ns9083.oracleGeneral.zst ARC cache size     4173, 2190537 req, miss ratio 0.2444, byte miss ratio 0.2444
result/tencentBlock.ns9083.oracleGeneral.zst ARC cache size    13910, 2190537 req, miss ratio 0.2087, byte miss ratio 0.2087
result/tencentBlock.ns9083.oracleGeneral.zst ARC cache size    27821, 2190537 req, miss ratio 0.1973, byte miss ratio 0.1973
result/tencentBlock.ns9083.oracleGeneral.zst ARC cache size    55642, 2190537 req, miss ratio 0.1172, byte miss ratio 0.1172
result/tencentBlock.ns9083.oracleGeneral.zst ARC cache size   111284, 2190537 req, miss ratio 0.0658, byte miss ratio 0.0658
result/tencentBlock.ns9083.oracleGeneral.zst Clock cache size      139, 2190537 req, miss ratio 0.4211, byte miss ratio 0.4211
result/tencentBlock.ns9083.oracleGeneral.zst Clock cache size      417, 2190537 req, miss ratio 0.2925, byte miss ratio 0.2925
result/tencentBlock.ns9083.oracleGeneral.zst Clock cache size     1391, 2190537 req, miss ratio 0.2672, byte miss ratio 0.2672
result/tencentBlock.ns9083.oracleGeneral.zst Clock cache size     4173, 2190537 req, miss ratio 0.2517, byte miss ratio 0.2517
result/tencentBlock.ns9083.oracleGeneral.zst Clock cache size    13910, 2190537 req, miss ratio 0.2204, byte miss ratio 0.2204
result/tencentBlock.ns9083.oracleGeneral.zst Clock cache size    27821, 2190537 req, miss ratio 0.2070, byte miss ratio 0.2070
result/tencentBlock.ns9083.oracleGeneral.zst Clock cache size    55642, 2190537 req, miss ratio 0.1256, byte miss ratio 0.1256
result/tencentBlock.ns9083.oracleGeneral.zst Clock cache size   111284, 2190537 req, miss ratio 0.0678, byte miss ratio 0.0678
result/tencentBlock.ns9083.oracleGeneral.zst FIFO cache size      139, 2190537 req, miss ratio 0.4812, byte miss ratio 0.4812
result/tencentBlock.ns9083.oracleGeneral.zst FIFO cache size      417, 2190537 req, miss ratio 0.3387, byte miss ratio 0.3387
result/tencentBlock.ns9083.oracleGeneral.zst FIFO cache size     1391, 2190537 req, miss ratio 0.2868, byte miss ratio 0.2868
result/tencentBlock.ns9083.oracleGeneral.zst FIFO cache size     4173, 2190537 req, miss ratio 0.2616, byte miss ratio 0.2616
result/tencentBlock.ns9083.oracleGeneral.zst FIFO cache size    13910, 2190537 req, miss ratio 0.2299, byte miss ratio 0.2299
result/tencentBlock.ns9083.oracleGeneral.zst FIFO cache size    27821, 2190537 req, miss ratio 0.2153, byte miss ratio 0.2153
result/tencentBlock.ns9083.oracleGeneral.zst FIFO cache size    55642, 2190537 req, miss ratio 0.1355, byte miss ratio 0.1355
result/tencentBlock.ns9083.oracleGeneral.zst FIFO cache size   111284, 2190537 req, miss ratio 0.0837, byte miss ratio 0.0837
result/tencentBlock.ns9083.oracleGeneral.zst S3FIFO-1 cache size      139, 2190537 req, miss ratio 0.3570, byte miss ratio 0.3570
result/tencentBlock.ns9083.oracleGeneral.zst S3FIFO-1 cache size      417, 2190537 req, miss ratio 0.2774, byte miss ratio 0.2774
result/tencentBlock.ns9083.oracleGeneral.zst S3FIFO-1 cache size     1391, 2190537 req, miss ratio 0.2575, byte miss ratio 0.2575
result/tencentBlock.ns9083.oracleGeneral.zst S3FIFO-1 cache size     4173, 2190537 req, miss ratio 0.2379, byte miss ratio 0.2379
result/tencentBlock.ns9083.oracleGeneral.zst S3FIFO-1 cache size    13910, 2190537 req, miss ratio 0.2085, byte miss ratio 0.2085
result/tencentBlock.ns9083.oracleGeneral.zst S3FIFO-1 cache size    27821, 2190537 req, miss ratio 0.1895, byte miss ratio 0.1895
result/tencentBlock.ns9083.oracleGeneral.zst S3FIFO-1 cache size    55642, 2190537 req, miss ratio 0.1142, byte miss ratio 0.1142
result/tencentBlock.ns9083.oracleGeneral.zst S3FIFO-1 cache size   111284, 2190537 req, miss ratio 0.0658, byte miss ratio 0.0658
result/tencentBlock.ns9083.oracleGeneral.zst LRU cache size      139, 2190537 req, miss ratio 0.4265, byte miss ratio 0.4265
result/tencentBlock.ns9083.oracleGeneral.zst LRU cache size      417, 2190537 req, miss ratio 0.2939, byte miss ratio 0.2939
result/tencentBlock.ns9083.oracleGeneral.zst LRU cache size     1391, 2190537 req, miss ratio 0.2678, byte miss ratio 0.2678
result/tencentBlock.ns9083.oracleGeneral.zst LRU cache size     4173, 2190537 req, miss ratio 0.2528, byte miss ratio 0.2528
result/tencentBlock.ns9083.oracleGeneral.zst LRU cache size    13910, 2190537 req, miss ratio 0.2212, byte miss ratio 0.2212
result/tencentBlock.ns9083.oracleGeneral.zst LRU cache size    27821, 2190537 req, miss ratio 0.2092, byte miss ratio 0.2092
result/tencentBlock.ns9083.oracleGeneral.zst LRU cache size    55642, 2190537 req, miss ratio 0.1215, byte miss ratio 0.1215
result/tencentBlock.ns9083.oracleGeneral.zst LRU cache size   111284, 2190537 req, miss ratio 0.0705, byte miss ratio 0.0705
result/tencentBlock.ns9083.oracleGeneral.zst Cacheus cache size      139, 2190537 req, miss ratio 0.3872, byte miss ratio 0.3872
result/tencentBlock.ns9083.oracleGeneral.zst Cacheus cache size      417, 2190537 req, miss ratio 0.2778, byte miss ratio 0.2778
result/tencentBlock.ns9083.oracleGeneral.zst Cacheus cache size     1391, 2190537 req, miss ratio 0.2591, byte miss ratio 0.2591
result/tencentBlock.ns9083.oracleGeneral.zst Cacheus cache size     4173, 2190537 req, miss ratio 0.2372, byte miss ratio 0.2372
result/tencentBlock.ns9083.oracleGeneral.zst Cacheus cache size    13910, 2190537 req, miss ratio 0.2157, byte miss ratio 0.2157
result/tencentBlock.ns9083.oracleGeneral.zst Cacheus cache size    27821, 2190537 req, miss ratio 0.2018, byte miss ratio 0.2018
result/tencentBlock.ns9083.oracleGeneral.zst Cacheus cache size    55642, 2190537 req, miss ratio 0.1144, byte miss ratio 0.1144
result/tencentBlock.ns9083.oracleGeneral.zst Cacheus cache size   111284, 2190537 req, miss ratio 0.0677, byte miss ratio 0.0677
result/tencentBlock.ns9083.oracleGeneral.zst clock2 cache size      139, 2190537 req, miss ratio 0.4223, byte miss ratio 0.4223
result/tencentBlock.ns9083.oracleGeneral.zst clock2 cache size      417, 2190537 req, miss ratio 0.2886, byte miss ratio 0.2886
result/tencentBlock.ns9083.oracleGeneral.zst clock2 cache size     1391, 2190537 req, miss ratio 0.2663, byte miss ratio 0.2663
result/tencentBlock.ns9083.oracleGeneral.zst clock2 cache size     4173, 2190537 req, miss ratio 0.2523, byte miss ratio 0.2523
result/tencentBlock.ns9083.oracleGeneral.zst clock2 cache size    13910, 2190537 req, miss ratio 0.2195, byte miss ratio 0.2195
result/tencentBlock.ns9083.oracleGeneral.zst clock2 cache size    27821, 2190537 req, miss ratio 0.2006, byte miss ratio 0.2006
result/tencentBlock.ns9083.oracleGeneral.zst clock2 cache size    55642, 2190537 req, miss ratio 0.1257, byte miss ratio 0.1257
result/tencentBlock.ns9083.oracleGeneral.zst clock2 cache size   111284, 2190537 req, miss ratio 0.0660, byte miss ratio 0.0660
result/tencentBlock.ns9083.oracleGeneral.zst LeCaR cache size      139, 2190537 req, miss ratio 0.4016, byte miss ratio 0.4016
result/tencentBlock.ns9083.oracleGeneral.zst LeCaR cache size      417, 2190537 req, miss ratio 0.2854, byte miss ratio 0.2854
result/tencentBlock.ns9083.oracleGeneral.zst LeCaR cache size     1391, 2190537 req, miss ratio 0.2657, byte miss ratio 0.2657
result/tencentBlock.ns9083.oracleGeneral.zst LeCaR cache size     4173, 2190537 req, miss ratio 0.2502, byte miss ratio 0.2502
result/tencentBlock.ns9083.oracleGeneral.zst LeCaR cache size    13910, 2190537 req, miss ratio 0.2171, byte miss ratio 0.2171
result/tencentBlock.ns9083.oracleGeneral.zst LeCaR cache size    27821, 2190537 req, miss ratio 0.2085, byte miss ratio 0.2085
result/tencentBlock.ns9083.oracleGeneral.zst LeCaR cache size    55642, 2190537 req, miss ratio 0.1168, byte miss ratio 0.1168
result/tencentBlock.ns9083.oracleGeneral.zst LeCaR cache size   111284, 2190537 req, miss ratio 0.0666, byte miss ratio 0.0666
result/tencentBlock.ns9083.oracleGeneral.zst LIRS cache size      139, 2190537 req, miss ratio 0.3489, byte miss ratio 0.3489
result/tencentBlock.ns9083.oracleGeneral.zst LIRS cache size      417, 2190537 req, miss ratio 0.2889, byte miss ratio 0.2889
result/tencentBlock.ns9083.oracleGeneral.zst LIRS cache size     1391, 2190537 req, miss ratio 0.2668, byte miss ratio 0.2668
result/tencentBlock.ns9083.oracleGeneral.zst LIRS cache size     4173, 2190537 req, miss ratio 0.2468, byte miss ratio 0.2468
result/tencentBlock.ns9083.oracleGeneral.zst LIRS cache size    13910, 2190537 req, miss ratio 0.2092, byte miss ratio 0.2092
result/tencentBlock.ns9083.oracleGeneral.zst LIRS cache size    27821, 2190537 req, miss ratio 0.1763, byte miss ratio 0.1763
