result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LeCaR cache size   133713, 169287715 req, miss ratio 0.4417, byte miss ratio 0.4417
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LeCaR cache size   267427, 169287715 req, miss ratio 0.1714, byte miss ratio 0.1714
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LeCaR cache size   534855, 169287715 req, miss ratio 0.0927, byte miss ratio 0.0927
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LeCaR cache size  1069710, 169287715 req, miss ratio 0.0098, byte miss ratio 0.0098
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Cacheus cache size     1337, 169287715 req, miss ratio 0.5944, byte miss ratio 0.5944
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Cacheus cache size     4011, 169287715 req, miss ratio 0.5628, byte miss ratio 0.5628
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Cacheus cache size    13371, 169287715 req, miss ratio 0.5334, byte miss ratio 0.5334
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Cacheus cache size    40114, 169287715 req, miss ratio 0.5074, byte miss ratio 0.5074
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Cacheus cache size   133713, 169287715 req, miss ratio 0.4146, byte miss ratio 0.4146
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Cacheus cache size   267427, 169287715 req, miss ratio 0.1789, byte miss ratio 0.1789
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Cacheus cache size   534855, 169287715 req, miss ratio 0.1013, byte miss ratio 0.1013
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Cacheus cache size  1069710, 169287715 req, miss ratio 0.0098, byte miss ratio 0.0098
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRU cache size     1337, 169287715 req, miss ratio 0.6157, byte miss ratio 0.6157
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRU cache size     4011, 169287715 req, miss ratio 0.5801, byte miss ratio 0.5801
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRU cache size    13371, 169287715 req, miss ratio 0.5467, byte miss ratio 0.5467
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRU cache size    40114, 169287715 req, miss ratio 0.5153, byte miss ratio 0.5153
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRU cache size   133713, 169287715 req, miss ratio 0.4459, byte miss ratio 0.4459
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRU cache size   267427, 169287715 req, miss ratio 0.1852, byte miss ratio 0.1852
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRU cache size   534855, 169287715 req, miss ratio 0.1013, byte miss ratio 0.1013
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRU cache size  1069710, 169287715 req, miss ratio 0.0098, byte miss ratio 0.0098
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LHD cache size     1337, 169287715 req, miss ratio 0.5706, byte miss ratio 0.5706
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LHD cache size     4011, 169287715 req, miss ratio 0.5396, byte miss ratio 0.5396
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LHD cache size    13371, 169287715 req, miss ratio 0.5076, byte miss ratio 0.5076
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LHD cache size    40114, 169287715 req, miss ratio 0.4446, byte miss ratio 0.4446
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LHD cache size   133713, 169287715 req, miss ratio 0.2470, byte miss ratio 0.2470
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LHD cache size   267427, 169287715 req, miss ratio 0.1500, byte miss ratio 0.1500
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LHD cache size   534855, 169287715 req, miss ratio 0.0725, byte miss ratio 0.0725
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LHD cache size  1069710, 169287715 req, miss ratio 0.0103, byte miss ratio 0.0103
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst clock2 cache size     1337, 169287715 req, miss ratio 0.6060, byte miss ratio 0.6060
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst clock2 cache size     4011, 169287715 req, miss ratio 0.5720, byte miss ratio 0.5720
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst clock2 cache size    13371, 169287715 req, miss ratio 0.5405, byte miss ratio 0.5405
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst clock2 cache size    40114, 169287715 req, miss ratio 0.5102, byte miss ratio 0.5102
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst clock2 cache size   133713, 169287715 req, miss ratio 0.4447, byte miss ratio 0.4447
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst clock2 cache size   267427, 169287715 req, miss ratio 0.1758, byte miss ratio 0.1758
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst clock2 cache size   534855, 169287715 req, miss ratio 0.0921, byte miss ratio 0.0921
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst clock2 cache size  1069710, 169287715 req, miss ratio 0.0096, byte miss ratio 0.0096
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1337, 169287715 req, miss ratio 0.5832, byte miss ratio 0.5832
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     4011, 169287715 req, miss ratio 0.5505, byte miss ratio 0.5505
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    13371, 169287715 req, miss ratio 0.5215, byte miss ratio 0.5215
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    40114, 169287715 req, miss ratio 0.4841, byte miss ratio 0.4841
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   133713, 169287715 req, miss ratio 0.2972, byte miss ratio 0.2972
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   267427, 169287715 req, miss ratio 0.1639, byte miss ratio 0.1639
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   534855, 169287715 req, miss ratio 0.0860, byte miss ratio 0.0860
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1069710, 169287715 req, miss ratio 0.0105, byte miss ratio 0.0105
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRB cache size     1337, 169287715 req, miss ratio 0.5646, byte miss ratio 0.5646
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRB cache size     4011, 169287715 req, miss ratio 0.5318, byte miss ratio 0.5318
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRB cache size    13371, 169287715 req, miss ratio 0.4954, byte miss ratio 0.4954
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRB cache size    40114, 169287715 req, miss ratio 0.4233, byte miss ratio 0.4233
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRB cache size   133713, 169287715 req, miss ratio 0.2168, byte miss ratio 0.2168
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRB cache size   267427, 169287715 req, miss ratio 0.1347, byte miss ratio 0.1347
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRB cache size   534855, 169287715 req, miss ratio 0.0630, byte miss ratio 0.0630
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LRB cache size  1069710, 169287715 req, miss ratio 0.0099, byte miss ratio 0.0099
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst B-LRU cache size     1337, 169287715 req, miss ratio 0.6206, byte miss ratio 0.6206
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst B-LRU cache size     4011, 169287715 req, miss ratio 0.5851, byte miss ratio 0.5851
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst B-LRU cache size    13371, 169287715 req, miss ratio 0.5517, byte miss ratio 0.5517
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst B-LRU cache size    40114, 169287715 req, miss ratio 0.5203, byte miss ratio 0.5203
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst B-LRU cache size   133713, 169287715 req, miss ratio 0.4500, byte miss ratio 0.4500
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst B-LRU cache size   267427, 169287715 req, miss ratio 0.1907, byte miss ratio 0.1907
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst B-LRU cache size   534855, 169287715 req, miss ratio 0.1078, byte miss ratio 0.1078
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1069710, 169287715 req, miss ratio 0.0177, byte miss ratio 0.0177
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst TwoQ cache size     1337, 169287715 req, miss ratio 0.5581, byte miss ratio 0.5581
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst TwoQ cache size     4011, 169287715 req, miss ratio 0.5284, byte miss ratio 0.5284
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst TwoQ cache size    13371, 169287715 req, miss ratio 0.5018, byte miss ratio 0.5018
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst TwoQ cache size    40114, 169287715 req, miss ratio 0.4501, byte miss ratio 0.4501
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst TwoQ cache size   133713, 169287715 req, miss ratio 0.2802, byte miss ratio 0.2802
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst TwoQ cache size   267427, 169287715 req, miss ratio 0.1630, byte miss ratio 0.1630
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst TwoQ cache size   534855, 169287715 req, miss ratio 0.1025, byte miss ratio 0.1025
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1069710, 169287715 req, miss ratio 0.0157, byte miss ratio 0.0157
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1337, 169287715 req, miss ratio 0.6084, byte miss ratio 0.6084
