result/tencentBlock.ns17507.oracleGeneral.zst FIFO cache size      178, 1602162 req, miss ratio 0.6325, byte miss ratio 0.6325
result/tencentBlock.ns17507.oracleGeneral.zst FIFO cache size      535, 1602162 req, miss ratio 0.5581, byte miss ratio 0.5581
result/tencentBlock.ns17507.oracleGeneral.zst FIFO cache size     1784, 1602162 req, miss ratio 0.5202, byte miss ratio 0.5202
result/tencentBlock.ns17507.oracleGeneral.zst FIFO cache size     5354, 1602162 req, miss ratio 0.5074, byte miss ratio 0.5074
result/tencentBlock.ns17507.oracleGeneral.zst FIFO cache size    17847, 1602162 req, miss ratio 0.4554, byte miss ratio 0.4554
result/tencentBlock.ns17507.oracleGeneral.zst FIFO cache size    35695, 1602162 req, miss ratio 0.4094, byte miss ratio 0.4094
result/tencentBlock.ns17507.oracleGeneral.zst FIFO cache size    71391, 1602162 req, miss ratio 0.2666, byte miss ratio 0.2666
result/tencentBlock.ns17507.oracleGeneral.zst FIFO cache size   142782, 1602162 req, miss ratio 0.1637, byte miss ratio 0.1637
result/tencentBlock.ns17507.oracleGeneral.zst ARC cache size      178, 1602162 req, miss ratio 0.5416, byte miss ratio 0.5416
result/tencentBlock.ns17507.oracleGeneral.zst ARC cache size      535, 1602162 req, miss ratio 0.5133, byte miss ratio 0.5133
result/tencentBlock.ns17507.oracleGeneral.zst ARC cache size     1784, 1602162 req, miss ratio 0.4932, byte miss ratio 0.4932
result/tencentBlock.ns17507.oracleGeneral.zst ARC cache size     5354, 1602162 req, miss ratio 0.4892, byte miss ratio 0.4892
result/tencentBlock.ns17507.oracleGeneral.zst ARC cache size    17847, 1602162 req, miss ratio 0.4486, byte miss ratio 0.4486
result/tencentBlock.ns17507.oracleGeneral.zst ARC cache size    35695, 1602162 req, miss ratio 0.3721, byte miss ratio 0.3721
result/tencentBlock.ns17507.oracleGeneral.zst ARC cache size    71391, 1602162 req, miss ratio 0.2707, byte miss ratio 0.2707
result/tencentBlock.ns17507.oracleGeneral.zst ARC cache size   142782, 1602162 req, miss ratio 0.1250, byte miss ratio 0.1250
result/tencentBlock.ns17507.oracleGeneral.zst Clock cache size      178, 1602162 req, miss ratio 0.5824, byte miss ratio 0.5824
result/tencentBlock.ns17507.oracleGeneral.zst Clock cache size      535, 1602162 req, miss ratio 0.5183, byte miss ratio 0.5183
result/tencentBlock.ns17507.oracleGeneral.zst Clock cache size     1784, 1602162 req, miss ratio 0.5043, byte miss ratio 0.5043
result/tencentBlock.ns17507.oracleGeneral.zst Clock cache size     5354, 1602162 req, miss ratio 0.4951, byte miss ratio 0.4951
result/tencentBlock.ns17507.oracleGeneral.zst Clock cache size    17847, 1602162 req, miss ratio 0.4523, byte miss ratio 0.4523
result/tencentBlock.ns17507.oracleGeneral.zst Clock cache size    35695, 1602162 req, miss ratio 0.3972, byte miss ratio 0.3972
result/tencentBlock.ns17507.oracleGeneral.zst Clock cache size    71391, 1602162 req, miss ratio 0.3187, byte miss ratio 0.3187
result/tencentBlock.ns17507.oracleGeneral.zst Clock cache size   142782, 1602162 req, miss ratio 0.1342, byte miss ratio 0.1342
result/tencentBlock.ns17507.oracleGeneral.zst LHD cache size      178, 1602162 req, miss ratio 0.5664, byte miss ratio 0.5664
result/tencentBlock.ns17507.oracleGeneral.zst LHD cache size      535, 1602162 req, miss ratio 0.5190, byte miss ratio 0.5190
result/tencentBlock.ns17507.oracleGeneral.zst LHD cache size     1784, 1602162 req, miss ratio 0.5036, byte miss ratio 0.5036
result/tencentBlock.ns17507.oracleGeneral.zst LHD cache size     5354, 1602162 req, miss ratio 0.4915, byte miss ratio 0.4915
result/tencentBlock.ns17507.oracleGeneral.zst LHD cache size    17847, 1602162 req, miss ratio 0.4409, byte miss ratio 0.4409
result/tencentBlock.ns17507.oracleGeneral.zst LHD cache size    35695, 1602162 req, miss ratio 0.3739, byte miss ratio 0.3739
result/tencentBlock.ns17507.oracleGeneral.zst LHD cache size    71391, 1602162 req, miss ratio 0.2575, byte miss ratio 0.2575
result/tencentBlock.ns17507.oracleGeneral.zst LHD cache size   142782, 1602162 req, miss ratio 0.1229, byte miss ratio 0.1229
result/tencentBlock.ns17507.oracleGeneral.zst Cacheus cache size      178, 1602162 req, miss ratio 0.5486, byte miss ratio 0.5486
result/tencentBlock.ns17507.oracleGeneral.zst Cacheus cache size      535, 1602162 req, miss ratio 0.5153, byte miss ratio 0.5153
result/tencentBlock.ns17507.oracleGeneral.zst Cacheus cache size     1784, 1602162 req, miss ratio 0.5017, byte miss ratio 0.5017
result/tencentBlock.ns17507.oracleGeneral.zst Cacheus cache size     5354, 1602162 req, miss ratio 0.4892, byte miss ratio 0.4892
result/tencentBlock.ns17507.oracleGeneral.zst Cacheus cache size    17847, 1602162 req, miss ratio 0.4444, byte miss ratio 0.4444
result/tencentBlock.ns17507.oracleGeneral.zst Cacheus cache size    35695, 1602162 req, miss ratio 0.3793, byte miss ratio 0.3793
result/tencentBlock.ns17507.oracleGeneral.zst Cacheus cache size    71391, 1602162 req, miss ratio 0.2490, byte miss ratio 0.2490
result/tencentBlock.ns17507.oracleGeneral.zst Cacheus cache size   142782, 1602162 req, miss ratio 0.1260, byte miss ratio 0.1260
result/tencentBlock.ns17507.oracleGeneral.zst clock2 cache size      178, 1602162 req, miss ratio 0.5764, byte miss ratio 0.5764
result/tencentBlock.ns17507.oracleGeneral.zst clock2 cache size      535, 1602162 req, miss ratio 0.5202, byte miss ratio 0.5202
result/tencentBlock.ns17507.oracleGeneral.zst clock2 cache size     1784, 1602162 req, miss ratio 0.5034, byte miss ratio 0.5034
result/tencentBlock.ns17507.oracleGeneral.zst clock2 cache size     5354, 1602162 req, miss ratio 0.4921, byte miss ratio 0.4921
result/tencentBlock.ns17507.oracleGeneral.zst clock2 cache size    17847, 1602162 req, miss ratio 0.4840, byte miss ratio 0.4840
result/tencentBlock.ns17507.oracleGeneral.zst clock2 cache size    35695, 1602162 req, miss ratio 0.4104, byte miss ratio 0.4104
result/tencentBlock.ns17507.oracleGeneral.zst clock2 cache size    71391, 1602162 req, miss ratio 0.3213, byte miss ratio 0.3213
result/tencentBlock.ns17507.oracleGeneral.zst clock2 cache size   142782, 1602162 req, miss ratio 0.1243, byte miss ratio 0.1243
result/tencentBlock.ns17507.oracleGeneral.zst LIRS cache size      178, 1602162 req, miss ratio 0.5973, byte miss ratio 0.5973
result/tencentBlock.ns17507.oracleGeneral.zst LIRS cache size      535, 1602162 req, miss ratio 0.5551, byte miss ratio 0.5551
result/tencentBlock.ns17507.oracleGeneral.zst LIRS cache size     1784, 1602162 req, miss ratio 0.5010, byte miss ratio 0.5010
result/tencentBlock.ns17507.oracleGeneral.zst LIRS cache size     5354, 1602162 req, miss ratio 0.4901, byte miss ratio 0.4901
result/tencentBlock.ns17507.oracleGeneral.zst LIRS cache size    17847, 1602162 req, miss ratio 0.4334, byte miss ratio 0.4334
result/tencentBlock.ns17507.oracleGeneral.zst LIRS cache size    35695, 1602162 req, miss ratio 0.3709, byte miss ratio 0.3709
result/tencentBlock.ns17507.oracleGeneral.zst LIRS cache size    71391, 1602162 req, miss ratio 0.2796, byte miss ratio 0.2796
result/tencentBlock.ns17507.oracleGeneral.zst LIRS cache size   142782, 1602162 req, miss ratio 0.1236, byte miss ratio 0.1236
