result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO-1 cache size      101, 1289797 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO-1 cache size      202, 1289797 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO-d-1 cache size        7, 1289797 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO-d-1 cache size       25, 1289797 req, miss ratio 0.1807, byte miss ratio 0.1807
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO-d-1 cache size       50, 1289797 req, miss ratio 0.0197, byte miss ratio 0.0197
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO-d-1 cache size      101, 1289797 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO-d-1 cache size      202, 1289797 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns480.oracleGeneral.zst LRB cache size        7, 1289797 req, miss ratio 0.3842, byte miss ratio 0.3842
result/cdn2_colo28.ns480.oracleGeneral.zst LRB cache size       25, 1289797 req, miss ratio 0.1227, byte miss ratio 0.1227
result/cdn2_colo28.ns480.oracleGeneral.zst LRB cache size       50, 1289797 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn2_colo28.ns480.oracleGeneral.zst LRB cache size      101, 1289797 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_colo28.ns480.oracleGeneral.zst LRB cache size      202, 1289797 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns480.oracleGeneral.zst TwoQ cache size        7, 1289797 req, miss ratio 0.4183, byte miss ratio 0.4183
result/cdn2_colo28.ns480.oracleGeneral.zst TwoQ cache size       25, 1289797 req, miss ratio 0.1965, byte miss ratio 0.1965
result/cdn2_colo28.ns480.oracleGeneral.zst TwoQ cache size       50, 1289797 req, miss ratio 0.0259, byte miss ratio 0.0259
result/cdn2_colo28.ns480.oracleGeneral.zst TwoQ cache size      101, 1289797 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_colo28.ns480.oracleGeneral.zst TwoQ cache size      202, 1289797 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns480.oracleGeneral.zst B-LRU cache size        7, 1289797 req, miss ratio 0.4684, byte miss ratio 0.4684
result/cdn2_colo28.ns480.oracleGeneral.zst B-LRU cache size       25, 1289797 req, miss ratio 0.2367, byte miss ratio 0.2367
result/cdn2_colo28.ns480.oracleGeneral.zst B-LRU cache size       50, 1289797 req, miss ratio 0.0229, byte miss ratio 0.0229
result/cdn2_colo28.ns480.oracleGeneral.zst B-LRU cache size      101, 1289797 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_colo28.ns480.oracleGeneral.zst B-LRU cache size      202, 1289797 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns480.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        7, 1289797 req, miss ratio 0.4650, byte miss ratio 0.4650
result/cdn2_colo28.ns480.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       25, 1289797 req, miss ratio 0.2345, byte miss ratio 0.2345
result/cdn2_colo28.ns480.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       50, 1289797 req, miss ratio 0.0519, byte miss ratio 0.0519
result/cdn2_colo28.ns480.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      101, 1289797 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_colo28.ns480.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      202, 1289797 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns480.oracleGeneral.zst S4LRU(25:25:25:25) cache size        7, 1289797 req, miss ratio 0.4756, byte miss ratio 0.4756
result/cdn2_colo28.ns480.oracleGeneral.zst S4LRU(25:25:25:25) cache size       25, 1289797 req, miss ratio 0.1975, byte miss ratio 0.1975
result/cdn2_colo28.ns480.oracleGeneral.zst S4LRU(25:25:25:25) cache size       50, 1289797 req, miss ratio 0.0244, byte miss ratio 0.0244
result/cdn2_colo28.ns480.oracleGeneral.zst S4LRU(25:25:25:25) cache size      101, 1289797 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_colo28.ns480.oracleGeneral.zst S4LRU(25:25:25:25) cache size      202, 1289797 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO-d cache size        7, 1289797 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO-d cache size       25, 1289797 req, miss ratio 0.1735, byte miss ratio 0.1735
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO-d cache size       50, 1289797 req, miss ratio 0.0206, byte miss ratio 0.0206
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO-d cache size      101, 1289797 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO-d cache size      202, 1289797 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO cache size        7, 1289797 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO cache size       25, 1289797 req, miss ratio 0.1733, byte miss ratio 0.1733
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO cache size       50, 1289797 req, miss ratio 0.0206, byte miss ratio 0.0206
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO cache size      101, 1289797 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns480.oracleGeneral.zst S3FIFO cache size      202, 1289797 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns480.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        7, 1289797 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns480.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       25, 1289797 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns480.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       50, 1289797 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns480.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      101, 1289797 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_colo28.ns480.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      202, 1289797 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns480.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        7, 1289797 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns480.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       25, 1289797 req, miss ratio 0.1475, byte miss ratio 0.1475
result/cdn2_colo28.ns480.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       50, 1289797 req, miss ratio 0.0171, byte miss ratio 0.0171
result/cdn2_colo28.ns480.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      101, 1289797 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns480.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      202, 1289797 req, miss ratio 0.0002, byte miss ratio 0.0002
